id	XAi3VTSdTxU
published	2009-10-03 04:46:05
published_unix	1254545165
title	Michael Jackson - Earth Song (Official Video)
description	“Earth Song” by Michael Jackson Listen to Michael Jackson: https://MichaelJackson.lnk.to/_listenYD The short film to Michael Jackson’s “Earth Song,” his best-selling single in the United Kingdom, earned Michael the Doris Day Music Award from the Humane Society’s Genesis Awards. The urgent need to address the issues facing the planet and all that inhabit it were on the forefront of Michael’s mind when he created this song and short film; issues that are even more urgent today. Subscribe to the official Michael Jackson YouTube Channel: https://MichaelJackson.lnk.to/subscribeYD Watch more Michael Jackson videos: https://MichaelJackson.lnk.to/_listenYC/youtube Follow Michael Jackson: Facebook: https://MichaelJackson.lnk.to/_followYS/facebook Twitter: https://MichaelJackson.lnk.to/_followYS/twitter Instagram: https://MichaelJackson.lnk.to/_followYS/instagram Website: https://MichaelJackson.lnk.to/_followYS/websitegeneral Spotify: https://MichaelJackson.lnk.to/_followYS/spotify Chorus: Did you ever stop to notice All the children dead from war? Did you ever stop to notice This crying Earth, these weeping shores? Ah, ooh Ah, ooh #MichaelJackson #EarthSong #HIStory
channelId	UCulYu1HEIa7f70L2lYZWHOw
channelTitle	michaeljacksonVEVO
duration	PT6M45S
dimension	2d
definition	sd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	295871419
likeCount	2904794
dislikeCount	63296
favoriteCount	0
commentCount	153035
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
