id	XU0PnoCOXpU
published	2019-12-07 06:00:05
published_unix	1575698405
title	How Young Climate Crisis Activists Changed the World | NowThis
description	‘You had a future! So should we!’ — 2019 was the year young people around the world stood up and demanded real climate action. These were the key moments for the youth climate movement. » Subscribe to NowThis: http://go.nowth.is/News_Subscribe » Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis This video was created in partnership with Emerson Collective https://www.emersoncollective.com. In US news and current events today, NowThis News is looking back on the biggest moments of the year in climate activism and the fight against climate change. This is how young climate crisis activists changed the world. One of the biggest moments of the year was when teen climate activist and Fridays for Future founder Greta Thunberg spoke at the United Nations. This became known as the Greta Thunberg How Dare You speech and launched many Greta Thunberg How Dare You memes and GIFs. Thunberg launched one of the biggest climate strikes, the global school strike 4 climate. In the fight against global warming one of the biggest global issues today also referred to as the climate crisis, no action was too small. These activists are leading the fight against the climate crisis 2020. #GretaThunberg #Weather #Science #Climate #Youth #News #NowThis #NowThisNews Connect with NowThis » Like us on Facebook: http://go.nowth.is/News_Facebook » Tweet us on Twitter: http://go.nowth.is/News_Twitter » Follow us on Instagram: http://go.nowth.is/News_Instagram » Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live. http://www.youtube.com/nowthisnews @nowthisnews
channelId	UCn4sPeUomNGIr26bElVdDYg
channelTitle	NowThis News
duration	PT5M30S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	12893
likeCount	575
dislikeCount	66
favoriteCount	0
commentCount	157
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
