id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugy8i428fizDj19T8DF4AaABAg	9	38	2019-12-07 07:21:19	Carlos Salcedo	We as young people will rise until the final ..... ...	UC2AQSoIgRRkQMMCT4Ini0nQ	http://www.youtube.com/channel/UC2AQSoIgRRkQMMCT4Ini0nQ	0		
Ugy8i428fizDj19T8DF4AaABAg.92EJb1M-f2g93E8K3g3JQe		1	2020-01-01 02:14:09	Big Hatter	Haha....until your parents stop paying your phone bills.	UCZ1jOBW9Pk329Nr3BMnryzA	http://www.youtube.com/channel/UCZ1jOBW9Pk329Nr3BMnryzA	1	Ugy8i428fizDj19T8DF4AaABAg	Carlos Salcedo
Ugy8i428fizDj19T8DF4AaABAg.92EJb1M-f2g93E3pSxs7fr		1	2020-01-01 01:34:53	Kathy Louise	You young people will be paying for generations to come for this fake Climate Change Lie. Let adults take care of it	UC0T9YrOsabWlu9uGFsHX2Cw	http://www.youtube.com/channel/UC0T9YrOsabWlu9uGFsHX2Cw	1	Ugy8i428fizDj19T8DF4AaABAg	Carlos Salcedo
Ugy8i428fizDj19T8DF4AaABAg.92EJb1M-f2g93E3Sr3cI10		1	2020-01-01 01:31:39	Kathy Louise	Little girl, Protest all you want and believe what you want. You are wrong and they raise money and Politician's put it back in their pockets. Protest about things that help people instead of being used to help criminals !!!	UC0T9YrOsabWlu9uGFsHX2Cw	http://www.youtube.com/channel/UC0T9YrOsabWlu9uGFsHX2Cw	1	Ugy8i428fizDj19T8DF4AaABAg	Carlos Salcedo
Ugy8i428fizDj19T8DF4AaABAg.92EJb1M-f2g93DxBTJvDMu		1	2020-01-01 00:28:07	Carlos Salcedo	Gabriela Grover. Rise and win !!!! !!! !!! 😎	UC2AQSoIgRRkQMMCT4Ini0nQ	http://www.youtube.com/channel/UC2AQSoIgRRkQMMCT4Ini0nQ	1	Ugy8i428fizDj19T8DF4AaABAg	Carlos Salcedo
Ugy8i428fizDj19T8DF4AaABAg.92EJb1M-f2g93DuvmayJuq		2	2020-01-01 00:08:21	Gabriela Grover	Yesss!!!!	UCFnrLwRZ5779bq8l6DcrZhg	http://www.youtube.com/channel/UCFnrLwRZ5779bq8l6DcrZhg	1	Ugy8i428fizDj19T8DF4AaABAg	Carlos Salcedo
Ugy8i428fizDj19T8DF4AaABAg.92EJb1M-f2g92V6X_e7FVB		1	2019-12-13 19:54:12	Carlos Salcedo	Saarah Ali yes we can yes we will !!!! !!! !!! !!! !!!!!!! 🇺🇸🇺🇸🇺🇸	UC2AQSoIgRRkQMMCT4Ini0nQ	http://www.youtube.com/channel/UC2AQSoIgRRkQMMCT4Ini0nQ	1	Ugy8i428fizDj19T8DF4AaABAg	Carlos Salcedo
Ugy8i428fizDj19T8DF4AaABAg.92EJb1M-f2g92V5OlQ-pWn		1	2019-12-13 19:44:16	Saarah Ali	Yes we will!	UCRaicng1HwNkQsqIBHfGJ2Q	http://www.youtube.com/channel/UCRaicng1HwNkQsqIBHfGJ2Q	1	Ugy8i428fizDj19T8DF4AaABAg	Carlos Salcedo
Ugy8i428fizDj19T8DF4AaABAg.92EJb1M-f2g92GSCYjRjDV		2	2019-12-08 03:14:58	Carlos Salcedo	Daniel fmatosrivera okay what ever .... End comment ...	UC2AQSoIgRRkQMMCT4Ini0nQ	http://www.youtube.com/channel/UC2AQSoIgRRkQMMCT4Ini0nQ	1	Ugy8i428fizDj19T8DF4AaABAg	Carlos Salcedo
Ugy8i428fizDj19T8DF4AaABAg.92EJb1M-f2g92GPnZURzVT		0	2019-12-08 02:53:57	Daniel fmatosrivera	...what have you accomplished by screeching about the end of the world? (dont say "awareness". It doesnt count).	UCx1GYsnhrA3oF4ZV2ngrPpA	http://www.youtube.com/channel/UCx1GYsnhrA3oF4ZV2ngrPpA	1	Ugy8i428fizDj19T8DF4AaABAg	Carlos Salcedo
UgzWS-8mUCDVjfYi4Zx4AaABAg	1	15	2019-12-08 14:42:23	Martín Alejandro	Change the system save the planet	UCfB23AmuWU6BgTA6spbivEA	http://www.youtube.com/channel/UCfB23AmuWU6BgTA6spbivEA	0		
UgzWS-8mUCDVjfYi4Zx4AaABAg.92HfsHIxwA092NjUAM5eP3		0	2019-12-10 23:09:21	Thomas Polinze	Change your mind save the planet	UCSJMkAPzaIFXIWUHMoHZmng	http://www.youtube.com/channel/UCSJMkAPzaIFXIWUHMoHZmng	1	UgzWS-8mUCDVjfYi4Zx4AaABAg	Martín Alejandro
UgyRTc2c4hzFxViKTP94AaABAg	0	9	2019-12-17 19:14:40	Costa Karras	I am because I changed to a 4/10 schedule. So I work 4 days a week 10 hour days. That&#39;s one day a week that i don&#39;t have to go to work and its a little over 55 miles round trip that I don&#39;t drive my car. I don&#39;t understand why more businesses don&#39;t move to this model. I drive less, still put in 40 hours and I&#39;m happier because I get 3 days off instead of 2. I am already at work so what is another 2 hours to get a day off.	UC3szYlxShEfU74mB-olIGHw	http://www.youtube.com/channel/UC3szYlxShEfU74mB-olIGHw	0		
UgyJlsPgzEn9GwiNbm94AaABAg	0	9	2019-12-07 18:42:31	thebatmanover9000	I see similar mentality from climate change deniers that I do young earth creationist.	UCVV91_dDq-ea7XDi9WPI0ug	http://www.youtube.com/channel/UCVV91_dDq-ea7XDi9WPI0ug	0		
UgweQW_04Am96T2e_op4AaABAg	0	5	2020-03-10 14:37:21	L WGG	Only thing I&#39;m worried about are the worldwide media. in my country we all know about the climate crisis, but it&#39;s become a taboo to talk about it in the media. In the country of my boyfriend it&#39;s even worse: there the people don&#39;t even know how bad the situation is, and that there even is such a thing as global warming. If there is one thing that scares me more than the effects of climate change itself it is that: The fact that we hear nearly nothing about it in mainstream media.	UC-j277pxs08Q-OWBxnwXVmQ	http://www.youtube.com/channel/UC-j277pxs08Q-OWBxnwXVmQ	0		
UgxubGHtEyJOlFSQi_B4AaABAg	0	12	2019-12-07 06:42:42	The Niggles	<b>R I S E O C E A N</b>	UCwbE6kfjibnADVgtS1dDDMw	http://www.youtube.com/channel/UCwbE6kfjibnADVgtS1dDDMw	0		
Ugxi1YCuJkHPkk8046t4AaABAg	0	1	2020-06-12 06:38:05	thebakaspirit	A teacher asked a girl at my school &quot;what do you think you&#39;ll do in the future&quot; she said &quot; I don&#39;t know,I&#39;m pretty sure I won&#39;t last long with this climate change thing&quot; 😗 ...	UCUn9RTPgvp4CTmDG1oTOOMQ	http://www.youtube.com/channel/UCUn9RTPgvp4CTmDG1oTOOMQ	0		
UgwXCDRJ1183yfL900x4AaABAg	0	1	2020-02-26 03:39:29	Random Human	chicken little: the sky is falling!	UCDyhTeJD-2s-C6AZPFNB_2w	http://www.youtube.com/channel/UCDyhTeJD-2s-C6AZPFNB_2w	0		
UgzmnP8Ns0qFr4mWeW14AaABAg	5	23	2019-12-07 07:42:24	Wind Roos	So proud of these young bloods &lt;3	UCo9iEbbl5Y6iyFby2WNXqMw	http://www.youtube.com/channel/UCo9iEbbl5Y6iyFby2WNXqMw	0		
UgzmnP8Ns0qFr4mWeW14AaABAg.92EM0MBuflA92KQaU387WW		1	2019-12-09 16:17:51	The God Of Imagination	As said i think sound cool because it like vampires and they cool apart from twilight ones.	UCFJimKSPA-twA6jNClf6Pdg	http://www.youtube.com/channel/UCFJimKSPA-twA6jNClf6Pdg	1	UgzmnP8Ns0qFr4mWeW14AaABAg	Wind Roos
UgzmnP8Ns0qFr4mWeW14AaABAg.92EM0MBuflA92FP4pw7HhE		2	2019-12-07 17:28:28	Toast Likes 2 Draw	Chill guys it’s slang	UCKt9X7P7RpK-rmirfSrsIFA	http://www.youtube.com/channel/UCKt9X7P7RpK-rmirfSrsIFA	1	UgzmnP8Ns0qFr4mWeW14AaABAg	Wind Roos
UgzmnP8Ns0qFr4mWeW14AaABAg.92EM0MBuflA92FF_rjuRjv		1	2019-12-07 16:05:27	Kiki Jewell	"Young blood" is, perhaps, an old slang term. I know it to mean fresh energy and excitement.	UCGJ0SskzZbGsubESW701TYg	http://www.youtube.com/channel/UCGJ0SskzZbGsubESW701TYg	1	UgzmnP8Ns0qFr4mWeW14AaABAg	Wind Roos
