id	YLIzhX6pB7g
published	2017-07-25 16:12:05
published_unix	1500999125
title	What's Real Evidence of Climate Change? | Let's Talk | NPR
description	The climate has always changed – so why all of the focus on it now? It has a lot to do with predictability. NPR’s Christopher Joyce explains. • Read "Mapping The Potential Economic Effects Of Climate Change" at http://n.pr/2s7k46x • Read or listen to: "Natural Gas Plant Makes A Play For Coal's Market, Using 'Clean' Technology" at http://n.pr/2oZdiP6 ------------------------------------------------------ Subscribe to NPR on YouTube: https://www.youtube.com/npr Follow NPR elsewhere, too: • Twitter: https://twitter.com/npr • Facebook: https://www.facebook.com/NPR • Instagram: https://www.instagram.com/npr/ • Tumblr: http://npr.tumblr.com/ • Snapchat: https://www.snapchat.com/add/npr ABOUT NPR NPR connects to audiences on the air, on demand, online, and in person. More than 26 million radio listeners tune in to NPR stations each week and more than 36 million unique visitors access NPR.org each month making NPR one of the most trusted sources of news and insights on life and the arts. NPR is also the leading publisher of podcasts, with 36 original shows and an average of 4 million listeners per week. NPR shares compelling stories, audio and photos with millions of social media users on Facebook, Twitter, Instagram, Pinterest, YouTube and Snapchat; NPR News and NPR One apps, online streaming, podcasts, iTunes radio and connected car dashboards help meet audiences where they are. NPR's live events bring to the stage two-way conversations between NPR hosts and the audience in collaboration with the public radio Member Station community. This robust access to public service journalism makes NPR an indispensable resource in the media landscape.
channelId	UCJnS2EsPfv46u1JR8cnD0NA
channelTitle	NPR
duration	PT1M32S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	58221
likeCount	622
dislikeCount	351
favoriteCount	0
commentCount	389
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
