id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxUMr-NieenngLawZ54AaABAg	0	13	2019-02-13 07:32:21	TRAW	All these flat earth christian republicans trolling up the comments. <a href="http://www.youtube.com/results?search_query=%23GND">#GND</a>	UCbp5xXDoNTVY4vwOTquI8bw	http://www.youtube.com/channel/UCbp5xXDoNTVY4vwOTquI8bw	0		
UgwE3_Op47Yww9Rm4zp4AaABAg	0	0	2021-03-13 12:54:40	Because it's current year	&quot;we live in a society&quot;<br />with lots of (purposeful) errors in its reporting.	UC8U1I_kDGPLMDAaFsZyCAQQ	http://www.youtube.com/channel/UC8U1I_kDGPLMDAaFsZyCAQQ	0		
Ugy25FqMmnsW8wn96554AaABAg	24	168	2019-03-23 17:23:37	R Schmidt	So where&#39;s the evidence?	UCO4qlsEX_i_NRWOMWJzPQrQ	http://www.youtube.com/channel/UCO4qlsEX_i_NRWOMWJzPQrQ	0		
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9KKObmH3jyS		2	2021-03-01 01:25:39	yokingcarrot456	You just got it the rising temp. Common man people like this are the reason were going to go extinct because there to prideful and ignorant to realise were DESTROYING earth.	UCqJZGEu4R4eN1VH71mFbbCg	http://www.youtube.com/channel/UCqJZGEu4R4eN1VH71mFbbCg	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9JoHtTUJFNR		0	2021-02-16 04:51:58	thricefan89	@Charbel Rizk Yeah, that used to be the case. It's undeniable now. Most companies are onboard and even fossil fuel industry has been investing in green energy Bernie has been on the right side of history his entire career though	UCJeLFCTz6ygz2voA_Yih5Xg	http://www.youtube.com/channel/UCJeLFCTz6ygz2voA_Yih5Xg	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9JoGtvw-pqx		0	2021-02-16 04:43:17	Charbel Rizk	@thricefan89 and the ones funded by governments who will lose their incomes, careers and anything else if they misspoke or cast any doubt on the earth heating up.	UCK7gasu8eG453jOwl8poJtQ	http://www.youtube.com/channel/UCK7gasu8eG453jOwl8poJtQ	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9JnYBHhgxtD		0	2021-02-15 21:55:06	thricefan89	@TheLuxGuy 2018 Dont trust that right wing corporate shit Do your own research Climate change is actually worse than corporate media says You're being fooled by CNN or completely duped by fascist Fox	UCJeLFCTz6ygz2voA_Yih5Xg	http://www.youtube.com/channel/UCJeLFCTz6ygz2voA_Yih5Xg	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9JnY3NlDgbZ		0	2021-02-15 21:54:01	thricefan89	@Achyuth Thouta 150 years is not that long at all Theres the evidence right there. In such a short geological time things have changed drastically Even just acknowledging that is proof we're the cause lol You serious, bro?	UCJeLFCTz6ygz2voA_Yih5Xg	http://www.youtube.com/channel/UCJeLFCTz6ygz2voA_Yih5Xg	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9JnXxYbfQ0F		0	2021-02-15 21:53:05	thricefan89	@Charbel Rizk Except for the ones funded by the fossil fuel industry That's evidence in itself	UCJeLFCTz6ygz2voA_Yih5Xg	http://www.youtube.com/channel/UCJeLFCTz6ygz2voA_Yih5Xg	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9Ji8J7-mCR8		0	2021-02-13 19:32:47	Vighneshwar Anantharamakrishnan	I'll give you the evidence you don't think that a population of 8 billion people, who don't have efficient sustainable countries, don't have an impact on the climate and the environment?	UCwca9WE-U5L9cxg5VFT3_eg	http://www.youtube.com/channel/UCwca9WE-U5L9cxg5VFT3_eg	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9JC-4pIk94B		1	2021-01-31 22:37:15	Bazel	@Achyuth Thouta also california has had record breaking wildfires every year. They just get worse and worse. “Little warmer” my ass	UC4kVifIXDVkSl4sUvoMfyLQ	http://www.youtube.com/channel/UC4kVifIXDVkSl4sUvoMfyLQ	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9JBzrcz4TOG		1	2021-01-31 22:35:18	Bazel	@Achyuth Thouta this changing climate coincides exactly with the industrial revolution. Do you think thats a coincidence?	UC4kVifIXDVkSl4sUvoMfyLQ	http://www.youtube.com/channel/UC4kVifIXDVkSl4sUvoMfyLQ	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9IQTjQwQTS4		1	2021-01-12 17:03:02	dhhd sjjc	@Lara Jean Song "I've seen it its there" where? in your head?	UCdi_Ih5USfDNTgzFTtdzCRQ	http://www.youtube.com/channel/UCdi_Ih5USfDNTgzFTtdzCRQ	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9IQTdxl7HAo		1	2021-01-12 17:02:18	dhhd sjjc	@D E A T H O F T H E B R I D E If you a genius can you link me some evidence, intellectual?	UCdi_Ih5USfDNTgzFTtdzCRQ	http://www.youtube.com/channel/UCdi_Ih5USfDNTgzFTtdzCRQ	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9IItNzh6ac8		3	2021-01-09 18:21:59	Chris Killian	I live in massachusetts, the last 3 couple winters have been the warmest winters ever in my 21 years of living here. It's been raining barely snowing and even when it does snow it rains right after . That's not normal for winter in mass. I've noticed it where I live.	UCETCj7axIBao_otLwQX7dng	http://www.youtube.com/channel/UCETCj7axIBao_otLwQX7dng	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9GYAZuWY61t		1	2020-11-26 23:46:43	Joshua Traffanstedt	@Lara Jean Song shut up you stupid fucking bitch.	UCo8d8oCRJSB-OsNFDaDGQcA	http://www.youtube.com/channel/UCo8d8oCRJSB-OsNFDaDGQcA	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9FUZsEWMyba		0	2020-10-31 17:39:27	TheLuxGuy 2018	are you blind???	UCyDJQb0N2Mhh4cEI5L3OTdg	http://www.youtube.com/channel/UCyDJQb0N2Mhh4cEI5L3OTdg	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9FHrWUImzq-		0	2020-10-26 19:12:15	Hamed Esmaili	Watch CNN	UC-_19tSKpeCSM1DZAwbrIDg	http://www.youtube.com/channel/UC-_19tSKpeCSM1DZAwbrIDg	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN94riZTkGISY		1	2020-02-10 17:00:34	Achyuth Thouta	@Lamster 66 I agree that the climate has changed over the past 150 years very rapidly. But there's literally no evidence to prove that we humans are the ones who are causing it. 150 years is quite a long time. Despite that we haven't seen too many adverse or direct effects of it. We have just heard it on the news and perhaps noticed that summers are a little warmer and winters are a little colder. That's all. I don't understand this idea that humans are going to bring down the entire ecosystem within the next century. This idea is crazy. It's just making people panick and diverting them from real issues like poverty	UCSFKLOpt8kxaeBQ-JxRcLww	http://www.youtube.com/channel/UCSFKLOpt8kxaeBQ-JxRcLww	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN93FEVVTPKw5		1	2020-01-01 12:27:22	Maximilan ohyeahyeah	Where’s fact check when you need them	UCY5rcu6qgy6Za0hIL2A4aog	http://www.youtube.com/channel/UCY5rcu6qgy6Za0hIL2A4aog	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN92JOjjg1cY9		6	2019-12-09 06:42:24	Charbel Rizk	The evidence is “all scientists agree”	UCK7gasu8eG453jOwl8poJtQ	http://www.youtube.com/channel/UCK7gasu8eG453jOwl8poJtQ	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN924xwOhVWQa		1	2019-12-03 16:10:06	Kiki Storrer	@Lara Jean Song so the evidence its because your brother works in that area? hummm great!	UCFg9gTKznaInu9f7snirjRA	http://www.youtube.com/channel/UCFg9gTKznaInu9f7snirjRA	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN90Cb5N5Fjb-		1	2019-10-17 22:21:37	brayen brian	@Anonymous User me neither, I don't select sides. But if we all together had to make our daily lives more difficult in order to stay alive. I would not resist the act.	UCvAPNTZwD9Gjd7iaJxJUBbA	http://www.youtube.com/channel/UCvAPNTZwD9Gjd7iaJxJUBbA	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9-fJrMznaxy		15	2019-10-04 14:48:06	Anonymous User	@Lara Jean Song you know that wasn't evidence right. You used the same excuse as Trump, he said his uncle was a scientist. So far I don't believe either sides	UCd7IXO4qDwYTq7waXR288Zg	http://www.youtube.com/channel/UCd7IXO4qDwYTq7waXR288Zg	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9-ed7KnrYf6		8	2019-10-04 08:25:57	Lara Jean Song	Josh Gen my brother works in the field of climate change I’m pretty sure it’s real	UCDsDK2hvgDXYkJElBj76P9A	http://www.youtube.com/channel/UCDsDK2hvgDXYkJElBj76P9A	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9-eaZVtJIVk		17	2019-10-04 08:03:34	Josh Gen	Lara Jean Song stfu, you gave such nice evidence.	UCjTTFf3ZHYBHiF-ciyM0a5g	http://www.youtube.com/channel/UCjTTFf3ZHYBHiF-ciyM0a5g	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugy25FqMmnsW8wn96554AaABAg.8spUdfbrfgN9-aUEGNn3gp		12	2019-10-02 17:42:33	Lara Jean Song	R Schmidt look for it douchebag- I’ve seen it- it’s there- look at the carbon in the atmosphere- study the changes in the polar ice caps-	UCDsDK2hvgDXYkJElBj76P9A	http://www.youtube.com/channel/UCDsDK2hvgDXYkJElBj76P9A	1	Ugy25FqMmnsW8wn96554AaABAg	R Schmidt
Ugwe70K8KYCBmcBZ4Y94AaABAg	3	32	2019-04-09 06:04:39	Jack Mccormack	Why didn’t you show evidence on how you said that the temperatures are rising quicker that before?	UC4sxcZ2b5lbZ06Z_RtxetXw	http://www.youtube.com/channel/UC4sxcZ2b5lbZ06Z_RtxetXw	0		
Ugwe70K8KYCBmcBZ4Y94AaABAg.8tV2SiB7ENt9HNQoM4G5dQ		3	2020-12-17 16:08:23	flag hippo29	As the energy is unable to leave the atmosphere due to it being trapped by greenhouse gases such as CO2 and CH4, which are emitted from cars, factories etc. And are unable to be absorbed by plants due to increased deforestation because more land is needed for housing and farming due to population growth.	UChwTCReQykTUVz5wi9Pn5pg	http://www.youtube.com/channel/UChwTCReQykTUVz5wi9Pn5pg	1	Ugwe70K8KYCBmcBZ4Y94AaABAg	Jack Mccormack
Ugwe70K8KYCBmcBZ4Y94AaABAg.8tV2SiB7ENt9E2VpelH19c		4	2020-09-25 23:34:01	Gene Garren	Try www.noaa.gov / www.nasa.gov /www.dod.mil / www.wmo.int. to name a few. Go to those sites and they will enlighten you.	UC4DOUWT611I5-aqyJU_-bNg	http://www.youtube.com/channel/UC4DOUWT611I5-aqyJU_-bNg	1	Ugwe70K8KYCBmcBZ4Y94AaABAg	Jack Mccormack
Ugwe70K8KYCBmcBZ4Y94AaABAg.8tV2SiB7ENt9-7KmyFBOHW		5	2019-09-21 00:42:49	Gottenhimfella	It's a ninety second video, not a case before an international tribunal.	UCPbq_FVPR-zikEds1QhqWfA	http://www.youtube.com/channel/UCPbq_FVPR-zikEds1QhqWfA	1	Ugwe70K8KYCBmcBZ4Y94AaABAg	Jack Mccormack
Ugilr3d_y9lCeHgCoAEC	1	42	2017-07-25 18:36:59	GuitarZombie	The taking of my money will not help	UCR5X0coTLEYmMxmBGDCIYdw	http://www.youtube.com/channel/UCR5X0coTLEYmMxmBGDCIYdw	0		
Ugilr3d_y9lCeHgCoAEC.8VSDJrGvzN090CbRIpiuir		2	2019-10-17 22:24:37	brayen brian	If we're the ones causing it, yes it will. If we're not, no it won't.	UCvAPNTZwD9Gjd7iaJxJUBbA	http://www.youtube.com/channel/UCvAPNTZwD9Gjd7iaJxJUBbA	1	Ugilr3d_y9lCeHgCoAEC	GuitarZombie
UgwTXUGjs8fH7ALo7j14AaABAg	0	7	2019-05-12 08:35:44	CreamyChoclate LobsterWarrior.	So dinosaurs should have been more progressive to avoid the changes in climate? Far stronger hurricanes have occurred before the creation of factories	UCIx0o_nOx2o26ttYYliLggA	http://www.youtube.com/channel/UCIx0o_nOx2o26ttYYliLggA	0		
UgyxpgV8aPtsSOlpCap4AaABAg	37	273	2018-08-18 17:41:37	joeyOG	Why is it that I cant find a video about climate change that actually presents evidence. If 97% of scientists on earth agree, shouldn&#39;t there be hours, or even days worth of content to present on? Why is the video presenting the evidence only 90 seconds long?	UCTzZjg89knaGFCjVtXO0mjQ	http://www.youtube.com/channel/UCTzZjg89knaGFCjVtXO0mjQ	0		
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9JU3p2rmI51		0	2021-02-07 23:04:58	Ollie Martin	@Matt Mercers Stunt Double this video only shows a small amount of evidence and not very conclusive at that.the only thing that could be considered evidence in this video if you believe it is that the temperature has dropped 1.5 degrees in the last couple hundred of years.even if you believe this to be true it hasn't shown any evidence that this is harmful , abnormal or caused by humans.	UCcrMr-f0cL5PHinryXyqb1w	http://www.youtube.com/channel/UCcrMr-f0cL5PHinryXyqb1w	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9JTsk1kP9FA		0	2021-02-07 21:19:26	Matt Mercers Stunt Double	It's literally the only video that isn't just saying science has proven it so believe it without showing evidence	UCr8npxvxkrRjvi0fvFOQhLw	http://www.youtube.com/channel/UCr8npxvxkrRjvi0fvFOQhLw	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9JTU632HM8k		0	2021-02-07 17:35:23	Ollie Martin	The only measurable a demonstrably evidence stated in this video is the 1.5 degree raise in temperature. This video has presented no evidence to show that is an abnormal temperature change.	UCcrMr-f0cL5PHinryXyqb1w	http://www.youtube.com/channel/UCcrMr-f0cL5PHinryXyqb1w	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9Gr3HJIt7aD		0	2020-12-04 17:07:49	Tony Hancock	Precession and solar cycles and Antarctica ice core samples	UCPGj0Gq2uUrCexOuxRtqNOQ	http://www.youtube.com/channel/UCPGj0Gq2uUrCexOuxRtqNOQ	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9FbvZSDnst6		0	2020-11-03 23:31:39	Zay Day	Whispering Trails	UCEJ9QD60OeML8F37E8AlLbA	http://www.youtube.com/channel/UCEJ9QD60OeML8F37E8AlLbA	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9E-sJ4ByTvA		0	2020-09-24 23:01:26	Sumit Das	@Michael Ruane Ok so think about this: scientists from all over the world believe in climate change. If you believe that 97% of the scientists are state appointed, that means nearly every country in the world paying their own scientists to spread false information. Do you think that's possible?	UC834Yi_6sPoxFELeNfuod3Q	http://www.youtube.com/channel/UC834Yi_6sPoxFELeNfuod3Q	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9DgcCCm-bor		0	2020-09-17 02:15:52	xchopp	@Ryan Hamilton Including Mickey Mouse and a bunch of dentists.	UCr1Byyao5_vJI9c9nBU6S_w	http://www.youtube.com/channel/UCr1Byyao5_vJI9c9nBU6S_w	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9DgbTjUGK92		0	2020-09-17 02:09:31	Albert Jackinson	@Laurie Maria Facebook is not a reliable source of information.	UC1gJ2QL3Klg0gwSO6DarkFw	http://www.youtube.com/channel/UC1gJ2QL3Klg0gwSO6DarkFw	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9DgbJbY_trk		0	2020-09-17 02:08:09	xchopp	These are very good questions. Try the US National Academies of Sciences (est. 1863 by some guy called Abraham Lincoln): https://youtu.be/gIUN5ziSfNc	UCr1Byyao5_vJI9c9nBU6S_w	http://www.youtube.com/channel/UCr1Byyao5_vJI9c9nBU6S_w	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9CdTbaF3iNA		0	2020-08-22 00:22:58	Shane McGovern	@Bob Roberts they have no reason to lie	UCNN6u2-zL2BdYJZsSi9EUlQ	http://www.youtube.com/channel/UCNN6u2-zL2BdYJZsSi9EUlQ	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9B8tCtvcDe0		1	2020-07-15 21:28:18	Albert Jackinson	@Michael Ruane Um...that petition only required a *bachelor's degree* for a "climate scientist" to sign it.	UC1gJ2QL3Klg0gwSO6DarkFw	http://www.youtube.com/channel/UC1gJ2QL3Klg0gwSO6DarkFw	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z99tofyZQNpo		0	2020-06-14 19:09:29	Kurupt Live	I literally said this exact thing out loud while frustrated that I am unable to learn about this topic!!!	UCFToPvhWhDgmbDykrSdAsoQ	http://www.youtube.com/channel/UCFToPvhWhDgmbDykrSdAsoQ	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z96D7yLU54TI		2	2020-03-15 06:25:59	David Barroso	Martin Martin Your source is deceiving you. The very first graph cherry-picks temperature data from a specific source only over the course of time between 1998 and 2008. If you look at the full temperature readings of the Hadley data, you can clearly see a rise in temperature that corresponds with CO2.	UCH2lWyfKBCXjb8v5s0LzlVQ	http://www.youtube.com/channel/UCH2lWyfKBCXjb8v5s0LzlVQ	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z91YhnjgwwkS		0	2019-11-20 08:54:56	Ryan Hamilton	Mark Lovett you’re right, it was actually 31 thousand scientists who signed the petition🙂	UCxDla6kU3j_YcCNLRX8Jwjw	http://www.youtube.com/channel/UCxDla6kU3j_YcCNLRX8Jwjw	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z91Nu6Ikg7fY		0	2019-11-16 04:10:49	Catalack Arrest	I have the same feeling	UCFSbPmj1Tt7rKWf1Z6HGGPw	http://www.youtube.com/channel/UCFSbPmj1Tt7rKWf1Z6HGGPw	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z90kQJ2_qKY1		0	2019-10-31 10:52:03	DxstructiteHD	@Michael Ruane its because climate change is fake its just the earths tilt nothing to do with gases	UCikcQXdPL-jFKzOE2tytgsQ	http://www.youtube.com/channel/UCikcQXdPL-jFKzOE2tytgsQ	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z90CuM6OTigi		1	2019-10-18 01:09:56	Cat vape cult	@Ken. Martinson https://youtu.be/Tq2Wv2KHGBc potholer has deproving the video you gave	UCPe2Gl7LyOR3GpTEE4kUbYQ	http://www.youtube.com/channel/UCPe2Gl7LyOR3GpTEE4kUbYQ	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9-xRGYT3KyN		2	2019-10-11 15:39:10	Morgan Smith	@Michael Ruane what agenda I'm all ears	UCCIHDeWltp0R2b6N4lq16gQ	http://www.youtube.com/channel/UCCIHDeWltp0R2b6N4lq16gQ	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9-v2ajo4Kzv		1	2019-10-10 17:25:08	David Martin	@george rhodes your a fucking moron for thinking that the entire world of scientists have to be in on it together for there to be an agenda or deception. You have been dumbed down by the media's portrayal of a conspiracy theorist. scientists are not free thinkers, they work for organisations funded by government. They research what the fuck they are told to or they lose their job. Any scientist who doesn't follow suit or speaks out against the status quo; will be branded as a lunatic or CONSPIRACY THEORIST. Fuck you for trying to stamp on open scrutiny, the truth fears no scrutiny. offense intended.	UCuD2gkOzqoxEEz5qJ5X7fkA	http://www.youtube.com/channel/UCuD2gkOzqoxEEz5qJ5X7fkA	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9-v2E3Eco-S		0	2019-10-10 17:21:54	David Martin	all you get is a few graphs that are automatically supposed to be assumed as hard fact. They don't tell you where the graph came from, how they measured each reading, especially ones from 70-odd years ago; or measure its reliability.	UCuD2gkOzqoxEEz5qJ5X7fkA	http://www.youtube.com/channel/UCuD2gkOzqoxEEz5qJ5X7fkA	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9-S_UDOp71v		1	2019-09-29 06:43:59	Laurie Maria	I had found one that had empirical evidence that climate change is fake. It was removed from my facebook page within two days. Canada removed 100 years of weather information so they can push the lie. there is no climate change.	UCE7IWXZuuBVUFHlArO0a8pQ	http://www.youtube.com/channel/UCE7IWXZuuBVUFHlArO0a8pQ	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9-OtJUGXveV		0	2019-09-27 20:20:19	ADAMO COLLECTIVE	Because scientists publish studies and essays and do not post videos for you and me to enjoy watching	UCLkDbukB0wYOJ6Lh9fqdDRA	http://www.youtube.com/channel/UCLkDbukB0wYOJ6Lh9fqdDRA	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9-K3JbXt66S		1	2019-09-25 23:20:15	Time Code	This is what I dont understand. Its nothing but fluff videos of people telling me its real but not why and how	UCKhi2Tzs0yGM5VWMuraU9HQ	http://www.youtube.com/channel/UCKhi2Tzs0yGM5VWMuraU9HQ	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9-K1-beHZT2		1	2019-09-25 23:00:03	L.E	@Ken. Martinson Evidence that climate is changing is not evidence that human activities caused it. That's the evidence people are looking for, and aren't finding.	UCGOU2o8obWOPrxAS__GnUOA	http://www.youtube.com/channel/UCGOU2o8obWOPrxAS__GnUOA	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
UgyxpgV8aPtsSOlpCap4AaABAg.8k5lCfQKC-z9-JxrcE2YKl		0	2019-09-25 22:23:52	Baecon Chim-Chim	Because nobody watches a 5 hour video, it's just to put it in a nutshell	UC0HkBhpNMtmPLOVXFuik5Jg	http://www.youtube.com/channel/UC0HkBhpNMtmPLOVXFuik5Jg	1	UgyxpgV8aPtsSOlpCap4AaABAg	joeyOG
