id	ZfFvLJyPf3o
published	2020-05-19 14:30:02
published_unix	1589898602
title	How Earth’s Geography Will Change With Climate Change
description	Sign up for an annual CuriosityStream subscription and also get a free Nebula subscription (the new streaming platform built by creators) here: http://curiositystream.com/reallifelore Check out the book that this video is based on, Connectography by Parag Khanna: https://www.paragkhanna.com/connectography Check out my new channel RealLifeLore2! https://www.youtube.com/channel/UCqmD_a5YIbB5Brt_V04zLRQ Follow Joseph from RLL on Instagram: https://www.instagram.com/joseph_pisenti/?hl=en Please Subscribe: http://bit.ly/2dB7VTO Animations Courtesy of Ryan Stevens, please check out his new Podcast here; https://www.youtube.com/channel/UCfT9TmY-2GSgqevNm5s578Q
channelId	UCP5tjEmvPItGyLhmjdwP7Ww
channelTitle	RealLifeLore
duration	PT14M36S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	995496
likeCount	27832
dislikeCount	3316
favoriteCount	0
commentCount	6422
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
