id	ZjCrbHrNdJ8
published	2019-05-01 15:42:30
published_unix	1556725350
title	The fight for Brazil’s rainforest
description	Deforestation in the Amazon is on the rise. Brazil’s far-right president Jair Bolsonaro plans to open the rainforest to ranching, farming and mining. This threatens indigenous populations and impacts climate change. We visited the Amazon to meet with an indigenous community fighting for survival, and a farmer who hopes the new policies will help future economic growth. SOURCES & FURTHER READING Highway BR-319 What Lies Behind the Recent Surge of Amazon Deforestation https://e360.yale.edu/features/what_lies_behind_the_recent_surge_of_amazon_deforestation President Jair Bolsonaro Why Brazil's Jair Bolsonaro has environmentalists worried for the Amazon https://www.cnn.com/2019/01/05/americas/bolsonaro-amazon-global-warming/index.html Jair Bolsonaro launches assault on Amazon rainforest protections https://www.theguardian.com/world/2019/jan/02/brazil-jair-bolsonaro-amazon-rainforest-protections Brazil's new leader promised to exploit the Amazon—but can he? https://www.nationalgeographic.com/environment/2018/10/brazil-president-jair-bolsonaro-promises-exploit-amazon-rain-forest/ Brazil: indigenous people rally in capital to protest against Bolsonaro onslaught https://www.theguardian.com/world/2019/apr/24/brazil-indigenous-people-bolsonaro-protest CREDITS Producers: Klaus Thymann and Marcia Reverdosa Camera: Klaus Thymann Editors: Kevin Tadge, Jesse Threatt Animations: Jesse Threatt Research: Dushyant Naresh Additional protest footage: Eduardo Duwe, Nomade Filmes Supervising Producer: Allison Brown Follow Beme on Instagram: https://www.instagram.com/bemenews Twitter: https://twitter.com/bemenews Facebook: https://www.facebook.com/officialbeme/ Related stories: In Ecuador, and indigenous won a suit to protect their land: New Update: Amazon tribe wins legal battle against oil companies. Preventing drilling in Amazon Rainforest https://www.disclose.tv/amazon-tribe-wins-lawsuit-against-big-oil-saving-millions-of-acres-of-rainforest-367412
channelId	UCY0YIply-je0EhSWLgpftVw
channelTitle	BEME News
duration	PT18M17S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	31971
likeCount	1034
dislikeCount	65
favoriteCount	0
commentCount	230
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
