id	_Ig6FbaDA8A
published	2021-01-28 02:49:27
published_unix	1611802167
title	Biden rolls out major executive actions to combat the climate crisis
description	President Biden called Wednesday "climate day" and "jobs day," sending the message to the American people that climate action will boost the economy and create jobs. The message came with his signing a robust set of executive climate actions. CBS News meteorologist and climate specialist Jeff Berardelli spoke with White House National Climate Advisor Gina McCarthy as well as first deputy White House National Climate Advisor Ali Zaidi and joins CBSN to explain his take on the Biden climate team. Subscribe to the CBS News Channel HERE: http://youtube.com/cbsnews Watch CBSN live HERE: http://cbsn.ws/1PlLpZ7 Follow CBS News on Instagram HERE: https://www.instagram.com/cbsnews/ Like CBS News on Facebook HERE: http://facebook.com/cbsnews Follow CBS News on Twitter HERE: http://twitter.com/cbsnews Get the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7T Get your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8 Get new episodes of shows you love across devices the next day, stream CBSN and local news live, and watch full seasons of CBS fan favorites like Star Trek Discovery anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B --- CBSN is the first digital streaming news network that will allow Internet-connected consumers to watch live, anchored news coverage on their connected TV and other devices. At launch, the network is available 24/7 and makes all of the resources of CBS News available directly on digital platforms with live, anchored coverage 15 hours each weekday. CBSN. Always On.
channelId	UC8p1vwvWtl6T73JiExfWs1g
channelTitle	CBS News
duration	PT9M59S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	AU,CA,JP
licensedContent	1
viewCount	235597
likeCount	2573
dislikeCount	5793
favoriteCount	0
commentCount	6877
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
