id	_JhaVNJb3ag
published	2017-12-11 18:00:02
published_unix	1513015202
title	Heart-Wrenching Video: Starving Polar Bear on Iceless Land | National Geographic
description	This is what climate change looks like. This starving polar bear was spotted by National Geographic photographer Paul Nicklen on Somerset Island. ➡ Subscribe: http://bit.ly/NatGeoSubscribe #NationalGeographic #PolarBears #GlobalWarming About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure. Through their world-class scientists, photographers, journalists, and filmmakers, Nat Geo gets you closer to the stories that matter and past the edge of what's possible. Get More National Geographic: Official Site: http://bit.ly/NatGeoOfficialSite Facebook: http://bit.ly/FBNatGeo Twitter: http://bit.ly/NatGeoTwitter Instagram: http://bit.ly/NatGeoInsta As temperatures rise, and sea ice melts, polar bears lose access to the main staple of their diet—seals. Starving, and running out of energy, they are forced to wander into human settlements for any source of food. Feeding polar bears is illegal. Without finding another source of food, this bear likely only had a few more hours to live. Read more in "Heart-Wrenching Video Shows Starving Polar Bear on Iceless Land." http://bit.ly/LearnMoreAboutClimateChange Heart-Wrenching Video: Starving Polar Bear on Iceless Land | National Geographic https://youtu.be/_JhaVNJb3ag National Geographic https://www.youtube.com/natgeo
channelId	UCpVm7bg6pXKo1Pr6k5kxG9A
channelTitle	National Geographic
duration	PT1M23S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	2679742
likeCount	29849
dislikeCount	4948
favoriteCount	0
commentCount	9930
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
