id	_zK6Grhp5Zk
published	2016-11-03 19:00:18
published_unix	1478199618
title	How Climate Change Could Drown New York City | Vanity Fair
description	Take a look at how climate change and the rising sea level will affect New York City in the future with Josh Fox, the Oscar-nominated filmmaker behind "Gasland" and the new film "How To Let Go Of The World." Still haven’t subscribed to Vanity Fair on YouTube? ►► http://bit.ly/2z6Ya9M ABOUT VANITY FAIR Arts and entertainment, business and media, politics, and world affairs—Vanity Fair’s features and exclusive videos capture the people, places, and ideas that define modern culture. How Climate Change Could Drown New York City | Vanity Fair
channelId	UCIsbLox_y9dCIMLd8tdC6qg
channelTitle	Vanity Fair
duration	PT5M6S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	94489
likeCount	1762
dislikeCount	132
favoriteCount	0
commentCount	330
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
