id	aW7LPlp0-q4
published	2020-03-16 02:09:06
published_unix	1584324546
title	Sanders on Biden climate change policy: Nowhere near enough
description	During the Democratic presidential debate in Washington, Sen. Bernie Sanders and former Vice President Joe Biden discuss the steps they will take to tackle the climate crisis. #CNN #News
channelId	UCupvZG-5ko_eiXAupbDfxWw
channelTitle	CNN
duration	PT10M29S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	854331
likeCount	9901
dislikeCount	2296
favoriteCount	0
commentCount	7610
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
