id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgiyRIc6SH2AcXgCoAEC	0	5	2017-06-05 23:42:32	MrPrios1	BS, you guys cannot even predict the local weather.	UCvssD00gXau3geWk0kXWacQ	http://www.youtube.com/channel/UCvssD00gXau3geWk0kXWacQ	0		
UghsV4aD080vWHgCoAEC	0	5	2017-06-01 23:04:21	Mavericks	We are doomed. At least I have my precious silver.	UCaLD0wl3oTWqd4qhCdQPy4g	http://www.youtube.com/channel/UCaLD0wl3oTWqd4qhCdQPy4g	0		
Ugg3eJ74TZxpcHgCoAEC	0	13	2017-06-01 17:45:40	TR Was Here	Wow. It looks like the lefty spawn of Murdoch are now in full control at Fox.	UClq7d-Tu63Bn897FQO-CifQ	http://www.youtube.com/channel/UClq7d-Tu63Bn897FQO-CifQ	0		
UggH_Vr5F5oF_XgCoAEC	0	18	2017-05-31 21:54:19	Marcus Simpson	lovely feels. all propoganda. 100b for bureaucrats. more money for pizza parties!	UCj5JfOTkBuJx7RG14it-y3g	http://www.youtube.com/channel/UCj5JfOTkBuJx7RG14it-y3g	0		
Ugj1L-7aHYHgeXgCoAEC	0	2	2017-06-02 07:04:12	Science Denier	out, b ad deal	UCjzfrDryClHuDo23_9zMI0Q	http://www.youtube.com/channel/UCjzfrDryClHuDo23_9zMI0Q	0		
UgycexBfP5qXH9CsPQJ4AaABAg	0	4	2018-11-05 04:34:21	Lisa Marie Gonzales	Wake up ppl as if no one knows climate is already controled the crying polar bear has no glacier at his home. Hurricanes mass flooding <br />Chem trail whos really driving that jet X marks the spot .	UCqiWsi6w37udHRr5oGueXgA	http://www.youtube.com/channel/UCqiWsi6w37udHRr5oGueXgA	0		
UgjcEtkbrIs6cngCoAEC	0	26	2017-06-01 21:44:25	Mattie Daniel	Yeah, the Paris Agreement would have done next to nothing in 2030.	UC5cXaFmBYr83EgWtryVbKjw	http://www.youtube.com/channel/UC5cXaFmBYr83EgWtryVbKjw	0		
UgiLE1d-JNQKnXgCoAEC	0	0	2017-06-02 10:37:45	JonTurK	i forgot chilling in my country :D	UCN0OKMlWaQqct9ZMyRrg-dw	http://www.youtube.com/channel/UCN0OKMlWaQqct9ZMyRrg-dw	0		
Ugx92k-ZwCZH7GOJ0fV4AaABAg	1	5	2020-08-21 04:21:14	Michael Cardoza	And he fulfilled his promise.	UCfzTXcqE7yMq0J_VzqmS4Lw	http://www.youtube.com/channel/UCfzTXcqE7yMq0J_VzqmS4Lw	0		
Ugx92k-ZwCZH7GOJ0fV4AaABAg.9CbK4inpkt39IhvG6DegmQ		6	2021-01-19 20:58:38	William Teske	And it will be undone within a few days 😔	UCtx85m9PFlmappKgSOopxrQ	http://www.youtube.com/channel/UCtx85m9PFlmappKgSOopxrQ	1	Ugx92k-ZwCZH7GOJ0fV4AaABAg	Michael Cardoza
UghJU5YyPVI3IngCoAEC	0	1	2017-06-02 00:32:55	Hardstyler981	if it really was real i dont think we would be having so many trees cut down in the whole world and everyone would be cleaning it and creating machines or something to clean oceans and rivers so good	UCxvWuFcEDeFuz1xCNZxT5pg	http://www.youtube.com/channel/UCxvWuFcEDeFuz1xCNZxT5pg	0		
UggvErTy0yDAfngCoAEC	0	3	2017-05-31 22:30:12	XxAngelReaperxX	What even is climate change turned into by 2016?!	UC9grnY7qH1rY441t7R8-k9w	http://www.youtube.com/channel/UC9grnY7qH1rY441t7R8-k9w	0		
UgjFLMCfpkCgfXgCoAEC	1	8	2017-05-31 22:15:13	Raven Quest	The BEST SOLUTION IS TO GET RID OF THE CABAL, SHADOW GOVT &amp; HEIRS and let the MEEK fix the problem.	UCkiwfWPKTGpFY4LggCDHWtg	http://www.youtube.com/channel/UCkiwfWPKTGpFY4LggCDHWtg	0		
UgjFLMCfpkCgfXgCoAEC.8TEz_5uzhzD9IlCP3Vm3Ul		0	2021-01-21 03:34:52	Jae Prize	Well they are going to have to now.	UC1hD52-eMbvdHoCShDTfDKw	http://www.youtube.com/channel/UC1hD52-eMbvdHoCShDTfDKw	1	UgjFLMCfpkCgfXgCoAEC	Raven Quest
Ugx1vrq-1dM7YJf5QiF4AaABAg	0	1	2021-01-27 09:06:43	daskippa lawson	This is what the Great Reset looks like. Put your mask on and get your Covid 19 shot. Shut up and be happy World, Welcome to The New World Order.	UCewRILcAuS-KrUgaUZLjELg	http://www.youtube.com/channel/UCewRILcAuS-KrUgaUZLjELg	0		
Ugz-x2NnXMmDiJ4saYJ4AaABAg	1	3	2018-09-23 10:48:11	J R	Please watch Tony Heller on climate change(YT) then you can make a proper decision for climate change.	UCO5hjfgzmK6BMvIU2oPTWuw	http://www.youtube.com/channel/UCO5hjfgzmK6BMvIU2oPTWuw	0		
Ugz-x2NnXMmDiJ4saYJ4AaABAg.8lXiW40mWIZ9CgDiw6MMmS		0	2020-08-23 02:01:53	J R	@Jonny C The guy is a scientist?	UCO5hjfgzmK6BMvIU2oPTWuw	http://www.youtube.com/channel/UCO5hjfgzmK6BMvIU2oPTWuw	1	Ugz-x2NnXMmDiJ4saYJ4AaABAg	J R
Ugzq90TIAxGL2lSjsoB4AaABAg	8	55	2020-03-02 12:55:47	Freezetyle	Wow a non-biased approach on climate change by Fox News? Wow.	UCXoe_wLem_277ht8Ic2-ryA	http://www.youtube.com/channel/UCXoe_wLem_277ht8Ic2-ryA	0		
Ugzq90TIAxGL2lSjsoB4AaABAg.95hMEtvx4oF9JZVDjAy_Bl		0	2021-02-10 01:40:37	James Brown	@Seljak Magnum You mean the actual news?	UCjscHmzA1CdXvvmOrPJ-mHg	http://www.youtube.com/channel/UCjscHmzA1CdXvvmOrPJ-mHg	1	Ugzq90TIAxGL2lSjsoB4AaABAg	Freezetyle
Ugzq90TIAxGL2lSjsoB4AaABAg.95hMEtvx4oF9JXbxkuyD2J		0	2021-02-09 08:09:43	Seljak Magnum	Yeah quite different than cnn and msnbc, your favorite channels, don't you tnink?	UC58KEz-rJMP0sNgCDjEfclA	http://www.youtube.com/channel/UC58KEz-rJMP0sNgCDjEfclA	1	Ugzq90TIAxGL2lSjsoB4AaABAg	Freezetyle
Ugzq90TIAxGL2lSjsoB4AaABAg.95hMEtvx4oF9In-MjGoq4t		0	2021-01-21 20:19:26	David Q Heffner	I can't find an unbiased report.	UCTxnhkccnz0ReNjSsxNsPyA	http://www.youtube.com/channel/UCTxnhkccnz0ReNjSsxNsPyA	1	Ugzq90TIAxGL2lSjsoB4AaABAg	Freezetyle
Ugzq90TIAxGL2lSjsoB4AaABAg.95hMEtvx4oF9Im9DP_g3RZ		1	2021-01-21 12:26:18	NE Locks	@James Brown not even sort of lol	UC9IHRbx232kOKIkzXmEfhyw	http://www.youtube.com/channel/UC9IHRbx232kOKIkzXmEfhyw	1	Ugzq90TIAxGL2lSjsoB4AaABAg	Freezetyle
Ugzq90TIAxGL2lSjsoB4AaABAg.95hMEtvx4oF9IFGrJHDrWI		1	2021-01-08 08:38:52	James Brown	@Lord Lesuo generally, yes.	UCjscHmzA1CdXvvmOrPJ-mHg	http://www.youtube.com/channel/UCjscHmzA1CdXvvmOrPJ-mHg	1	Ugzq90TIAxGL2lSjsoB4AaABAg	Freezetyle
Ugzq90TIAxGL2lSjsoB4AaABAg.95hMEtvx4oF9ICvP9w-F3C		1	2021-01-07 10:44:11	Lord Lesuo	@James Brown yea right cause the CNN, new york times and the BBC are clearly non-biased as well right?	UC1rHcYyG25VLIx1mlbLKexg	http://www.youtube.com/channel/UC1rHcYyG25VLIx1mlbLKexg	1	Ugzq90TIAxGL2lSjsoB4AaABAg	Freezetyle
Ugzq90TIAxGL2lSjsoB4AaABAg.95hMEtvx4oF9Eym5ZohY3F		1	2020-10-19 00:00:04	James Brown	I know! I was thinking when does the spin kick in?	UCjscHmzA1CdXvvmOrPJ-mHg	http://www.youtube.com/channel/UCjscHmzA1CdXvvmOrPJ-mHg	1	Ugzq90TIAxGL2lSjsoB4AaABAg	Freezetyle
Ugzq90TIAxGL2lSjsoB4AaABAg.95hMEtvx4oF9EbjjiEdKxB		0	2020-10-10 01:16:56	maggy chin	hahaha i know right!! unheard of :0	UCiEn8sifsJopUaicpVntuVA	http://www.youtube.com/channel/UCiEn8sifsJopUaicpVntuVA	1	Ugzq90TIAxGL2lSjsoB4AaABAg	Freezetyle
UghZtIQIx5GtCHgCoAEC	0	0	2017-06-02 13:15:57	oldGnRrocks1	the very next day this was uploaded, trump withdraws from paris climate agreement	UCumcqjR0W8flsAYcZ4BOFmg	http://www.youtube.com/channel/UCumcqjR0W8flsAYcZ4BOFmg	0		
UgyzktqPMnSSEPcJSiR4AaABAg	0	14	2018-09-14 21:01:10	0123456789 Google V	he didn&#39;t say global warming to be fake, he said the accord to be a scam	UCx1XZoam-UTSNxA03KJTVcg	http://www.youtube.com/channel/UCx1XZoam-UTSNxA03KJTVcg	0		
Ugy3WtjK3lOHvcekRAV4AaABAg	6	3	2017-10-14 21:41:34	Elena Gisa	I thought this Agreement begins in 2021	UCo4O_qQLUklhW_lwJpjVD2g	http://www.youtube.com/channel/UCo4O_qQLUklhW_lwJpjVD2g	0		
Ugy3WtjK3lOHvcekRAV4AaABAg.8Yi6peS-kVh9J1IoDwNhu8		0	2021-01-27 18:57:57	Gamer Visions	@Jae Prize I’m trying to learn this deal as to why we pulled out, cuz from the video it sounds like a good idea, but I know now that as far as carbon admissions goal u.s. has done good and that’s being out of the deal. I just want to know like why trumpet thinks it’s a scam and how other countries are benefiting off of this deal	UC3PE3w0F2MZntSNtJx9E0bw	http://www.youtube.com/channel/UC3PE3w0F2MZntSNtJx9E0bw	1	Ugy3WtjK3lOHvcekRAV4AaABAg	Elena Gisa
Ugy3WtjK3lOHvcekRAV4AaABAg.8Yi6peS-kVh9IrusE44mlE		1	2021-01-23 18:07:39	Elena Gisa	@Jae Prize yes, Trump got cheated and backstabbed even by the ones very close to him like Pence. What I don't get is how can Biden put himself out there knowing people didn't elect him, didn't want him and he is president only because he cheated.	UCo4O_qQLUklhW_lwJpjVD2g	http://www.youtube.com/channel/UCo4O_qQLUklhW_lwJpjVD2g	1	Ugy3WtjK3lOHvcekRAV4AaABAg	Elena Gisa
Ugy3WtjK3lOHvcekRAV4AaABAg.8Yi6peS-kVh9IlDqgsgaOt		0	2021-01-21 03:47:31	Jae Prize	@Elena Gisa I know, what I meant was. If Trump wouldn't have got cheated out of the election, we wouldn't be going back into this horrible Paris Climate Accord. Oh well what could've been eh? How are you liking the future, since this comment is 3 years old.	UC1hD52-eMbvdHoCShDTfDKw	http://www.youtube.com/channel/UC1hD52-eMbvdHoCShDTfDKw	1	Ugy3WtjK3lOHvcekRAV4AaABAg	Elena Gisa
Ugy3WtjK3lOHvcekRAV4AaABAg.8Yi6peS-kVh9IlD6cnA0iD		0	2021-01-21 03:41:05	Elena Gisa	@Jae Prize my comment is 3 years old	UCo4O_qQLUklhW_lwJpjVD2g	http://www.youtube.com/channel/UCo4O_qQLUklhW_lwJpjVD2g	1	Ugy3WtjK3lOHvcekRAV4AaABAg	Elena Gisa
Ugy3WtjK3lOHvcekRAV4AaABAg.8Yi6peS-kVh9IlCXbn5iRD		0	2021-01-21 03:36:02	Jae Prize	Now it is.	UC1hD52-eMbvdHoCShDTfDKw	http://www.youtube.com/channel/UC1hD52-eMbvdHoCShDTfDKw	1	Ugy3WtjK3lOHvcekRAV4AaABAg	Elena Gisa
Ugy3WtjK3lOHvcekRAV4AaABAg.8Yi6peS-kVh9Il6tlztC_f		0	2021-01-21 02:46:46	Moktadir	Now it is	UC83STkdf8J1zaCx_6hI74tg	http://www.youtube.com/channel/UC83STkdf8J1zaCx_6hI74tg	1	Ugy3WtjK3lOHvcekRAV4AaABAg	Elena Gisa
UgzZgazSMP74M9n-poJ4AaABAg	0	5	2020-03-09 01:54:06	Official Simbah	It is real but it isn’t exactly what you think it is!	UCktwYqlvfZmb-HPiCkSa_RQ	http://www.youtube.com/channel/UCktwYqlvfZmb-HPiCkSa_RQ	0		
Ugx4ehGPi4FGYsYatol4AaABAg	6	5	2020-11-14 05:02:18	Janice Lansel	What caused the ice to melt during the ice age? There were no smoke stacks or vehicles then! Paris accord just helps beuracrats to get rich! Climate change is how the Earth balances itself from the beginning of time!	UCJc2QR-GPUcKHkeXufKlaxw	http://www.youtube.com/channel/UCJc2QR-GPUcKHkeXufKlaxw	0		
