id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgwJhyxK2AET4xWB2nF4AaABAg	34	10	2019-10-23 21:01:15	Above The Noise	So let us know...when it comes to climate change and our collective fate as humans on Earth -- are you an optimist or a pessimist?	UC4K10PNjqgGLKA3lo5V8KdQ	http://www.youtube.com/channel/UC4K10PNjqgGLKA3lo5V8KdQ	0		
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA9Ks5h18sfPx		0	2021-03-14 12:53:45	Onyx Barrett	@Fredericka Kopacz wow! Took roughly 10 minutes but it worked!	UCY19O6FCZn6bCE7lrGIrr4w	http://www.youtube.com/channel/UCY19O6FCZn6bCE7lrGIrr4w	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA9Ks3u1sGwBD		0	2021-03-14 12:38:03	Fredericka Kopacz	I dont know if anyone cares at all but I just hacked my friends Instagram account using Instaportal. Just google for it :)	UCumTSaytqHWl7NP000fnzCA	http://www.youtube.com/channel/UCumTSaytqHWl7NP000fnzCA	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA9B2m0fSwAkS		0	2020-07-13 12:30:02	Thijs	im very pessimistic , most people are too ignorant and selfish to change their habits	UCNgmLZkjHsJAeiAKpD0GCPw	http://www.youtube.com/channel/UCNgmLZkjHsJAeiAKpD0GCPw	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA98UYwjse5v4		0	2020-05-10 17:51:34	Saigai Hikigane	Above The Noise again though, our best chance would be to somehow get Carbon dioxide out of the atmosphere itself, if only to buy us more time	UCNBetk9mv_3GWbQ1wy07HFw	http://www.youtube.com/channel/UCNBetk9mv_3GWbQ1wy07HFw	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA98UYit5GOn3		0	2020-05-10 17:49:41	Saigai Hikigane	Above The Noise There’s plenty of ways to save the climate right now, but just about all of them require a major amount of cooperation. If every country stopped producing CO2, it would take nearly a century for the effects to be felt due to how long it stays in the atmosphere. We might have a chance if we find a way to trap and remove it from the atmosphere. But tbh the emissions would have to be cut 50% over the long term for things to get better.	UCNBetk9mv_3GWbQ1wy07HFw	http://www.youtube.com/channel/UCNBetk9mv_3GWbQ1wy07HFw	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA943vMij8Wj1		0	2020-01-21 23:31:10	blackestjake	I want to be an optimist but the more I research climate change and reflect on human nature the more pessimistic I become.	UC21A72jr2Zr1ovb1J4-Sp4Q	http://www.youtube.com/channel/UC21A72jr2Zr1ovb1J4-Sp4Q	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA91wnIsUzW4y		0	2019-11-30 02:44:01	Amanda Nelson	We are fucked the writing is on the wall. The elites will decided to geoengineer at the last second to try and slow down the collapse but meaningful steps won’t be taken to cut our emissions before it’s too late.	UCHE7EY6f3-poi27IGk0ryPg	http://www.youtube.com/channel/UCHE7EY6f3-poi27IGk0ryPg	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA91aGrDFar2W		0	2019-11-21 08:48:27	Daniel Navarro	Above The Noise I'm an optimistic nihilist, because I have grown tired of outrage culture, but believe in change.	UCaZuLButxMZThVaUkDcp3SQ	http://www.youtube.com/channel/UCaZuLButxMZThVaUkDcp3SQ	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA919TSlDb9qO		0	2019-11-10 13:39:50	stephen mason	AnoniemHK and with co2 rise comes ocean acidification, global warming. droughts, fires, flooding and salt water incursion into mangroves and aquifer soils with sea lvl rise, the loss reliable weather systems,patterns, these will not be good for plants. Temperature rise lowers crop nutrition. We have evolved in a relatively stable system do you really think rapidly changing the chemical makeup of the atmosphere is a good thing and we should not care? U.K. Met office predicts UK will have a climate like Barcelona by 2050! What effect do you think that would have on our native species of plants and trees and you have to consider what the f. K Barcelonas climate be like? Humanities resource overshoot is currently running at around 1.5 planet Earths a year , human population has gone from around 3.5 billion to around 7.5 in the last 40, 50 years and growing. We are destroying nature faster than ever before . Infinite growth on a finite planet is not going to work. Global Industrial civilisation is on a suicide mission. Guess whatever I say or evidence I bring I will not change your mind. and I am the same . I have looked at the evidence across climate change, politics, biodiversity loss, pollution, micro plastics in the environment and food chain. pesticides in the environment. Population, resources overshoot, extinction rates, Arctic amplification, Arctic methane. thawing permafrost. Global food and fresh water projections for the coming decades, ocean acidification, stratification, deoxygenation. My conclusion is we are turning nature to cash as fast as we can with no concern for our biosphere and or web of life. If your understanding of co2 is different to mine so be it but we have many more to fear regardless of climate change, of that I hope we can both agree 👍	UCfo3nvvM4A-hjQUZD3oKOgA	http://www.youtube.com/channel/UCfo3nvvM4A-hjQUZD3oKOgA	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA919MzJqMj3c		0	2019-11-10 12:43:15	AnoniemHK	stephen mason well i live in the Netherlands, we are 2e biggest agricultural producer... on this very tinny piece of land... we have a lot of greenhouses and they the farmers are pumping 2,5 to 3 times as much CO2 in the greenhouses... so the plants 🌱 wil grow faster and bigger..👍🏻 I can give you one advice: look ad the counter argument professors..	UCEM6grF1gvHcXLA6z6xCOhA	http://www.youtube.com/channel/UCEM6grF1gvHcXLA6z6xCOhA	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA919MF9VGCjW		0	2019-11-10 12:36:49	AnoniemHK	stephen mason reality check overpopulation: https://youtu.be/r_iNRGac_uM	UCEM6grF1gvHcXLA6z6xCOhA	http://www.youtube.com/channel/UCEM6grF1gvHcXLA6z6xCOhA	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA919LVG-V2cP		1	2019-11-10 12:30:16	Władca Wymiaru	@stephen mason I can't believe how awfully BLIND you are...few things: 1. Accodring to *Ideal Gas Law* - a base law of gases&atmospheres - CO2 is nothing special and no different than other. Proven with my calculations and REPEATABLE result of *1000Frolly* - they agree with direct planet observation. I did calculations for every planet. All results were that same. Sorry but 6 planets and one moon are laughing from your lies. PV=nRT not CO2=T... I DO NOT care you trust him or not. Take the "meteorology subject" lesson in *Engineering College* like me. 2. As a scientinst, not the fool, oceans are BASIC and ALWAYS will be basic because basalt rock that ocean lies on it, is always alcaline, full of metal oxides. More there: https://youtu.be/4bJjBo5ICMc?t=14m36s Patric Moore is one of the *Greenpeace* founders... 3. Climate is always changing, now we have change from "little Ice Age" when permafrosts were formed. Methane as we described is not a GHG gas. 4. During the winter in your own room CO2 schoot high as 1700 ppm, you never noticed, don't you? Your pets and plants too... 5. Plants love CO2, their optimal level is 1200 ppm. Proven. More of this gas equal: www.youtube.com/watch?v=S-nsU_DaIZE 6. *NASA, NOAA and IPCC* are proven liars, here is the past compilation: https://www.youtube.com/watch?v=Vyig6r8lgWE *Tony Heller* has TONS of usefull videos https://youtu.be/VNy7tTY0Vek?t=651 - a HORRIBLE KO for NASA 7. Sea level: https://youtu.be/CffMifh73ZE?t=1032 - rock solid argument https://youtu.be/NJtpdTbHY30?t=4m2s - Sea Level (The battery New York City) www.youtube.com/watch?v=9mjOmsqIibk - fort Denison 8. And pineapple on our cake: https://youtu.be/d0Z5FdwWw_c?t=1363 - last time and CO2 corelation *KO mf*	UCherSgfuX4ODBO5-pMrThYg	http://www.youtube.com/channel/UCherSgfuX4ODBO5-pMrThYg	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA919Fw7CSoA3		0	2019-11-10 11:41:39	stephen mason	Władca Wymiaru https://youtu.be/pqywSUFPc8s Exxon scientists in congress	UCfo3nvvM4A-hjQUZD3oKOgA	http://www.youtube.com/channel/UCfo3nvvM4A-hjQUZD3oKOgA	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA919FJgxrxLW		0	2019-11-10 11:36:16	stephen mason	Władca Wymiaru sorry I don't believe frolly, when most of the worlds countries have signed up to the Paris climate agreement, the US military's recent assessment on climate change and potential collapse Of US military in the coming decades dew to climate change. Then we can look at the fossil fuel industry's own scientific analysis of climate change and the burning of fossil fuels known some 30 years ago that correctly predicted current emissions and temperature rise and effects to the biosphere. Hopefully even if you don't agree with climate change you are on board with the ecological disaster we are creating regardless of climate change. Never before have there been so many people with the technology to convert nature to cash at such a rate.	UCfo3nvvM4A-hjQUZD3oKOgA	http://www.youtube.com/channel/UCfo3nvvM4A-hjQUZD3oKOgA	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
UgwJhyxK2AET4xWB2nF4AaABAg.90RueyYvZWA919AVMJdXhn		0	2019-11-10 10:54:10	stephen mason	Just another thing about co2 being life what are your thoughts about ocean acidification and its affects on ocean life bearing in mind if we lose the oceans we lose terrestrial life. Think you may find rising co2 is not good at all for ocean life. We were in a fairly balanced system, tipping the balance will not work out well for life on Earth	UCfo3nvvM4A-hjQUZD3oKOgA	http://www.youtube.com/channel/UCfo3nvvM4A-hjQUZD3oKOgA	1	UgwJhyxK2AET4xWB2nF4AaABAg	Above The Noise
