id	cjuGCJJUGsg
published	2014-05-12 03:30:01
published_unix	1399865401
title	Climate Change Debate: Last Week Tonight with John Oliver (HBO)
description	John Oliver hosts a mathematically representative climate change debate, with the help of special guest Bill Nye the Science Guy, of course. Connect with Last Week Tonight online... Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight Find Last Week Tonight on Facebook like your mom would: http://Facebook.com/LastWeekTonight Follow us on Twitter for news about jokes and jokes about news: http://Twitter.com/LastWeekTonight Visit our official site for all that other stuff at once: http://www.hbo.com/last-week-tonight-with-john-oliver It's HBO.
channelId	UC3XTzVzaHQEd30rQbuvCtTQ
channelTitle	LastWeekTonight
duration	PT4M27S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	8641915
likeCount	87190
dislikeCount	3514
favoriteCount	0
commentCount	9826
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
