id	cvIiZc6uAXA
published	2019-09-28 14:08:15
published_unix	1569679695
title	Our House Is On Fire
description	A note from Billie: right now there are millions of people all over the world begging our leaders to pay attention. our earth is warming up at an unprecedented rate, icecaps are melting, our oceans are rising, our wildlife is being poisoned and our forests are burning. the clock is ticking #climateemergency
channelId	UCiGm_E4ZwYSHV3bcW1pnSeQ
channelTitle	Billie Eilish
duration	PT1M17S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	
viewCount	5350009
likeCount	427431
dislikeCount	29643
favoriteCount	0
commentCount	43544
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
