id	dC7A9FHLreI
published	2018-06-15 10:26:53
published_unix	1529058413
title	Climate change is already irreversible
description	Start your journey towards coding your own EMIC with Brilliant! https://brilliant.org/simonclark - Carbon capture paper: https://www.cell.com/joule/fulltext/S2542-4351(18)30225-3 - Solomon paper: http://www.pnas.org/content/106/6/1704 - More about EMICs: https://www.ipcc.ch/publications_and_data/ar4/wg1/en/ch8s8-8-3.html - Further paper on carbon capture: http://science.sciencemag.org/content/325/5948/1654 - Species extinction due to climate change: http://science.sciencemag.org/content/348/6234/571.full and https://www.theguardian.com/environment/2017/dec/28/ice-will-return-but-extinctions-cant-be-reversed-we-must-act-climate-change - How to make a difference if you're a student: https://www.youtube.com/edit?o=U&video_id=PQ28K-LDH14 - My blog post: https://www.simonoxfphys.com/blog/2018/6/15/extra-information-about-irreversible-climate-change You can support the channel by donating at http://www.patreon.com/simonoxfphys Check out my website! https://www.simonoxfphys.com/ ---------- II ---------- Music by Epidemic Sound: http://epidemicsound.com Huge thanks to my supporters on Patreon: Dan Hanvey, David Efird, Suzanna Hofman, Amy Hadden, Ethan Fuller, Charles Bray, Syafiq Kay, Xavier Chesterfield, Jay Wright, Myles Kornfeld, Louis Gillet, Michael Phillips, Fraser Birks, Martin Hermes, Luca Schumann, Rhys Rickard-Frost, Cameron Matchett, Lachlan Woods, Tim Boxall, Simon Vaes, Gabriele Mozzicato, Jawad Alalasi, Gaia Frazao Nery, Kodzo, Claire Anthony, Eve Dillon, Rowan Gow, Matthias Loos, James Bridges, James Craig, Angela, Sanaa Al Derei, Mark Anthony Magro, Liam, Theresa Wang, Kieran Kelly, Wendover Productions, Kendra Johnson, Caitlin Louise. ---------- II ---------- Vlogs from Oxford students - http://www.youtube.com/oxvlog My twitter - http://www.twitter.com/simonoxfphys My facebook - http://www.facebook.com/youtubesimon My insta - http://www.instagram.com/simonoxfphys My goodreads - http://www.goodreads.com/simonoxfphys
channelId	UCRRr_xrOm66qaigIbwFLvbQ
channelTitle	Simon Clark
duration	PT10M39S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	357035
likeCount	10623
dislikeCount	1449
favoriteCount	0
commentCount	5528
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
