id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgwGXQJrTGE6Egaku8N4AaABAg	11	62	2021-01-27 19:27:06	Excuse You?	I’m really happy that Biden cares about the environment. Honestly, the environment is the most important topic to me.	UCd1kc2s56Xu8DS3QYUdqK3A	http://www.youtube.com/channel/UCd1kc2s56Xu8DS3QYUdqK3A	0		
UgwGXQJrTGE6Egaku8N4AaABAg.9J1M8cRd0qD9Jde_1lUnIW		0	2021-02-12 01:47:14	Pinche Gringo	@Excuse You? usually there "involvement" leads to corruption in most cases. So with that being said WE can meet in the middle and agree OUR system is flawed, agree? I dont believe theres ANY government official of any kind that is working for WE THE PEOPLE. But my question although vague, was in regards to the government infringing on OUR righs. Do you believe hate speech is free speech?	UC3rDLT4FG82tzKkTbmGhIJw	http://www.youtube.com/channel/UC3rDLT4FG82tzKkTbmGhIJw	1	UgwGXQJrTGE6Egaku8N4AaABAg	Excuse You?
UgwGXQJrTGE6Egaku8N4AaABAg.9J1M8cRd0qD9Jda4cofrEy		0	2021-02-12 01:08:00	Excuse You?	@Pinche Gringo I believe in more restrictions for emissions, water purity, and dumping. So yes, I support more government involvement. It’s really not that big a deal if the gov’t is slightly more involved. People that are against regulations like that are the same people that think universal Medicare is a cardinal sin or something.	UCd1kc2s56Xu8DS3QYUdqK3A	http://www.youtube.com/channel/UCd1kc2s56Xu8DS3QYUdqK3A	1	UgwGXQJrTGE6Egaku8N4AaABAg	Excuse You?
UgwGXQJrTGE6Egaku8N4AaABAg.9J1M8cRd0qD9JdZNi1guw3		0	2021-02-12 00:53:08	Pinche Gringo	@Excuse You? its MOSTLY filled with thing that have NOTHING to do with helping the environment/climate. Look it up in detail. I gotta ask: Do you believe more restrictions,more regulations,more laws, more government control over the people equals more freedom(s)?	UC3rDLT4FG82tzKkTbmGhIJw	http://www.youtube.com/channel/UC3rDLT4FG82tzKkTbmGhIJw	1	UgwGXQJrTGE6Egaku8N4AaABAg	Excuse You?
UgwGXQJrTGE6Egaku8N4AaABAg.9J1M8cRd0qD9JdYXmphAx8		0	2021-02-12 00:45:46	Excuse You?	@Pinche Gringo Honesty, what’s your problem with GND? Like of course it’s great to conserve resources at home but that alone isn’t going to help the environment.	UCd1kc2s56Xu8DS3QYUdqK3A	http://www.youtube.com/channel/UCd1kc2s56Xu8DS3QYUdqK3A	1	UgwGXQJrTGE6Egaku8N4AaABAg	Excuse You?
UgwGXQJrTGE6Egaku8N4AaABAg.9J1M8cRd0qD9JdXj8ztYeb		0	2021-02-12 00:38:43	Pinche Gringo	@Excuse You? @Excuse You? i definitely do! But only one ( i use paper towels some). Its your comment man but yet i think you might be guilty of most if not all of those thing i mentioned. I never left a comment sucking mother earths 🍌. If* you do the thing's i mentioned then quit pushing "GND". Instead Simplely start eliminating waste/pollution	UC3rDLT4FG82tzKkTbmGhIJw	http://www.youtube.com/channel/UC3rDLT4FG82tzKkTbmGhIJw	1	UgwGXQJrTGE6Egaku8N4AaABAg	Excuse You?
UgwGXQJrTGE6Egaku8N4AaABAg.9J1M8cRd0qD9JdX_IYjO9H		0	2021-02-12 00:37:22	Pinche Gringo	You reporting my response "bruh"	UC3rDLT4FG82tzKkTbmGhIJw	http://www.youtube.com/channel/UC3rDLT4FG82tzKkTbmGhIJw	1	UgwGXQJrTGE6Egaku8N4AaABAg	Excuse You?
UgwGXQJrTGE6Egaku8N4AaABAg.9J1M8cRd0qD9JdQ4EsG-YJ		1	2021-02-11 23:31:50	Excuse You?	@Pinche Gringo Bruh stfu you probably do at least one of those things you mentioned.	UCd1kc2s56Xu8DS3QYUdqK3A	http://www.youtube.com/channel/UCd1kc2s56Xu8DS3QYUdqK3A	1	UgwGXQJrTGE6Egaku8N4AaABAg	Excuse You?
UgwGXQJrTGE6Egaku8N4AaABAg.9J1M8cRd0qD9J9lhSVFPhH		0	2021-01-31 01:53:06	Pinche Gringo	I call BS if you : -drink from any disposable container. -use paper towles,paper/styrofoam plates. -leave unused lights going -brush teeth while water runs. If you do any of these things, do not reply. Simply rethink how signing "green" bills packed with loads of things that have NOTHING to do with "helping the environment" help the economy and make changes in your daily life. My 0.02	UC3rDLT4FG82tzKkTbmGhIJw	http://www.youtube.com/channel/UC3rDLT4FG82tzKkTbmGhIJw	1	UgwGXQJrTGE6Egaku8N4AaABAg	Excuse You?
UgwGXQJrTGE6Egaku8N4AaABAg.9J1M8cRd0qD9J1lAypWNHc		1	2021-01-27 23:14:36	bngr bngr	Hopefully you don’t have an evil job that needs to be eliminated	UC60HAT0U6qa3TLujX57w0oQ	http://www.youtube.com/channel/UC60HAT0U6qa3TLujX57w0oQ	1	UgwGXQJrTGE6Egaku8N4AaABAg	Excuse You?
