id	eNx9tvCrvv8
published	2014-08-29 22:47:26
published_unix	1409352446
title	Climate Change is Boring
description	Have your voice heard at the UN Climate Summit in NYC, September 23: http://bit.ly/WhyNotVe Interview filming by Chris Cassella: http://bit.ly/ScienceAlertVe
channelId	UCHnyfMqiRRG1u-2MsSQLbXA
channelTitle	Veritasium
duration	PT4M56S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	813621
likeCount	30887
dislikeCount	2188
favoriteCount	0
commentCount	6542
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
