id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxXesPmyBwSZED-h_Z4AaABAg	17	79	2020-12-11 14:13:51	G June36	There is no hope. Can&#39;t even get people to wear a mask to save them from immediate threat.	UCsjOKwfcK-TMeZFWqJT-0Rw	http://www.youtube.com/channel/UCsjOKwfcK-TMeZFWqJT-0Rw	0		
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9JJ6igLggQX		1	2021-02-03 16:58:40	Alexander Ramallo	@Jocsan Rojas for the time being... democrats will turn this into a totalitarian rule soon. Free speech is becoming censored and liberals think they aren't next	UCyh3wOQyuaVxf6pTZKADGoQ	http://www.youtube.com/channel/UCyh3wOQyuaVxf6pTZKADGoQ	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9JJ6_HmyLZj		0	2021-02-03 16:57:23	Alexander Ramallo	@Creemative this comment didn't age well lol	UCyh3wOQyuaVxf6pTZKADGoQ	http://www.youtube.com/channel/UCyh3wOQyuaVxf6pTZKADGoQ	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9HNf2YQhb38		0	2020-12-17 18:21:32	Lorenzo Von Höltz	anyone has the right to choose what they wear	UCoOvigVPVVzKLiImo4IB28g	http://www.youtube.com/channel/UCoOvigVPVVzKLiImo4IB28g	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9HBAaUlzdq-		0	2020-12-12 21:55:48	Darth Jar Jar Binks The real Sith lord	@Kungfu coder Me to.	UCLamZWk55ROkUxvbge5ckYw	http://www.youtube.com/channel/UCLamZWk55ROkUxvbge5ckYw	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9HAKdqilrk6		1	2020-12-12 14:04:24	Jocsan Rojas	@Demoking don’t be I feel safe and pls don’t listen to the hater of America because this a nation where you can come poor and have a business like my uncle	UCNdsY3ToolTcIS_4Thb4tHg	http://www.youtube.com/channel/UCNdsY3ToolTcIS_4Thb4tHg	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9HAKSOpX4nG		0	2020-12-12 14:02:42	Jocsan Rojas	@Flibbertigibbet6 facts	UCNdsY3ToolTcIS_4Thb4tHg	http://www.youtube.com/channel/UCNdsY3ToolTcIS_4Thb4tHg	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H9egn8eNfj		1	2020-12-12 07:49:03	Demoking	@Jocsan Rojas i am so sorry for you If you Are in america	UCQlYzqinLLfNTYyYR4iCL7A	http://www.youtube.com/channel/UCQlYzqinLLfNTYyYR4iCL7A	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H8NX0936f-		0	2020-12-11 19:51:03	•RubyInkWell•	@Creemative lmao yes	UCNdSgGjCuDRaDTqhr7wWaQw	http://www.youtube.com/channel/UCNdSgGjCuDRaDTqhr7wWaQw	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H8JurO3xHZ		0	2020-12-11 19:19:30	pineapple Lord	@Jocsan Rojas whic part tho	UCaHBLJU-wAVnSMgcQYj_8rg	http://www.youtube.com/channel/UCaHBLJU-wAVnSMgcQYj_8rg	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H8JteECoem		0	2020-12-11 19:19:20	pineapple Lord	@Fateha Baber i didn't expect that lol	UCaHBLJU-wAVnSMgcQYj_8rg	http://www.youtube.com/channel/UCaHBLJU-wAVnSMgcQYj_8rg	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H8HSFqZ9xx		0	2020-12-11 18:57:59	Jocsan Rojas	@Creemative you are lucky to be in America	UCNdsY3ToolTcIS_4Thb4tHg	http://www.youtube.com/channel/UCNdsY3ToolTcIS_4Thb4tHg	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H8H82ZFmUu		0	2020-12-11 18:55:13	Big yoshi	@Jocsan Rojas Europe is a pretty broad term, at the very least not all countries are like that	UCyG4MFXp7E4Xu-ej0oGCWrA	http://www.youtube.com/channel/UCyG4MFXp7E4Xu-ej0oGCWrA	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H86tws4vOG		1	2020-12-11 17:25:47	Jocsan Rojas	@pineapple Lord also Europe	UCNdsY3ToolTcIS_4Thb4tHg	http://www.youtube.com/channel/UCNdsY3ToolTcIS_4Thb4tHg	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H84IY2wxST		11	2020-12-11 17:03:03	Creemative	As an American I can confirm that this is the dumbest country on the planet and should not be seen as an example of what the world is at least until Trump is out of office.	UCwnY-VmIl5I6AWPzxLGkutg	http://www.youtube.com/channel/UCwnY-VmIl5I6AWPzxLGkutg	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H81IJl9xwx		3	2020-12-11 16:36:49	Kungfu coder	yeah who cares, I hate humans anyways.	UCgUBDTsEI6qX3L28yq6fjqQ	http://www.youtube.com/channel/UCgUBDTsEI6qX3L28yq6fjqQ	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H81DWJR3if		2	2020-12-11 16:36:09	pineapple Lord	thats only in america relax lol	UCaHBLJU-wAVnSMgcQYj_8rg	http://www.youtube.com/channel/UCaHBLJU-wAVnSMgcQYj_8rg	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
UgxXesPmyBwSZED-h_Z4AaABAg.9H7lwEbhq8o9H7xKFFbGmQ		1	2020-12-11 15:53:23	Not telling you my name	Lmaooo	UCsz4Mcc4VACNQk7_J9989bA	http://www.youtube.com/channel/UCsz4Mcc4VACNQk7_J9989bA	1	UgxXesPmyBwSZED-h_Z4AaABAg	G June36
Ugw1v-uKTwzxjnef1wJ4AaABAg	5	82	2020-12-11 15:51:29	Golden BisRuss	&quot;Leaders can make great speeches, but cannot make the solution a reality.&quot; This is a quote I stand.	UC-qeam8BdBKp5VImzYd4MWw	http://www.youtube.com/channel/UC-qeam8BdBKp5VImzYd4MWw	0		
Ugw1v-uKTwzxjnef1wJ4AaABAg.9H7x6HSq5279H91Amf0klH		2	2020-12-12 01:55:01	Golden BisRuss	@Jocsan Rojas I am not talking about her.... I am talking about the world leaders...	UC-qeam8BdBKp5VImzYd4MWw	http://www.youtube.com/channel/UC-qeam8BdBKp5VImzYd4MWw	1	Ugw1v-uKTwzxjnef1wJ4AaABAg	Golden BisRuss
Ugw1v-uKTwzxjnef1wJ4AaABAg.9H7x6HSq5279H88V4VNPFl		8	2020-12-11 17:39:43	Hasitha Wijethunga	@Jocsan Rojas yes.she has no plan.many people point out problems but none of them have any answers.	UC1-2FIjqiSHKa81UPJkpPqQ	http://www.youtube.com/channel/UC1-2FIjqiSHKa81UPJkpPqQ	1	Ugw1v-uKTwzxjnef1wJ4AaABAg	Golden BisRuss
Ugw1v-uKTwzxjnef1wJ4AaABAg.9H7x6HSq5279H87QbzqXox		4	2020-12-11 17:30:22	Jocsan Rojas	@Hasitha Wijethunga do you agree she has no plans	UCNdsY3ToolTcIS_4Thb4tHg	http://www.youtube.com/channel/UCNdsY3ToolTcIS_4Thb4tHg	1	Ugw1v-uKTwzxjnef1wJ4AaABAg	Golden BisRuss
Ugw1v-uKTwzxjnef1wJ4AaABAg.9H7x6HSq5279H8777kA_u-		1	2020-12-11 17:27:43	Hasitha Wijethunga	Like president putin said	UC1-2FIjqiSHKa81UPJkpPqQ	http://www.youtube.com/channel/UC1-2FIjqiSHKa81UPJkpPqQ	1	Ugw1v-uKTwzxjnef1wJ4AaABAg	Golden BisRuss
Ugw1v-uKTwzxjnef1wJ4AaABAg.9H7x6HSq5279H86J0AEZBo		9	2020-12-11 17:20:36	Jocsan Rojas	She has no solution	UCNdsY3ToolTcIS_4Thb4tHg	http://www.youtube.com/channel/UCNdsY3ToolTcIS_4Thb4tHg	1	Ugw1v-uKTwzxjnef1wJ4AaABAg	Golden BisRuss
