id	ewJ6TI8ccAw
published	2019-05-09 17:51:10
published_unix	1557424270
title	The In-depth Story Behind a Climate Fraud
description	Dr. John Robson investigates the unsound origins and fundamental inaccuracy, even dishonesty, of the claim that 97% of scientists, or "the world's scientists", or something agree that climate change is man-made, urgent and dangerous. For a transcript of this video including links to some of the sources, please visit http://climatediscussionnexus.com/videos/the-97-consensus-slogan/ To support the Climate Discussion Nexus, subscribe to our YouTube channel (http://www.youtube.com/channel/UC_egdS4871949youPFyvW_A) and our newsletter (at http://www.climatediscussionnexus.com/), like us on Facebook (http://www.facebook.com/ClimateDN/), follow us on Twitter (http://www.twitter.com/ClimateDN), and make a monthly or one-time pledge at http://www.climatediscussionnexus.com/donate/
channelId	UC_egdS4871949youPFyvW_A
channelTitle	CDN
duration	PT16M16S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	1017342
likeCount	31948
dislikeCount	3037
favoriteCount	0
commentCount	8228
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
