id	ffjIyms1BX4
published	2014-12-08 22:04:17
published_unix	1418076257
title	Climate Science: What You Need To Know
description	Learn the basic science of climate change in 24 easy steps. Viewers like you help make PBS (Thank you 😃) . Support your local PBS Member Station here: https://to.pbs.org/PBSDSDonate Subscribe to It's Okay To Be Smart: http://bit.ly/iotbs_sub Scientists overwhelmingly agree that our climate is changing, Earth is getting warmer, sea levels are rising, and it's primarily because of humans putting lots of carbon dioxide in the atmosphere. Whether you already trust in the science, you're undecided, or you disagree with what all this, this video is for you! SOURCES LISTED HERE: http://bit.ly/1zGbOry Want to learn about the science of climate change and why humans are causing it, but in layman's terms? I recommend these books: Climate Change: Evidence and Causes (National Academy of Sciences/Royal Society) FREE ebook: http://amzn.to/1w6itfl Global Weirdness (Climate Central) http://amzn.to/1BtZZbP How to Change Minds About Our Changing Climate (Seth Darling + Douglas Sisterson) http://amzn.to/12jjcxN Produced by PBS Digital Studios: http://www.youtube.com/user/pbsdigitalstudios Joe Hanson - Creator/Host/Writer Joe Nicolosi - Director Amanda Fox - Producer, Spotzen IncKate Eads - Associate Producer Andrew Matthews - Editing/Motion Graphics Katie Graham - Director of Photography John Knudsen - Gaffer Dalton Allen - Post-Production Intern Theme music: "Ouroboros" by Kevin MacLeod ----------- Join us on Patreon! https://patreon.com/itsokaytobesmart Twitter http://www.twitter.com/DrJoeHanson http://www.twitter.com/okaytobesmart Instagram http://www.instagram.com/DrJoeHanson http://www.instagram.com/okaytobesmart Merch https://store.dftba.com/collections/its-okay-to-be-smart Facebook https://www.facebook.com/itsokaytobesmartpbs/
channelId	UCH4BNI0-FOK2dMXoFtViWHw
channelTitle	It's Okay To Be Smart
duration	PT6M20S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	1096597
likeCount	23626
dislikeCount	1788
favoriteCount	0
commentCount	5777
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
