id	ga-RBuhcJ7w
published	2019-11-19 18:07:54
published_unix	1574186874
title	Climate Change - Myth or Reality?
description	Climate Change - Myth or Reality? Patrick Bet-David takes a neutral stance in looking at both sides of the climate change argument. Are you a climate change scientist, or know an expert on the subject, we want to hear from you - comment below. Subscribe to for all notifications http://bit.ly/2aPEwD4 Share your thoughts with Patrick Bet-David by texting 310.340.1132 or send a tweet to https://www.twitter.com/patrickbetdavid You can reach the Valuetainment team: info@valuetainment.com External Links and Articles: Ice melting time lapse and speech by James Balog: https://www.youtube.com/watch?v=yTDdY1UG7ug https://vimeo.com/168243535 https://www.statista.com/statistics/271748/the-largest-emitters-of-co2-in-the-world/ https://www.bbc.com/news/uk-northern-ireland-38301428 https://vimeo.com/5963395 https://cleantechnica.com/files/2019/05/download-1.png https://www.youtube.com/watch?v=TbW_1MtC2So https://www.nytimes.com/2016/12/12/world/europe/rex-tillersons-company-exxon-has-billions-at-stake-over-russia-sanctions.html https://climate.nasa.gov/causes/ https://www.co2.earth/co2-ice-core-data https://skepticalscience.com/10000-years-warmer.htm Other sources to reference: https://www.youtube.com/watch?v=pEb49cZYnsE https://www.youtube.com/watch?v=ffjIyms1BX4 https://www.youtube.com/watch?v=GYJDAmDX2dM https://www.youtube.com/watch?v=TbW_1MtC2So https://www.youtube.com/watch?v=BPJJM_hCFj0 https://www.nytimes.com/2016/12/12/world/europe/rex-tillersons-company-exxon-has-billions-at- stake-over-russia-sanctions.html https://www.co2.earth/co2-ice-core-data https://www.carbonbrief.org/factcheck-what-greenland-ice-cores-say-about-past-and-present-climate-change https://climate.nasa.gov/causes/ https://www.carbonbrief.org/factcheck-what-greenland-ice-cores-say-about-past-and-present-climate-change https://www.youtube.com/watch?v=Q14ktHVwDok
channelId	UCIHdDJ0tjn_3j-FS7s_X1kQ
channelTitle	Valuetainment
duration	PT18M26S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	217434
likeCount	8813
dislikeCount	686
favoriteCount	0
commentCount	5022
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
