id	hphdsLcSTYQ
published	2016-08-29 17:25:39
published_unix	1472491539
title	What’s REALLY Warming the Earth?
description	Viewers like you help make PBS (Thank you 😃) . Support your local PBS Member Station here: https://to.pbs.org/PBSDSDonate Watch my other climate science videos: http://bit.ly/climatevids Get yourself an awesome I DID A SCIENCE shirt! http://dftba.com/besmart ↓ More info and sources below ↓ References/Learn more: July 2016 is hottest on record: http://climate.nasa.gov/news/2479/nasa-analysis-finds-july-2016-is-warmest-on-record/ NOAA’s State of the Climate July 2016 http://www.ncdc.noaa.gov/sotc/global/201607 Bloomberg’s climate change data viz project: http://www.bloomberg.com/graphics/2015-whats-warming-the-world/ Solar activity and temperature show opposite trend: https://www.skepticalscience.com/solar-activity-sunspots-global-warming-intermediate.htm Milankovitch cycles: https://en.wikipedia.org/wiki/Milankovitch_cycles (I left out eccentricity because it operates on scales so long that it doesn’t affect short term climate change) Connecting climate models with actual temperature changes http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-14-00154.1 NASA Goddard’s Gavin Schmidt explains the history of the instrumental temperature record https://www.youtube.com/watch?v=mkT7IyUSjq0 Last time CO2 was this high, humans didn’t exist http://www.climatecentral.org/news/the-last-time-co2-was-this-high-humans-didnt-exist-15938 Shifting baselines: http://www.shiftingbaselines.org/op_ed/ Thomas Jefferson’s weather observations: https://www.monticello.org/site/research-and-collections/weather-observations Ben Franklin as Meteorologist: http://www.jstor.org/stable/983821 ---------------- It’s Okay To Be Smart is written and hosted by Joe Hanson, Ph.D. Have an idea for an episode or an amazing science question you want answered? Leave a comment or check us out at the links below! Facebook: http://www.facebook.com/itsokaytobesmart Twitter: http://twitter.com/okaytobesmart http://twitter.com/jtotheizzoe Tumblr: http://www.itsokaytobesmart.com Instagram: http://instagram.com/jtotheizzoe Snapchat: YoDrJoe Produced by PBS Digital Studios Music via APM Stock images from SciencePhoto http://www.sciencephoto.com/ and Shutterstock http://www.shutterstock.com
channelId	UCH4BNI0-FOK2dMXoFtViWHw
channelTitle	It's Okay To Be Smart
duration	PT6M4S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	1133887
likeCount	23230
dislikeCount	4163
favoriteCount	0
commentCount	7678
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
