id	jPKo2W6pQQA
published	2020-09-14 22:26:44
published_unix	1600122404
title	Watch official challenge Trump on climate crisis
description	President Trump visited California and met with officials about the massive wildfires afflicting the state, and cast doubt on the science behind the climate crisis. #CNN #News
channelId	UCupvZG-5ko_eiXAupbDfxWw
channelTitle	CNN
duration	PT10M50S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	974492
likeCount	12828
dislikeCount	1165
favoriteCount	0
commentCount	8793
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
