id	lfo8XHGFAIQ
published	2018-09-14 13:30:01
published_unix	1536931801
title	Can We Terraform the Sahara to Stop Climate Change?
description	Be one of the first 73 people to sign up with this link and get 20% off your subscription with Brilliant.org! https://brilliant.org/realengineering/ New vlog channel: https://www.youtube.com/channel/UCMet4qY3027v8KjpaDtDx-g Credits: Narrator/Director: Brian McManus Co-Director: Mike Ridolfi (https://www.moboxgraphics.com/) Research: Stephanie Sammann (https://www.stephanie-sammann.com/) Sound: Graham Haerther (https://haerther.net/) Get your Real Engineering shirts at: https://standard.tv/collections/real-engineering References: [1] https://climate.nasa.gov/evidence/ [2] https://earthobservatory.nasa.gov/WorldOfChange/decadaltemp.php [3] https://www.carbonbrief.org/analysis-global-co2-emissions-set-to-rise-2-percent-in-2017-following-three-year-plateau [4] https://link.springer.com/article/10.1007%2Fs10584-009-9626-y [5] https://www.bbc.com/news/science-environment-17775211 [6] https://www.technologyreview.com/s/534996/megascale-desalination/ [7] https://www.parliament.uk/documents/post/postpn_383-carbon-footprint-electricity-generation.pdf [8] https://www.revenue.ie/en/corporate/documents/research/oil-market-2017.pdf [9] Effects https://www.nature.com/articles/ncomms4304 Patreon: https://www.patreon.com/user?u=2825050&ty=h Facebook: http://facebook.com/realengineering1 Instagram: https://www.instagram.com/brianjamesmcmanus Twitter: https://twitter.com/thebrianmcmanus Discord: https://discord.gg/s8BhkmN My Patreon Expense Report: https://goo.gl/ZB7kvK Thank you to my patreon supporters: Adam Flohr, darth patron, Henning Basma, Karl Andersson, Mark Govea, Hank Green, Tony Kuchta, Jason A. Diegmueller, Chris Plays Games, William Leu, Frejden Jarrett, Vincent Mooney, Ian Dundore, John & Becki Johnston. Nevin Spoljaric, Kedar Deshpande Music by Epidemic Sound: http://epidemicsound.com/creator Inconvenient Truth 1 - Magnus Ringblom Closer (SineRider Remix) [Silk Music] Connection - Wayne Jones Organic Foundation 1 - Niclas Gustavsson Scripts Untold 2 - Magnus Ringblom
channelId	UCR1IuLEqb6UEA_zQ81kwXfg
channelTitle	Real Engineering
duration	PT12M48S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	2701912
likeCount	68363
dislikeCount	8970
favoriteCount	0
commentCount	16248
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
