id	m3hHi4sylxE
published	2017-01-02 19:44:16
published_unix	1483386256
title	The Truth About Climate Change
description	-------- Don't miss a single video from Stossel TV, sign up here: https://johnstossel.activehosted.com/f/1 ---------
channelId	UCjo1uN-aM3rmBV46xj7l2KA
channelTitle	John Stossel
duration	PT6M31S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	1291227
likeCount	30355
dislikeCount	3656
favoriteCount	0
commentCount	6932
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
