id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxrxmGZR01PjT5aCQN4AaABAg	0	6	2018-02-05 20:43:07	The Eco Heroes	The world really needs more Eco Heroes 🌍❤️	UCwj-Dy1iih_tiIUuam0Xzwg	http://www.youtube.com/channel/UCwj-Dy1iih_tiIUuam0Xzwg	0		
UgyFFbGm-MpFmaBfjmB4AaABAg	0	0	2020-03-23 16:34:36	bitch!!! corvette corvette	😑	UCv9AE59ik2YH9n-oKLSE79A	http://www.youtube.com/channel/UCv9AE59ik2YH9n-oKLSE79A	0		
UgzxmfrU5RXHMnJmS9l4AaABAg	0	5	2020-06-12 18:29:47	JBW	Its such a simple concept. Hard to believe theres any controversy. Thats man mad, too	UCVB-Wy4G_qzUyg2iIleT3fg	http://www.youtube.com/channel/UCVB-Wy4G_qzUyg2iIleT3fg	0		
UgyQUobfWSkIB3AxgMZ4AaABAg	0	1	2020-11-09 21:37:28	fabion smith	Nice vedio.	UCBnFmRbL-Oq0B5R6s2wwZIA	http://www.youtube.com/channel/UCBnFmRbL-Oq0B5R6s2wwZIA	0		
UgzCDkQ5LncOySTxB-d4AaABAg	0	0	2018-05-14 12:10:30	Andy Appan	no carbon energy 120 ppm	UCqmYd7S3lH1inrroWPOmlDg	http://www.youtube.com/channel/UCqmYd7S3lH1inrroWPOmlDg	0		
UgwdnLEg0sHwwB-Zi5h4AaABAg	0	0	2019-10-20 17:21:10	Rale af Barsind	But the Maldives are still there!	UCcALovfm9DIw3eXt1Um1eYQ	http://www.youtube.com/channel/UCcALovfm9DIw3eXt1Um1eYQ	0		
UgxVnASIbN5CHNJlWoZ4AaABAg	0	2	2019-09-26 11:53:18	Ellie Sharpe	woop woop	UC17nFsm7zXRRmtBDPHkfdCQ	http://www.youtube.com/channel/UC17nFsm7zXRRmtBDPHkfdCQ	0		
UgxDtO-CDeXti2q-8nF4AaABAg	0	0	2020-03-23 16:34:15	bitch!!! corvette corvette	Corona virusss boisss	UCv9AE59ik2YH9n-oKLSE79A	http://www.youtube.com/channel/UCv9AE59ik2YH9n-oKLSE79A	0		
Ugzx57fUvRNQ9qbivDh4AaABAg	0	0	2019-10-25 13:08:57	Terrence Kelly	By as soon as next year the methane Ray&#39;s will start pounding the earth&#39;s surface. Start collecting tins of baked beans people the race to survival is upon the homo sapien !!!!	UCNneDLAT0ggQMOFcitRi--A	http://www.youtube.com/channel/UCNneDLAT0ggQMOFcitRi--A	0		
UgzgGddLHOQ3wpbUcmF4AaABAg	1	0	2020-07-05 05:54:43	Taha Ahmed	Title: Climate Change in 60 seconds<br />Video: 109 seconds<br />Me: Something&#39;s not adding up	UCRe7YmaQEPSsh7kO-Xw40IQ	http://www.youtube.com/channel/UCRe7YmaQEPSsh7kO-Xw40IQ	0		
