id	nAs4ai-ZAC0
published	2020-10-18 13:05:00
published_unix	1603026300
title	Cause for concern: Climate change
description	With record wildfires and hurricanes ravaging the United States, the effects of extreme weather events made worse by climate change are becoming more visible, and costly, to more and more Americans. Correspondent David Pogue talks with experts about whether we can be optimistic about government, societal and corporate efforts to mitigate the destructive effects of greenhouse gas production. Subscribe to the "CBS Sunday Morning" Channel HERE: http://bit.ly/20gXwJT Get more of "CBS Sunday Morning" HERE: http://cbsn.ws/1PlMmAz Follow "CBS Sunday Morning" on Instagram HERE: http://bit.ly/23XunIh Like "CBS Sunday Morning" on Facebook HERE: https://www.facebook.com/CBSSundayMorning/ Follow "CBS Sunday Morning" on Twitter HERE: http://bit.ly/1RquoQb Get the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7T Get your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8 Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B --- "CBS Sunday Morning" features stories on the arts, music, nature, entertainment, sports, history, science, Americana and highlights unique human accomplishments and achievements. Check local listings for CBS Sunday Morning broadcast times.
channelId	UCVT1tPkR-fUVlO652EcO3ow
channelTitle	CBS Sunday Morning
duration	PT8M14S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	AU,CA,JP
licensedContent	1
viewCount	28750
likeCount	437
dislikeCount	29
favoriteCount	0
commentCount	317
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
