id	oJAbATJCugs
published	2007-05-18 15:23:22
published_unix	1179501802
title	Global Warming 101 | National Geographic
description	Global warming could do more than just melt polar ice. It could change our maps, and displace people from cities and tropical islands. See all National Geographic videos: http://video.nationalgeographic.com/video/?source=4001 ➡ Subscribe: http://bit.ly/NatGeoSubscribe ➡ Get More 101 Videos: http://bit.ly/NatGeo101 #NationalGeographic #GlobalWarming #Educational About National Geographic’s 101 Series: Explore and experience the forces that shape the world around us. Get More National Geographic: Official Site: http://bit.ly/NatGeoOfficialSite Facebook: http://bit.ly/FBNatGeo Twitter: http://bit.ly/NatGeoTwitter Instagram: http://bit.ly/NatGeoInsta About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure. Through their world-class scientists, photographers, journalists, and filmmakers, Nat Geo gets you closer to the stories that matter and past the edge of what's possible. Global Warming 101 | National Geographic https://youtu.be/oJAbATJCugs National Geographic https://www.youtube.com/natgeo
channelId	UCpVm7bg6pXKo1Pr6k5kxG9A
channelTitle	National Geographic
duration	PT3M4S
dimension	2d
definition	sd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	4355042
likeCount	17891
dislikeCount	2695
favoriteCount	0
commentCount	18715
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
