id	rWqgrFDIX6c
published	2019-08-07 15:09:14
published_unix	1565190554
title	The threat to the Amazon rainforest l A New Climate
description	Sky News reports from Brazil where 'super farming' has meant massive deforestation and a threat to the indigenous people of the Amazon. The next episode in our New Climate series by Sky's Stuart Ramsay. The Brazilian government argues it has the right to farm and to exploit its own natural resources. SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews Follow us on Twitter: https://twitter.com/skynews Like us on Facebook: https://www.facebook.com/skynews Follow us on Instagram: https://www.instagram.com/skynews For more content go to http://news.sky.com and download our apps: Apple: https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB
channelId	UCoMdktPbSTixAyNGwb-UYkQ
channelTitle	Sky News
duration	PT11M21S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	169076
likeCount	1294
dislikeCount	143
favoriteCount	0
commentCount	308
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
