id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgzrUWf9lhtgUXEB4054AaABAg	10	155	2019-08-09 11:46:02	M	Maybe the world war III is the earth versus us	UCuMQ7lV0qvWGv9cKK_p5izA	http://www.youtube.com/channel/UCuMQ7lV0qvWGv9cKK_p5izA	0		
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB9DM965o9DJK		0	2020-09-08 18:08:50	Lily_ ShadowMoon	I side with the earth	UCn_tgdXT8CTTtxawsh6roDA	http://www.youtube.com/channel/UCn_tgdXT8CTTtxawsh6roDA	1	UgzrUWf9lhtgUXEB4054AaABAg	M
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB97gw5qQfwIf		1	2020-04-21 02:01:24	Joyce Naranjo	r/im14andthisisdeep	UCUEfatk3Ib-yVjTQNtA7sEQ	http://www.youtube.com/channel/UCUEfatk3Ib-yVjTQNtA7sEQ	1	UgzrUWf9lhtgUXEB4054AaABAg	M
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB9141HPHlOMF		0	2019-11-08 10:57:25	ryan joned	Jesus is in control	UCDb3hpepcphZi8bqEk9U3xQ	http://www.youtube.com/channel/UCDb3hpepcphZi8bqEk9U3xQ	1	UgzrUWf9lhtgUXEB4054AaABAg	M
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB9-9ppQdTGf-		0	2019-09-22 00:01:16	MrSuperrajab	5head comment right here	UCqLNZ395HCMeBBm3LxfRMvg	http://www.youtube.com/channel/UCqLNZ395HCMeBBm3LxfRMvg	1	UgzrUWf9lhtgUXEB4054AaABAg	M
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8zszaTvUe3T		1	2019-09-15 01:40:16	Russell lance lim	@Alsx Aguilar no, we people kill the earth :<	UC6XNVm7B7ineWVXCF-RVhYw	http://www.youtube.com/channel/UC6XNVm7B7ineWVXCF-RVhYw	1	UgzrUWf9lhtgUXEB4054AaABAg	M
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8zjsuGLxr90		0	2019-09-11 12:48:38	Walter Brendle	It is rich against poor	UCXxlHK410pQWbB1Aby-IsDA	http://www.youtube.com/channel/UCXxlHK410pQWbB1Aby-IsDA	1	UgzrUWf9lhtgUXEB4054AaABAg	M
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8zWAEIweEDE		1	2019-09-05 19:40:11	MagicKing	Sea level will rise by over 60 meters and many big cities will be gone	UCd_9TDsVWDYD5LZRjp37ERw	http://www.youtube.com/channel/UCd_9TDsVWDYD5LZRjp37ERw	1	UgzrUWf9lhtgUXEB4054AaABAg	M
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8yvUoZPQw1w		5	2019-08-22 04:28:54	Oli Bee	Maybe the end of the world is coming. Amazon is on fire	UCa9Ka0dGuB82W4F8NCrpqOw	http://www.youtube.com/channel/UCa9Ka0dGuB82W4F8NCrpqOw	1	UgzrUWf9lhtgUXEB4054AaABAg	M
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8yv-55MhQI4		12	2019-08-21 23:51:40	Alsx Aguilar	I really felt that. We are killing the earth 🤦‍♂️😥	UCS3NMzOzs34hTkXvn-Lccgw	http://www.youtube.com/channel/UCS3NMzOzs34hTkXvn-Lccgw	1	UgzrUWf9lhtgUXEB4054AaABAg	M
UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8yuCaYCaMVo		16	2019-08-21 16:30:28	tassap93	I'm with the earth all day!!! #saveearth	UCj5sXsFJSNLVHuQNpQ3jpNQ	http://www.youtube.com/channel/UCj5sXsFJSNLVHuQNpQ3jpNQ	1	UgzrUWf9lhtgUXEB4054AaABAg	M
Ugz0_NqlIJ4uBNReWMV4AaABAg	0	10	2019-08-30 21:35:02	Yongly Cheng	if human destroy the nature, and nature will destroy us back	UCisFieX97nFxn6uGxkcDX4Q	http://www.youtube.com/channel/UCisFieX97nFxn6uGxkcDX4Q	0		
Ugy0te--Bq5LdPv-_CF4AaABAg	2	20	2019-08-22 15:50:33	Kenzie Noel	I feel like it’s The Lorax all over again. Soon we’ll have to buy air. 🥺😭	UC-T0V_1mgxfuvvViZ3moSZA	http://www.youtube.com/channel/UC-T0V_1mgxfuvvViZ3moSZA	0		
Ugy0te--Bq5LdPv-_CF4AaABAg.8ywhp25tAGA9Hr8FnWXrhu		0	2020-12-29 14:22:42	mimi._.	Im sadd	UCUhgZCQd0y8-m0GWr3dAdlQ	http://www.youtube.com/channel/UCUhgZCQd0y8-m0GWr3dAdlQ	1	Ugy0te--Bq5LdPv-_CF4AaABAg	Kenzie Noel
Ugy0te--Bq5LdPv-_CF4AaABAg.8ywhp25tAGA8ywwTO8g0uZ		3	2019-08-22 17:58:31	dr under pressure	So so sad	UCLTtHH2I6E9lFB6ocr3RPWA	http://www.youtube.com/channel/UCLTtHH2I6E9lFB6ocr3RPWA	1	Ugy0te--Bq5LdPv-_CF4AaABAg	Kenzie Noel
Ugxr2aamifCvNLh4hER4AaABAg	1	12	2019-08-31 07:41:22	Sverre Mortveit	Get your facts right, do some research, then make a movie.	UChZ95QrxnHJ_oRO4IA6UVtw	http://www.youtube.com/channel/UChZ95QrxnHJ_oRO4IA6UVtw	0		
Ugxr2aamifCvNLh4hER4AaABAg.8zI0-6KdgEu8zK1iYPdunQ		1	2019-09-01 02:34:56	TWENTY10	true.	UCElEEyb_x0faOldn08klmnQ	http://www.youtube.com/channel/UCElEEyb_x0faOldn08klmnQ	1	Ugxr2aamifCvNLh4hER4AaABAg	Sverre Mortveit
UgzkeA1363o0_ZaGTil4AaABAg	14	102	2019-08-07 15:29:26	Alan Sousian	We must protect the amazon forest<br />This our right as human	UCFN35jyl3IsMHQHjzR3bUAw	http://www.youtube.com/channel/UCFN35jyl3IsMHQHjzR3bUAw	0		
UgzkeA1363o0_ZaGTil4AaABAg.8yL2UITKHHy9CANd-0TtLo		0	2020-08-10 07:53:31	krishna bharath	Please stop eating meat these forest is cleared for grazing so please stop eating meat	UCgSPTGQiGHbCp-8FnJvTRtA	http://www.youtube.com/channel/UCgSPTGQiGHbCp-8FnJvTRtA	1	UgzkeA1363o0_ZaGTil4AaABAg	Alan Sousian
UgzkeA1363o0_ZaGTil4AaABAg.8yL2UITKHHy99QyadG-OYp		0	2020-06-03 04:58:55	JF de Oliveira	Back to your country, say no to British imperialism	UC-kAft8AmGLfxQEzbL0Q-dA	http://www.youtube.com/channel/UC-kAft8AmGLfxQEzbL0Q-dA	1	UgzkeA1363o0_ZaGTil4AaABAg	Alan Sousian
UgzkeA1363o0_ZaGTil4AaABAg.8yL2UITKHHy98wKHp4pGEj		0	2020-05-21 22:01:29	I am just a guy	Why?	UCkr1fPDge5pBED0-xXMUmdA	http://www.youtube.com/channel/UCkr1fPDge5pBED0-xXMUmdA	1	UgzkeA1363o0_ZaGTil4AaABAg	Alan Sousian
UgzkeA1363o0_ZaGTil4AaABAg.8yL2UITKHHy92Mqtb1je1c		0	2019-12-10 14:54:52	schwartzy65	Its not our right its our duty... If we are so "wise" as we think we are, why are we destroying something so beautiful and important. This is our only home and we are not the only one who live here, every other species has equal right to this world.	UCB8F1y2yhbN909ILtMp5mtQ	http://www.youtube.com/channel/UCB8F1y2yhbN909ILtMp5mtQ	1	UgzkeA1363o0_ZaGTil4AaABAg	Alan Sousian
UgzkeA1363o0_ZaGTil4AaABAg.8yL2UITKHHy8zJ3GwGvekl		0	2019-08-31 17:29:15	Bake been	@Elizabeth Barnes "The God delusion" by Elizabeth Bames	UCHSeR99vISurZDmI-3sUORg	http://www.youtube.com/channel/UCHSeR99vISurZDmI-3sUORg	1	UgzkeA1363o0_ZaGTil4AaABAg	Alan Sousian
