id	sGx6P2UR8Ig
published	2020-01-03 13:40:21
published_unix	1578058821
title	How climate change has intensified the Australia wildfires
description	One of the largest evacuations in Australian history is underway as massive bushfires burn out of control. CBS News meteorologist and climate specialist Jeff Berardelli discusses how climate change has played a role in the wildfires. Watch "CBS This Morning" HERE: http://bit.ly/1T88yAR Download the CBS News app on iOS HERE: https://apple.co/1tRNnUy Download the CBS News app on Android HERE: https://bit.ly/1IcphuX Like "CBS This Morning" on Facebook HERE: http://on.fb.me/1LhtdvI Follow "CBS This Morning" on Twitter HERE: http://bit.ly/1Xj5W3p Follow "CBS This Morning" on Instagram HERE: http://bit.ly/1Q7NGnY Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B Each weekday morning, "CBS This Morning" co-hosts Gayle King, Anthony Mason and Tony Dokoupil deliver two hours of original reporting, breaking news and top-level newsmaker interviews in an engaging and informative format that challenges the norm in network morning news programs. The broadcast has earned a prestigious Peabody Award, a Polk Award, four News & Documentary Emmys, three Daytime Emmys and the 2017 Edward R. Murrow Award for Best Newscast. The broadcast was also honored with an Alfred I. duPont-Columbia Award as part of CBS News division-wide coverage of the shootings at Sandy Hook Elementary School in Newtown, Connecticut. Check local listings for "CBS This Morning" broadcast times.
channelId	UC-SJ6nODDmufqBzPBwCvYvQ
channelTitle	CBS This Morning
duration	PT4M15S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	AU,CA,JP
licensedContent	1
viewCount	74681
likeCount	526
dislikeCount	240
favoriteCount	0
commentCount	349
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
