id	sZB1YtQtHjE
published	2018-04-23 12:30:01
published_unix	1524486601
title	Busting Climate Change Myths | Answers With Joe
description	Get Brilliant at http://www.brilliant.org/answerswithjoe/ And the first 295 to sign up for a premium account get 20% off every month! Earth Day was this weekend, so I thought it would be a good opportunity to look at some of the most common myths promoted by climate change skeptics and see what the science has to say about it. Links to supporting material below. Check out my interview with John Cook from SkepticalScience.com: https://answerswithjoe.com/science-climate-change-denial-john-cook-skeptical-science/ Support me on Patreon! http://www.patreon.com/answerswithjoe Follow me at all my places! Instagram: https://instagram.com/answerswithjoe Snapchat: https://www.snapchat.com/add/answerswithjoe Facebook: http://www.facebook.com/answerswithjoe Twitter: https://www.twitter.com/answerswithjoe LINKS LINKS LINKS: More about the Robbers Cave Experiment: https://www.theguardian.com/science/2018/apr/16/a-real-life-lord-of-the-flies-the-troubling-legacy-of-the-robbers-cave-experiment More about the fossil fuel industry and tobacco companies using the same tactics: https://www.scientificamerican.com/article/tobacco-and-oil-industries-used-same-researchers-to-sway-public1/ Peter Doran's Climate Science Survey: https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009EO030002 Climate change consensus same as smoking and cancer: https://www.scientificamerican.com/article/climate-risks-as-conclusive-as-link-between-smoking-and-lung-cancer/ Why CO2 alone won't help plants grow: https://www.smithsonianmag.com/smart-news/plants-wont-help-fight-global-warming-as-much-as-wed-thought-57646253/ Lori Fenton's paper on Mars warming: https://www.nature.com/articles/nature05718 On the single cause fallacy that climate change in the past is the reason why it's changing now: https://www.skepticalscience.com/climate-change-little-ice-age-medieval-warm-period-intermediate.htm Sulphur Dioxide trends in relation to volcanic activity: https://www.epa.gov/air-trends/sulfur-dioxide-trends An article about Debbie Dooley: https://www.nytimes.com/2018/02/28/business/energy-environment/debbie-dooley-energy.html Military Times article about pentagon planning for climate change: https://www.militarytimes.com/news/your-military/2017/09/12/pentagon-is-still-preparing-for-global-warming-even-though-trump-said-to-stop/ Exxon Mobil new CEO embracing the carbon tax: https://www.bloomberg.com/news/articles/2017-02-23/exxon-s-new-chief-endorses-carbon-tax-to-combat-climate-change Study on Exxon Mobil scientists and internal communications: https://insideclimatenews.org/news/22082017/study-confirms-exxon-misled-public-about-climate-change-authors-say
channelId	UC-2YHgc363EdcusLIBbgxzg
channelTitle	Joe Scott
duration	PT19M6S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	857952
likeCount	25337
dislikeCount	5096
favoriteCount	0
commentCount	14623
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
