id	tCun786fqDM
published	2021-01-28 04:21:38
published_unix	1611807698
title	John Kerry: workers have been fed false narrative on climate change
description	US climate envoy John Kerry says US workers have been fed a false narrative on climate change over the last few years. The former US secretary of state was speaking as president Joe Biden signalled a major shift on climate policy by signing a host of executive orders. Kerry highlighted job growth in renewable energy as evidence of a misled belief that had spread that resolving climate change would come at a cost to workers Subscribe to Guardian News on YouTube ► http://bit.ly/guardianwiressub Inauguration after insurrection: Can Biden lead a new era? | Anywhere but Washington ► https://youtu.be/ZHVsBROCiDw Biden signals radical shift from Trump era with executive orders on climate change ► https://www.theguardian.com/us-news/2021/jan/27/joe-biden-climate-change-executive-orders Support the Guardian ► https://support.theguardian.com/contribute Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus The Guardian YouTube network: The Guardian ► http://www.youtube.com/theguardian Guardian Football ► http://is.gd/guardianfootball Guardian Sport ► http://bit.ly/GDNsport Guardian Culture ► http://is.gd/guardianculture
channelId	UCIRYBXDze5krPDzAEOxFGVA
channelTitle	Guardian News
duration	PT1M40S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	16436
likeCount	235
dislikeCount	154
favoriteCount	0
commentCount	204
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
