id	tMw-vA12d0Y
published	2019-12-21 07:20:26
published_unix	1576912826
title	TOMORROW, an animated film about climate change
description	Ratul, a young boy in Bangladesh, is magically shown two very different visions of the future. In the first scenario, Bangladesh has been inundated by rising sea levels, causing great suffering; in the second scenario, fossil fuels have been replaced by renewable energy, and Bangladesh is prosperous. The purpose of this film is to teach children about fossil fuels and climate change. "Tomorrow " A production of Kazi Media Limited Directed by Mohammad Shihab Uddin Produced by Kazi Zahin Hasan and Kazi Zeeshan Hasan Animation services provided by Cycore Studios Connect with Deepto TV: YouTube: https://www.youtube.com/c/DeeptoTV Facebook: https://www.facebook.com/deeptotv.bd Instagram: https://www.instagram.com/deepto.tv Twitter: https://twitter.com/deeptotv Deepto TV address: 7/A/GA Tejgaon Industrial Area, Dhaka 1208, BANGLADESH *** COPYRIGHT WARNING *** The copyright of this content is reserved solely by Kazi Media Limited. Unauthorized reproduction, redistribution, and/or re-upload of this copyrighted content is strictly prohibited and illegal. Legal action will be taken against those who violate the copyright of this content.
channelId	UC-xwwLWkh1Ypt90iJ7BvBew
channelTitle	Deepto TV
duration	PT25M52S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	994510
likeCount	47097
dislikeCount	797
favoriteCount	0
commentCount	5494
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
