id	u9GXgOMMeTg
published	2021-01-10 08:54:08
published_unix	1610268848
title	His Holiness the Dalai Lama In Conversation with Greta Thunberg and Leading Scientists
description	His Holiness the Dalai Lama in conversation on The Crisis of Climate Feedback Loops with Greta Thunberg (environmental activist), William Moomaw (lead author on reports of the Intergovernmental Panel on Climate Change/IPCC, and the co-recipient of the 2007 Nobel Peace Prize) and Susan Natali (a renowned Arctic scientist) from his residence in Dharamsala, HP, India on January 10, 2021. The conversation is moderated by Diana Chapman Walsh, President emerita of Wellesley College and is organized by the Mind & Life Institute.
channelId	UCiPJ_g02LuOgOG0ZNk5j1jA
channelTitle	Dalai Lama
duration	PT1H18M14S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	
viewCount	68677
likeCount	2932
dislikeCount	154
favoriteCount	0
commentCount	472
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
