id	xXMlFFY9uEI
published	2020-09-22 00:49:14
published_unix	1600735754
title	Planet 2020: Fires And Floods Force Climate Change To The Forefront | NBC News
description	With unrelenting wildfires and an already historic hurricane season, NBC News Now dedicates this report to covering the global climate crisis. Hosted by Al Roker and Savannah Sellers, topics include a look at the effects of devastating climate events, the responsibility of leadership, and the young activists fighting to restore our planet. » Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC » Watch more NBC video: http://bit.ly/MoreNBCNews NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations. Connect with NBC News Online! Visit NBCNews.Com: http://nbcnews.to/ReadNBC Find NBC News on Facebook: http://nbcnews.to/LikeNBC Follow NBC News on Twitter: http://nbcnews.to/FollowNBC Follow NBC News on Instagram: http://nbcnews.to/InstaNBC Live: Planet 2020: Fires And Floods Force Climate Change To The Forefront | NBC News
channelId	UCeY0bbntWzzVIaj2z3QigXg
channelTitle	NBC News
duration	PT42M42S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	254665
likeCount	1487
dislikeCount	251
favoriteCount	0
commentCount	437
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
