id	yhlg9txl7yM
published	2020-06-19 14:00:33
published_unix	1592575233
title	The carbon cycle is key to understanding climate change | The Economist
description	Until a few hundred years ago there was a perfect balance of carbon dioxide in the Earth's atmosphere. Human activity has disrupted that balance. What can be done to restore it? Find our school briefings series here, including our recent climate explainers: https://econ.st/2BQkGqU Sign up to receive The Economist’s fortnightly newsletter to keep up to date with our latest coverage on climate change: https://econ.st/2APVAIj Find The Economist’s most recent climate-change coverage here: https://econ.st/3hbvD6B Read our briefing on why carbon offsetting is essential to tackling climate change: https://econ.st/3dIX7ye Read our article about new advances in solar energy: https://econ.st/37m19Kv Covid-19 presents an opportunity for countries to flatten the climate curve: https://econ.st/3em6YKn
channelId	UC0p5jTq6Xx_DosDFxVXnWaQ
channelTitle	The Economist
duration	PT7M44S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	119476
likeCount	3175
dislikeCount	107
favoriteCount	0
commentCount	353
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
