id	yyAuWeoTm2s
published	2019-06-03 12:00:16
published_unix	1559563216
title	Could Global Warming Start A New Ice Age?
description	Support me on patreon at https://www.patreon.com/atlaspro Follow me on twitter @theatlaspro https://www.sciencemag.org/news/2016/06/crippled-atlantic-currents-triggered-ice-age-climate-change http://www.pik-potsdam.de/~stefan/thc_fact_sheet.html http://wedocs.unep.org/bitstream/handle/20.500.11822/17802/Exceptional_twentiethcentury_slowdown_in_Atla.pdf https://phys.org/news/2004-12-shutdown-circulation-pattern-disastrous.html https://www.ncbi.nlm.nih.gov/pmc/articles/PMC34299/ https://www.nature.com/scitable/knowledge/library/deep-atlantic-circulation-during-the-last-glacial-25858002 "Deliberate Thought" Kevin MacLeod (incompetech.com) Licensed under Creative Commons: By Attribution 3.0 License http://creativecommons.org/licenses/by/3.0/
channelId	UCz1oFxMrgrQ82-276UCOU9w
channelTitle	Atlas Pro
duration	PT12M59S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	1174765
likeCount	31657
dislikeCount	1823
favoriteCount	0
commentCount	5572
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
