id	yzDjjUAt3zc
published	2018-10-10 23:05:05
published_unix	1539212705
title	Watch the US stall on climate change for 12 years
description	It was once a bipartisan issue, but now one of America's major parties acts like climate science doesn't exist. This is an updated version of a video we published in 2016. Subscribe to our channel! http://goo.gl/0bsAjO Check out Climate Lab, our video series on climate change produced with the University of California, here: https://www.youtube.com/watch?v=DkZ7BJQupVA&list=PLJ8cMiYb3G5fP5oq01TBp9fgh70vDDSMe And read our story on why we only have 12 years to stop catastrophic climate change on Vox.com: https://www.vox.com/2018/10/8/17948832/climate-change-global-warming-un-ipcc-report Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com. Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H
channelId	UCLXo7UDZvByw2ixzpQCufnA
channelTitle	Vox
duration	PT12M6S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	840207
likeCount	31849
dislikeCount	1274
favoriteCount	0
commentCount	5357
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
