id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugw0vDFOdWEzd_NNKOp4AaABAg	0	3	2021-03-12 08:58:37	Rm18082	If we want to effectively tackle these problems, what we need is to focus only on measures that have a real impact<br /><br />1) distance tax: a tax that increases the longer the goods are shipped or transported- this incentivizes a local economy and stops the mess of goods running around the world for no reason.<br /><br />2) female education- the more educated the less children they will have, as overpopulation is a huge problem<br /><br />3) tackle income inequality- tax the super wealthy and the multinationals, make them pay the right share, no more tax avoidance or producing in countries with lower regulations. Big companies need the most resources and make up the biggest polluters, so local and smaller is better.<br /><br />4) universal basic income so people dont have &quot;to make a living&quot; at any cost and follow their passions- no damaging, stupid or unnecessary work<br /><br />5) make hemp biodiesel (and other biodiesels) make up 30% of all fuel compulsory in the economy and make investments. Tackle food waste and make it maximal 5% of all produced. Go towards 0% fossil fuels with improved technology. Swap most plastics for hemp-derived materials. Scale down the flight industry to max 20% what it is today<br /><br />6) sustainability index- make an index of the worst environmental offender-practices. Ban those that are not needed and bring within limits those that can be made sustainable. Use taxes to incentivize/disincentivize<br /><br />7) go towards a bio-adapted infrastructure such as passages for the wild under highways and so forth. Go back to natural farming, drop all intensive farming, is healthier anyway. Decrease production of animal products. Abandon chemicals, fertilizers and pesticides, all not sustainable. <br /><br />8) we need a working UN back in some form, to protect areas such as the amazonas and other strategically important parts of the world for the ecology. Besides that we need first nation countries to invest in countries that are lagging behind, as the investment would yield much greater results. This is a global challenge. Besides that, governments need to take back their role as the enforcers of the general interest over counterproductive private interests.<br /><br />9) drop all the measures that won&#39;t make any difference and accept that we can&#39;t control it 100% at this point. Maybe there are some benefits in a warmer climate too.<br /><br />Feel free to copy/paste	UCKLNUd3BiDa8lmV4EorbNVA	http://www.youtube.com/channel/UCKLNUd3BiDa8lmV4EorbNVA	0		
UgzzZIWHl9alJlxUA9F4AaABAg	2	5	2020-12-06 07:20:48	Shaanig	It&#39;s funny that some of us is still aiming to go to space <br /><br />P.S: great video!, the animations...., and the video views... I feel ya, rip, but keep up!	UCv5z7071vQae93B6Iw9dw7w	http://www.youtube.com/channel/UCv5z7071vQae93B6Iw9dw7w	0		
UgzzZIWHl9alJlxUA9F4AaABAg.9Gv9g_FyPFa9KWd3atHdmS		0	2021-03-05 19:31:33	Zarah alora	going to space is my dream since childhood, and its still is ;)	UClztPCG4iwHTbX7dxK1qo_g	http://www.youtube.com/channel/UClztPCG4iwHTbX7dxK1qo_g	1	UgzzZIWHl9alJlxUA9F4AaABAg	Shaanig
UgzzZIWHl9alJlxUA9F4AaABAg.9Gv9g_FyPFa9KVdd_9jea7		0	2021-03-05 10:17:21	Lucas DELORME	why do you think they want to get off this planet asap?	UC7Xaz3Qu0gq7-xc0b1mAy-Q	http://www.youtube.com/channel/UC7Xaz3Qu0gq7-xc0b1mAy-Q	1	UgzzZIWHl9alJlxUA9F4AaABAg	Shaanig
Ugyq3PsLkLM_nesBAzR4AaABAg	3	15	2020-11-12 02:36:26	WILLIAN NUNEZ	Thank you, this is gonna help me with my essay.	UC-2yKB2CtGvaQ9XaRwqVt2w	http://www.youtube.com/channel/UC-2yKB2CtGvaQ9XaRwqVt2w	0		
Ugyq3PsLkLM_nesBAzR4AaABAg.9Fwr3mLxESN9Kzfcmy_TEw		0	2021-03-17 11:31:10	Peter Evan	@Zane Blake I am trying it out now. Looks great so far.	UCd0m4TbHmognfJ5R-bY4jjQ	http://www.youtube.com/channel/UCd0m4TbHmognfJ5R-bY4jjQ	1	Ugyq3PsLkLM_nesBAzR4AaABAg	WILLIAN NUNEZ
Ugyq3PsLkLM_nesBAzR4AaABAg.9Fwr3mLxESN9KzdnpyHmnD		0	2021-03-17 11:15:12	Zane Blake	Not sure if anyone cares at all but last night I hacked my friends Instagram password by using Instapwn. Cant link here so search for it on google xD	UCCiIEAcemguHfJN4POOPJqA	http://www.youtube.com/channel/UCCiIEAcemguHfJN4POOPJqA	1	Ugyq3PsLkLM_nesBAzR4AaABAg	WILLIAN NUNEZ
Ugyq3PsLkLM_nesBAzR4AaABAg.9Fwr3mLxESN9KLEQtWMeae		1	2021-03-01 09:15:53	ashi srivastava	same here	UC21zpTVnS9DjaONvTOkjHYg	http://www.youtube.com/channel/UC21zpTVnS9DjaONvTOkjHYg	1	Ugyq3PsLkLM_nesBAzR4AaABAg	WILLIAN NUNEZ
Ugz73oDV-rsbtPwtAtB4AaABAg	3	33	2020-10-06 01:55:54	Giovanni Wiyanto	555 subscribers only?!<br /><br /><br /><br /><br /><b>This man deserves more.</b>	UCoveSpgD9FhAmmJSbnpUVew	http://www.youtube.com/channel/UCoveSpgD9FhAmmJSbnpUVew	0		
Ugz73oDV-rsbtPwtAtB4AaABAg.9ESW0anXDEb9K9cdnS-nVy		0	2021-02-24 21:05:21	Currencia Currencia	Yes, he deletes all posts that show how wrong he is.	UCajn0dbvXJMX3gp3pqCEBew	http://www.youtube.com/channel/UCajn0dbvXJMX3gp3pqCEBew	1	Ugz73oDV-rsbtPwtAtB4AaABAg	Giovanni Wiyanto
