id	2nIMQrpDgaQ
published	2020-07-28 15:59:50
published_unix	1595951990
title	Don't Be An IDIOT | A Word from Rainn Wilson
description	Rainn Wilson is on a mission to learn more about climate change and the effects it's having on our planet. In this episode, Rainn travels to Iceland to meet with astronomer and climate change activist Sævar Helgi Bragason to learn the basics of climate change. Then Rainn visits the Toyota factory in Iceland to hear about their efforts to reduce co2 emissions. *This show was filmed before Covid-19 became a pandemic and stay at home orders were in place. We strongly believe in social distancing and wearing masks at this time.* Written and Directed by Christel Cornilsen https://www.christelcornilsen.com/ Additional Media Provided by Pond5 and Adobe Stock Help SoulPancake create captions in your language by clicking here: http://bit.ly/27FqhGH Follow us @soulpancake! INSTAGRAM | http://bit.ly/soulpancakeig FACEBOOK | http://bit.ly/soulpancakefb TWITTER | http://bit.ly/soulpancaketw SNAPCHAT | http://bit.ly/soulpancakesnap Sign up for THE NOTE, our weekly email: http://ow.ly/t7K7p Buy our BOOK: http://book.soulpancake.com
channelId	UCaDVcGDMkvcRb4qGARkWlyg
channelTitle	SoulPancake
duration	PT10M22S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	46288
likeCount	2307
dislikeCount	73
favoriteCount	0
commentCount	205
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
