id	3CM_KkDuzGQ
published	2017-04-08 19:53:48
published_unix	1491681228
title	Friendly Guide to Climate Change - and what you can do to help #everytoncounts
description	This video is a short, sweet, and pragmatic summary of climate change - what the problem is, why, and what you can actually do about it. ACT: http://goclimate.com VOICE TRANSLATIONS: - Dutch: https://youtu.be/UqFKtD_W5EE - French: https://youtu.be/blVH3lyHz7w VIEW THE DRAWING: http://everytoncounts.org/images/Friendly-Guide-to-Climate-Change.jpeg SEE THE TRANSCRIPT: https://docs.google.com/document/d/1eW-SfSCFwRQrxx2IPeec33ZHELXuDkFIvG0BdtCH1Ww/pub MUSIC "Henrik's Jam" https://www.youtube.com/watch?v=RFK1oO2xNLQ HELP TRANSLATE THE SUBTITLES TO YOUR LANGUAGE: http://www.youtube.com/timedtext_video?v=3CM_KkDuzGQ&ref=share CONTACT / FEEDBACK Email hello AT goclimate.com MAIN REFERENCES: Consensus on consensus: a synthesis of consensus estimates on human-caused global warming http://iopscience.iop.org/article/10.1088/1748-9326/11/4/048002 Intergovernmental Panel on Climate Change, 5th assessment report http://ipcc.ch/pdf/assessment-report/ar5/syr/AR5_SYR_FINAL_SPM.pdf http://www.ipcc.ch/pdf/assessment-report/ar5/wg3/ipcc_wg3_ar5_summary-for-policymakers.pdf http://www.ipcc.ch/pdf/assessment-report/ar5/wg2/ar5_wgII_spm_en.pdf International Energy Agency - Key CO2 emissions and trends 2016 http://www.iea.org/publications/freepublications/publication/KeyCO2EmissionsTrends.pdf International Energy Agency - CO2 emissions from fuel combustion 2016 https://www.iea.org/publications/freepublications/publication/CO2EmissionsfromFuelCombustion_Highlights_2016.pdf US Environmental Protection Agency - Climate Change Indicators https://www.epa.gov/climate-indicators/climate-change-indicators-atmospheric-concentrations-greenhouse-gases Crowd-funded solar panels in Africa http://jointrine.com Electricity map: https://www.electricitymap.org/ 1:48 WTF = “Why This Flooding?” What did you think? :) ALL REFERENCES: Here is a full list of all references, in chronological order: https://docs.google.com/document/d/1Zh2aqWDguue6Cig-3T1G7wTcLcxbGi2WXZpFMj9M9Tw/edit
channelId	UCW0cG4zyFG8oKAlOom4KonQ
channelTitle	Henrik Kniberg
duration	PT16M53S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	92398
likeCount	2007
dislikeCount	63
favoriteCount	0
commentCount	173
uploadStatus	processed
privacyStatus	public
license	creativeCommon
embeddable	1
publicStatsViewable	1
