id	6IN4ZcZAUbA
published	2020-08-10 12:00:03
published_unix	1597060803
title	The global coffee crisis is coming
description	It's becoming harder and harder to grow. Sources and Additional Reading: Andres Guhl http://etd.fcla.edu/UF/UFE0003960/guhl_a.pdf https://revistas.uniandes.edu.co/doi/pdf/10.7440/res32.2009.08 Phillip A. Hough and Jennifer Blair https://www.researchgate.net/publicat... Mike Hoffman https://fortune.com/2017/06/14/trump-paris-climate-change-agreement-coffee-prices/ Christian Bunn et al. https://link.springer.com/article/10.1007/s10584-014-1306-x Davis et al., https://advances.sciencemag.org/content/5/1/eaav3473 CABI https://www.cabi.org/ Federación Nacional de Cafeteros https://federaciondecafeteros.org/ Richard Schiffman (Yale) https://e360.yale.edu/features/as-cli... Jessica Eise and Natalie Lambert https://ijoc.org/index.php/ijoc/article/view/11777/2907 https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=Coffee%20Annual_Bogota_Colombia_5-14-2018.pdf Andy Jarvis https://link.springer.com/article/10.1007/s10584-012-0500-y Coffee is one of the most popular commodities on Earth. It's grown by nearly 125 million farmers, from Latin America to Africa to Asia. But as man-made climate change warms the atmosphere, the notoriously particular coffee plant is struggling. Places like Colombia, which once had the perfect climate to grow Arabica coffee, are changing. Now, experts estimate the amount of land that can sustain coffee will fall 50 percent by 2050. It's not just a crisis for consumers but for the millions who have made a livelihood out of growing coffee. Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com. Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H
channelId	UCLXo7UDZvByw2ixzpQCufnA
channelTitle	Vox
duration	PT11M34S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	2470441
likeCount	73284
dislikeCount	2673
favoriteCount	0
commentCount	6854
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
