id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgwrPJlLtPmvqWPbv4R4AaABAg	0	0	2018-11-09 06:34:39	The Amazing Spatterman	<a href="https://www.youtube.com/watch?v=7JVTirBEfho&amp;t=19m45s">19:45</a> ☝️	UCKPUFAjQuR2nC4EJgxhhdew	http://www.youtube.com/channel/UCKPUFAjQuR2nC4EJgxhhdew	0		
UghEkrM1p7s9x3gCoAEC	0	9	2015-10-14 17:10:23	Alice Cobert	I TOTALLY AGREE!	UCOw4t49JCvSOwln3vnTvCHA	http://www.youtube.com/channel/UCOw4t49JCvSOwln3vnTvCHA	0		
UgjXDlaq3HFxQngCoAEC	0	6	2016-01-27 04:27:40	TimeBBY	I&#39;m leaving these tags for myself. <a href="http://www.youtube.com/watch?v=7JVTirBEfho&amp;t=5m47s">5:47</a> <a href="http://www.youtube.com/watch?v=7JVTirBEfho&amp;t=6m45s">6:45</a> <a href="http://www.youtube.com/watch?v=7JVTirBEfho&amp;t=7m47s">7:47</a> <a href="http://www.youtube.com/watch?v=7JVTirBEfho&amp;t=8m01s">8:01</a>	UCH51NjIUnyc9Rh9jcdn-xNw	http://www.youtube.com/channel/UCH51NjIUnyc9Rh9jcdn-xNw	0		
Ugwk8sWqYNJ7m28JRI54AaABAg	0	0	2019-10-11 02:41:48	Yves Poulin	Heuuu	UCPEA9OAhmQ5TukkUARx3Azg	http://www.youtube.com/channel/UCPEA9OAhmQ5TukkUARx3Azg	0		
UgihGUsutdXt7ngCoAEC	0	0	2015-10-14 22:32:37	Nathan	Hissss	UCDhy6wHDnZjIwHVV3iqAVRw	http://www.youtube.com/channel/UCDhy6wHDnZjIwHVV3iqAVRw	0		
UggIIzbqZLVfQXgCoAEC	0	0	2015-10-14 20:57:43	tdreamgmail	Go on da Mary!	UCBktBWxkv_QYq9pGgTXadoA	http://www.youtube.com/channel/UCBktBWxkv_QYq9pGgTXadoA	0		
Ugw0MZJu33yOJUpY6rZ4AaABAg	0	2	2018-02-27 15:46:45	Cerrie Field	such an inspiration 💓💓	UCjAiFKj6d8qIo4E76fhw8tA	http://www.youtube.com/channel/UCjAiFKj6d8qIo4E76fhw8tA	0		
Ugguzv2w-k5LLHgCoAEC	0	0	2015-10-20 11:10:23	Hai Bui	Hãy tưởng tượng nhiều ngườ phải di chuyển để tìm cuộc sống mới. Thế giới thiếu nước ngọt va thức ăn.	UCYl434P5J6bhatf2xOx9ROA	http://www.youtube.com/channel/UCYl434P5J6bhatf2xOx9ROA	0		
UghmHcmtW8f-LXgCoAEC	0	0	2015-10-15 07:50:51	Stuart - Simply One Percent	N	UC1NwCQxAi7Otww-n3dqUMHA	http://www.youtube.com/channel/UC1NwCQxAi7Otww-n3dqUMHA	0		
UghV_9WVJy5Py3gCoAEC	14	144	2015-10-14 19:00:45	Michael J. Caboose	Oh god. Don&#39;t read the comments. If you see this, you have found the comments, FOR GOD&#39;S SAKES SAVE YOURSELF AND SCROLL BACK UP	UC49i76RBemaXodA40D7aBQw	http://www.youtube.com/channel/UC49i76RBemaXodA40D7aBQw	0		
UghV_9WVJy5Py3gCoAEC.85IZL7E-xAq9ARIz88xJye		2	2020-06-28 04:37:09	RosyOutlook2	MJCaCa _ A typical gatekeeper eh, 77. It explains why thumbs downs on comments no longer work, can't bury the shills, google can't have that, now can we.	UCRbHKI5N7p6VMsb0h01tHQQ	http://www.youtube.com/channel/UCRbHKI5N7p6VMsb0h01tHQQ	1	UghV_9WVJy5Py3gCoAEC	Michael J. Caboose
UghV_9WVJy5Py3gCoAEC.85IZL7E-xAq97gXhSv-WIs		0	2020-04-20 22:19:29	robert hicks	why would anyone want to watch more propaganda.	UC0TPdvG3xiLwzMJbdJzNw5g	http://www.youtube.com/channel/UC0TPdvG3xiLwzMJbdJzNw5g	1	UghV_9WVJy5Py3gCoAEC	Michael J. Caboose
