id	CGXkcf1Nv_0
published	2020-02-27 00:00:01
published_unix	1582761601
title	Julia Louis-Dreyfus and Scientist George Woodwell on Climate Crisis | NowThis
description	Julia Louis-Dreyfus sat down with this scientist to find out how much time we have left to address the climate crisis. Spoiler: Very little. » Subscribe to NowThis: http://go.nowth.is/News_Subscribe » Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis In US news and current events today, Julia Louis-Dreyfus (SNL, Seinfeld, Veep, Downhill) sat down with climate change expert and scientist George Woodwell to discuss global warming and the latest climate change news. When it comes to climate change, 2020 is a crucial year for action. This is not future news or something future to be concerned about, the climate crisis 2020 is now. The climate crisis is current events of national and international importance right now. #Science #Climate #JuliaLouisDreyfus #News #NowThis #NowThisNews Connect with NowThis » Like us on Facebook: http://go.nowth.is/News_Facebook » Tweet us on Twitter: http://go.nowth.is/News_Twitter » Follow us on Instagram: http://go.nowth.is/News_Instagram » Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live. http://www.youtube.com/nowthisnews @nowthisnews
channelId	UCn4sPeUomNGIr26bElVdDYg
channelTitle	NowThis News
duration	PT8M29S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	13603
likeCount	744
dislikeCount	62
favoriteCount	0
commentCount	311
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
