id	ELrn0mmZnGE
published	2020-03-09 20:26:16
published_unix	1583785576
title	Will the budget tackle climate change?
description	While coronavirus will dominate the budget, climate campaigners are hoping the Chancellor's first spending round will be the greenest yet. With Heathrow's expansion in question and an announcement on policies boosting energy and transport infrastructure postponed, there are questions around how seriously the government is addressing the climate crisis. SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews Follow us on Twitter: https://twitter.com/skynews Like us on Facebook: https://www.facebook.com/skynews Follow us on Instagram: https://www.instagram.com/skynews For more content go to http://news.sky.com and download our apps: Apple: https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB Sky News videos are now available in Spanish here/Los video de Sky News están disponibles en español aquí: https://www.youtube.com/skynewsespanol
channelId	UCoMdktPbSTixAyNGwb-UYkQ
channelTitle	Sky News
duration	PT2M39S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	184011
likeCount	550
dislikeCount	370
favoriteCount	0
commentCount	447
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
