id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugyg3lhuhmGzSdwJl2B4AaABAg	32	606	2020-03-10 18:51:52	Asmera 45	did anyone else notice he walked out with a red folder and it was green when he passed the car??? WTF??	UCu2UZtgSgGu7uQC-K-z2deQ	http://www.youtube.com/channel/UCu2UZtgSgGu7uQC-K-z2deQ	0		
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF9Duza0mp_RO		0	2020-09-22 16:09:36	Donny Earthling	the green light for the nwo takeover	UCF5cMPYPX3ZnRcYRxoIIUfQ	http://www.youtube.com/channel/UCF5cMPYPX3ZnRcYRxoIIUfQ	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF9A_2ZvYELHr		0	2020-07-01 14:06:56	april besch	Its_bearded_wisdom yes he has been taken down. Here’s the new channel: RVTRUTH not sure if the video is still there since they removed a lot of his stuff ...	UCSiUUHZGTnCIMmTnf268NUw	http://www.youtube.com/channel/UCSiUUHZGTnCIMmTnf268NUw	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF9AX2EuTdI0O		2	2020-06-30 10:06:20	Its_bearded_wisdom	@april besch video is gone. Have they got a new channel?	UCBED7UDi4Ykn2CCHnHzQX8Q	http://www.youtube.com/channel/UCBED7UDi4Ykn2CCHnHzQX8Q	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF9AKr5RVDTfb		0	2020-06-25 16:29:18	arturo flores G	the matrix is ​​broken	UC42bp6re8WVLtBU56JCQDFg	http://www.youtube.com/channel/UC42bp6re8WVLtBU56JCQDFg	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF9AJ5I9enxGv		0	2020-06-25 00:03:38	Christopher Borgford	That’s deep state	UClhjSOYRdRjJgrBqJ9492kA	http://www.youtube.com/channel/UClhjSOYRdRjJgrBqJ9492kA	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF9ACHk-d3SkO		0	2020-06-22 08:37:44	Daniel Seiler	The Matrix IS broken	UCCxJvcqRDpJJ_Bo5Qsge5zA	http://www.youtube.com/channel/UCCxJvcqRDpJJ_Bo5Qsge5zA	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF99edKo6SxlC		0	2020-06-08 21:41:43	David Stettenbauer	@april besch Google / Big Brother took it down. Would have been interesting to see.	UCBGkZAmab5zFjP46NWhqvhA	http://www.youtube.com/channel/UCBGkZAmab5zFjP46NWhqvhA	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF99eQ0NI1pYk		2	2020-06-08 19:36:36	¡¡¡KrazeeHors!!!	Aren't there things called "Deep Fake" videos!??? Anyways, who knows. This is still my world which God gave me life into...and I will always offer my thanks to HIM ♡♡♡ As imperfect and unworthy as i am	UCCzMiTluJDN8fO6cgW3dYQA	http://www.youtube.com/channel/UCCzMiTluJDN8fO6cgW3dYQA	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF98vexGA3Al0		0	2020-05-21 15:51:33	firecarrier1	@april besch it says it's been closed	UCKYbqkAnO9dmxz8YKVspyIg	http://www.youtube.com/channel/UCKYbqkAnO9dmxz8YKVspyIg	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF98dGvbWsal-		0	2020-05-14 12:26:32	Jose Bernardo Afonso Perez	Q raro?	UCpYnB_IJ4i9PP7bqBZdk1pA	http://www.youtube.com/channel/UCpYnB_IJ4i9PP7bqBZdk1pA	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
Ugyg3lhuhmGzSdwJl2B4AaABAg.961aM19B2aF96WL74vuBBd		0	2020-03-22 17:26:29	attilio hollige	@Panos One true it must be some other encoded message	UCNZA-BGZi0Zun_zhj7jfx7Q	http://www.youtube.com/channel/UCNZA-BGZi0Zun_zhj7jfx7Q	1	Ugyg3lhuhmGzSdwJl2B4AaABAg	Asmera 45
