id	E_GIpdXB2X0
published	2020-03-01 15:30:01
published_unix	1583076601
title	Why Climate Change is Now Inevitable | Unveiled
description	The Climate Crisis is here to stay... and here's why! In this video, Unveiled discovers the true extent of climate change and global warming. From melting ice caps to barren desserts, planet Earth is transforming in front of our eyes at an alarming rate! Is there anything we can do to stop it?? What do you think? What should we be doing differently? This is Unveiled, giving you incredible answers to extraordinary questions! Find more amazing videos for your curiosity here: What If Yellowstone Erupts? - https://www.youtube.com/watch?v=7y5um4rUAo0 10 Inventions to Save Planet Earth - https://www.youtube.com/watch?v=Xz57NMHBfc4 Are you constantly curious? Then subscribe for more from Unveiled ► https://wmojo.com/unveiled-subscribe #ClimateCrisis #ClimateChange #ParisAgreement #globalWarming #CarbonNeutral #NetZero #CarbonNegative
channelId	UCYJyrEdlwxUu7UwtFS6jA_Q
channelTitle	Unveiled
duration	PT7M41S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	21793
likeCount	725
dislikeCount	122
favoriteCount	0
commentCount	436
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
