id	GGGTUSXeahk
published	2020-12-03 09:44:53
published_unix	1606988693
title	World leaders fail to curb climate change in 2020 | DW News
description	The United Nations is urging world leaders to make 2021 the year they commit to fighting climate change. It comes as new reports highlight the severe weather that broke records around the world this year. The UN says the coronavirus pandemic presents a chance to hit the reset button, and do the work needed to save the planet from devastating temperature increases. Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1 For more news go to: http://www.dw.com/en/ Follow DW on social media: ►Facebook: https://www.facebook.com/deutschewellenews/ ►Twitter: https://twitter.com/dwnews ►Instagram: https://www.instagram.com/dwnews Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/channel/deutschewelle #ClimateChange #GlobalWarming
channelId	UCknLrEdhRCp1aegoMqRaCZg
channelTitle	DW News
duration	PT7M
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	17985
likeCount	464
dislikeCount	67
favoriteCount	0
commentCount	258
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
