id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugw5_umh1LxUH9tLz4V4AaABAg	0	9	2020-01-22 12:58:50	adam kolendorski	Keep it up Jane<br />Much love for a planet	UCJ90b463HyJQZ0U0s4lBm5A	http://www.youtube.com/channel/UCJ90b463HyJQZ0U0s4lBm5A	0		
Ugzf7Xb_u3fMkwYW4-d4AaABAg	2	4	2020-02-01 04:28:40	John Flynn	I Love Fonda - a Lady.<br />Loved her for Years.	UCInS3z9mO-2ebfjrwAtgG_w	http://www.youtube.com/channel/UCInS3z9mO-2ebfjrwAtgG_w	0		
Ugzf7Xb_u3fMkwYW4-d4AaABAg.94UCMPd1up995-XgnjGpBU		1	2020-02-14 03:10:01	John Flynn	Fonda addressed that issue many times. People have to get over it. I met her twice & saw her on the Broadway stage - she could not have been nicer.	UCInS3z9mO-2ebfjrwAtgG_w	http://www.youtube.com/channel/UCInS3z9mO-2ebfjrwAtgG_w	1	Ugzf7Xb_u3fMkwYW4-d4AaABAg	John Flynn
Ugzf7Xb_u3fMkwYW4-d4AaABAg.94UCMPd1up994zKFfn7-5L		0	2020-02-13 15:53:20	Fishsmell	You love a traitor. She sides with the viet cong.	UCZ0x5rkkq-__UNg615tOq6Q	http://www.youtube.com/channel/UCZ0x5rkkq-__UNg615tOq6Q	1	Ugzf7Xb_u3fMkwYW4-d4AaABAg	John Flynn
Ugzn8HTk5Ge--OImp3R4AaABAg	13	19	2020-01-22 13:15:34	Rookie Sportsman	&quot;Make no mistake...the wild fires in Australia are climate based&quot; meanwhile.....its criminal arsonist based. Lmao. <a href="http://www.youtube.com/results?search_query=%23hollywood">#hollywood</a>	UCbHJwWa9zducfsYqS5uGGLA	http://www.youtube.com/channel/UCbHJwWa9zducfsYqS5uGGLA	0		
Ugzn8HTk5Ge--OImp3R4AaABAg.945OhmMqbIQ94CWkUKKdtJ		0	2020-01-25 07:40:31	john smith	@Iris i tell you that droughts use to kill 1,000,000s of people and you counter that by comparing it to some island migrants and something about miami being in the midst of something, and then to top it all off without irony you accuse me of being insensitive. in the past 100 years drought related deaths have gone down a whoping ***99%*** and thats not even adjusting for population. and most of that is due in large part to fosil fuels impact on irrigation agriculture transportation.	UCqiJFjlybgEiySYRFbw2JMA	http://www.youtube.com/channel/UCqiJFjlybgEiySYRFbw2JMA	1	Ugzn8HTk5Ge--OImp3R4AaABAg	Rookie Sportsman
Ugzn8HTk5Ge--OImp3R4AaABAg.945OhmMqbIQ94CU06BQnGZ		0	2020-01-25 07:16:34	Iris	@Gnome Sane -You clearly didn't read anything I had to say, and if you did, you clearly didn't comprehend a word. There is something very wrong with you. It goes far beyond normal grievances and is past the verge of tin hat theories. You need help.	UCqYCLhLd7uwfOpiHgE6I31w	http://www.youtube.com/channel/UCqYCLhLd7uwfOpiHgE6I31w	1	Ugzn8HTk5Ge--OImp3R4AaABAg	Rookie Sportsman
Ugzn8HTk5Ge--OImp3R4AaABAg.945OhmMqbIQ94C31wF-MwA		0	2020-01-25 03:20:53	Iris	@john smith Think and reason. I am not going to do your homework for you. If you went beyond your own self-imposed boundaries, you would be able to find the answers you're looking for. The area we discussed was the Australian regions of the wildfires. There are never any positive impacts too massive wildfires. So, of course, that discussion isn't positive. When we speak about the biggest impacts in our world, they are rarely positive. But, your right, there are areas in which the climate is having positive changes, but I guess it's all in your perspective. My area has gotten warmer. We no longer have harsh winters, and we get more rain than we normally have gotten in the past. To some, they love the change and see it as positive. For others, who like the cold winters, they don't see it as a positive. That's hardly news breaking headlines, so you don't see much of it and it's rarely talked about nationally. Just because you don't take the time to see it, doesn't mean it doesn't exist. It does. And your way off the mark on the 100 to 1000 lives. We are already seeing climate migrations as islands are sinking in the sea. Areas of Louisiana, already below sea level, have had whole towns flooded away. They have been forced to locate. It will get worse. Miami is in the midst of feeling the impact scientists have warned us about. And you may so little disregard for the lives of others impacted, but I bet the tune will change once it hits your front door. I really can't believe you're so flippant about the loss of human life. So I don't think you can understand the concept of why it's so important to save lives period. It's a waste of time trying to explain it to you.	UCqYCLhLd7uwfOpiHgE6I31w	http://www.youtube.com/channel/UCqYCLhLd7uwfOpiHgE6I31w	1	Ugzn8HTk5Ge--OImp3R4AaABAg	Rookie Sportsman
Ugzn8HTk5Ge--OImp3R4AaABAg.945OhmMqbIQ94C0OZhHEiA		0	2020-01-25 02:57:46	Iris	@Gnome Sane First off, your problem with this us and them mentality is so off the curve it isn’t even funny anymore. The world is much more complex and nuanced than that. I am not Australian, so I am not the one to speak about what the government has or hasn’t done. I can only garner my opinions from what I read in the paper about their policies and from what I have read, it’s not good. I’m not understanding your point on carelessness and legal policy. There is legal policy, at least in the U.S., regarding careless behaviors on both Federal and State levels. Common Sense Laws are broken through and because of it many homes and areas have been destroyed. I don’t know the ins and outs about this man starting a fire to save his house, but it’s amateur hour that usually does the most damage. And it’s because of amateur hour types of actions that this man’s house was in the immediate danger that it was. He either knew what he was doing, or he was lucky. The point being that while firefighters use fires as control mechanisms, they are highly trained and know what they are doing. It can very easily get out of control and end up doing more harm than good if that amateur doesn’t know what he is doing. Given the changes and scope of the fires, this case could, however, change law, opinion and may be an option for the government to change policy. Perhaps programs can be set up in which people can learn how to use the fires. Maybe communities can be set up with trained and/or licensed people to use the practice without further burdening the firefighters with containing additional fires because of amateur maneuvers. These things need to be figured out before the fire season and not during. And because of your false dichotomy the rest of your argument falls apart. I don’t know what in your right mind led you to the conclusion that I trust government, but it didn’t come from any cogent reasoning, that’s for sure. Your tirade about preserved land doesn’t make sense unless one doesn’t care about quality of life. The reason that Roosevelt set land aside was because the land was being gobbled up for commercial use at such an alarming rate at the time, the fear was that unless it was done, there wouldn’t be any natural land for anyone to enjoy for one. Another reason was to protect the ecosystem that without, we couldn’t survive. Setting aside lands for wildlife and preservation is something that is vital. It also helps to protect smaller businesses from conglomerates from taking or destroying vital resources that other businesses thrive on. It’s a balance. So, while those looking at a land and seeing oil, minerals, and other resources, there is an equal set of others that see an industry for medicine, travel, fur, fisheries, and other ways to use the land. Why should the oil industry be the only one to tap resources at the expense of others? What’s diplomatic about that? You’re as rabid as those but lickers for the oil industries that wanted to drill oil rigs off the coast of Florida. Holiday travel is its main industry. I most certainly don’t want to vacation at a spot with an oil rig in front of my face. That’s idiotic. Balance. I’m sure that there are groups of people that cry that third world countries should be left alone so that they can attain the same economic fruits that the industrialized nations have. I’m not one of them. I think it’s naive to think that industry isn’t without its faults and it has made mistakes along the way. The success is in realizing what they are, fixing them and passing that knowledge down to those nations, so they do not make the same mistake. A great example of that is asbestos. See, and here is when the government comes in. Government has turned into a corporate socialist shill. They subsidize old technologies and refuse to support any new technologies that are competing with the old. They are systematically stifled for the interests of old ideas. Governments that do that don’t move or advance to the betterment of their country. They exacerbate in the destruction of it. Especially when other countries, that aren’t doing that, move ahead to the future. That is what we are seeing now. The lies and the agenda to keep the status quo is the Kool aid you're drinking and an abject failure. Your such an easy target. And I don’t know if you have taken your head out of the sand as of late. You find, that more people like me and especially younger sets, are not the yuppy consumerists of the past. You see it in the numbers and economic trends taking hold. More people are telecommuting, shopping locally, car sales are falling, and are very mindful of the products they buy. Clothing trends are for secondhand clothes and home sewn projects. However, I will agree with you, although it’s trending, there is still this mindset that it’s okay that Walmart destroys small businesses for the sake of a China made product manufactured under slave conditions. It’s a wonder why they are scratching their heads as to why their manufacturing jobs are going away. Immigrants? Please! It’s ironic that the ancestors of refugees are now complaining about refugees coming to their shores now. Where are they any different to the refugees of today aside from the time they are coming to the country. Isn’t that a bit hypocritical? Of course, it is. And as to scientists? If your diagnosed with cancer and have gone to all the cancer specialists in the world and 97% confirmed that you have cancer, odds are that the other 3% are off on their calculations. The science is in on climate and the vast majority is saying it is so. One just must follow the money to see why the minuscule few are saying it’s not true. It’s corporations and the fuel industry they drink from. The science is telling us that it’s us. The science is telling us we must act now or the environment that humans thrive on will become extremely hard for humans to survive and live in. But, nah, go ahead and keep your head in the sand. Pretend that every environmental scientist doesn’t know what they are talking about and believe your government and corporations that can’t possibly have any stake in keeping the status quo. Better yet, blame China for putting guns to corporations’ heads and moving manufacturing plants to their country for profit, no matter the consequences to its own citizens, and the industries in their own countries. You’re a prime example of what the dumbing down is all about	UCqYCLhLd7uwfOpiHgE6I31w	http://www.youtube.com/channel/UCqYCLhLd7uwfOpiHgE6I31w	1	Ugzn8HTk5Ge--OImp3R4AaABAg	Rookie Sportsman
Ugzn8HTk5Ge--OImp3R4AaABAg.945OhmMqbIQ94BGLtxO9Ua		0	2020-01-24 19:57:58	john smith	@Iris here is how you can tell if your science is fake even without knowing science. you say that a 1 degree rise in temperature is changing the the weather pattern. so my question to you is why are the changes always negative? you would think that some places are going to get positive changes and some places negative. so can you name me so positive changes and also give me the ratio of positive to negative. and you also never answered my question why it was such a big deal that a couple of 100 or 1,000 people got displaced, when before fosil fuels 1,000,000s use to DIE from droughts.	UCqiJFjlybgEiySYRFbw2JMA	http://www.youtube.com/channel/UCqiJFjlybgEiySYRFbw2JMA	1	Ugzn8HTk5Ge--OImp3R4AaABAg	Rookie Sportsman
