id	JBPMJMAWl5E
published	2020-02-05 13:54:20
published_unix	1580910860
title	Boris Johnson and Jeremy Corbyn clash over climate change
description	The Labour leader has accused the prime minister of ‘failing so spectacularly’ on climate change in a heated debate during PMQs. Jeremy Corbyn said the government was missing its targets, while Boris Johnson said the government was making the UK a world leader in tackling the climate crisis Subscribe to Guardian News on YouTube ► http://bit.ly/guardianwiressub Jeremy Corbyn: PM is 'failing spectacularly' on climate crisis ► https://www.theguardian.com/environment/2020/feb/05/jeremy-corbyn-boris-johnson-failing-spectacularly-on-climate-crisis Support the Guardian ► https://support.theguardian.com/contribute Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus The Guardian YouTube network: The Guardian ► http://www.youtube.com/theguardian Owen Jones talks ► http://bit.ly/subsowenjones Guardian Football ► http://is.gd/guardianfootball Guardian Sport ► http://bit.ly/GDNsport Guardian Culture ► http://is.gd/guardianculture
channelId	UCIRYBXDze5krPDzAEOxFGVA
channelTitle	Guardian News
duration	PT1M42S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	35825
likeCount	233
dislikeCount	40
favoriteCount	0
commentCount	180
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
