id	JoIG08fDV5k
published	2020-10-14 09:13:14
published_unix	1602666794
title	Climate change in Russia: Can Siberia's permafrost be saved? | Focus on Europe
description	In parts of Siberia, the permafrost is thawing. That endangers not only roads and buildings but also underground cold-storage facilities. Cracks are appearing in more and more of them. Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1 For more news go to: http://www.dw.com/en/ Follow DW on social media: ►Facebook: https://www.facebook.com/deutschewellenews/ ►Twitter: https://twitter.com/dwnews ►Instagram: https://www.instagram.com/dwnews Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/channel/deutschewelle
channelId	UCknLrEdhRCp1aegoMqRaCZg
channelTitle	DW News
duration	PT4M47S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	66743
likeCount	1149
dislikeCount	47
favoriteCount	0
commentCount	330
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
