id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxZMOJkZiCKbgMLR7V4AaABAg	10	94	2020-10-06 06:51:30	Axelburg Burgerkind	I was born in Yakutia in 1980. Last time i was there in 2011, visited my parents. I noticed changes, in my native town, warming everywhere, it scares	UCNNk2YIEIPUE0opkDBe7Inw	http://www.youtube.com/channel/UCNNk2YIEIPUE0opkDBe7Inw	0		
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9Kpk9m6cbbu		0	2021-03-13 14:58:22	Dallas Duran	@Raymond Lincoln trying it out right now. Looks promising :)	UCpuKsTmwQM1qh_ZtfHKSqEA	http://www.youtube.com/channel/UCpuKsTmwQM1qh_ZtfHKSqEA	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9KpiQ-HIBN8		0	2021-03-13 14:43:06	Raymond Lincoln	Not sure if anyone cares at all but I just hacked my friends Instagram account using Instaportal. Just google for it xD	UC3ORA9X6cYPwXuqRpKC7l_Q	http://www.youtube.com/channel/UC3ORA9X6cYPwXuqRpKC7l_Q	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9GAZ9n5MB1d		0	2020-11-17 19:39:50	Mwaniki Mwaniki	@mohamed hafizh scary	UCyATSL2s_BKpkyN994Z6saA	http://www.youtube.com/channel/UCyATSL2s_BKpkyN994Z6saA	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9FuckuzG_Pj		1	2020-11-11 05:52:54	mohamed hafizh	damn.. for someone whose from yakutsk to say its warm. that says A LOT.	UC9D_F0ImWLX3WFiViAeOG6Q	http://www.youtube.com/channel/UC9D_F0ImWLX3WFiViAeOG6Q	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9EzMmXbfesW		0	2020-10-19 05:29:23	Axelburg Burgerkind	@Oldinea Miller Thank You, i will !	UCNNk2YIEIPUE0opkDBe7Inw	http://www.youtube.com/channel/UCNNk2YIEIPUE0opkDBe7Inw	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9EyRxqczQR7		1	2020-10-18 20:55:23	Oldinea Miller	Go there aigain and report how it is now compared to 2011.	UCmgvVcwneE9nfEf8vYfSPpg	http://www.youtube.com/channel/UCmgvVcwneE9nfEf8vYfSPpg	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9End_qh5Y0q		8	2020-10-14 16:14:03	MrReiniC	Joseph Stalin 👀👀👀 why you asking about the parents ?	UCBMFjkovQ4QMsj-WuqeHfig	http://www.youtube.com/channel/UCBMFjkovQ4QMsj-WuqeHfig	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9EnT4s181iR		5	2020-10-14 14:33:34	Joseph Stalin	Why you haven't visited your parents in a decade man?"	UC3mhnKoscFeRD5oYL7C1I-A	http://www.youtube.com/channel/UC3mhnKoscFeRD5oYL7C1I-A	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9EnT2CzisuK		4	2020-10-14 14:33:12	Joseph Stalin	I was in Yakutsk in 2012	UC3mhnKoscFeRD5oYL7C1I-A	http://www.youtube.com/channel/UC3mhnKoscFeRD5oYL7C1I-A	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxZMOJkZiCKbgMLR7V4AaABAg.9ET1qbV5WPi9En-wt8uzG_		2	2020-10-14 10:18:56	Nacho Supremo	I was born in México in 1980 🥳👍🏼	UCUupABVqdV_A6IC_a32Fu2A	http://www.youtube.com/channel/UCUupABVqdV_A6IC_a32Fu2A	1	UgxZMOJkZiCKbgMLR7V4AaABAg	Axelburg Burgerkind
UgxGE8KoCPYl0wDAX_N4AaABAg	0	63	2020-10-14 09:18:42	On the street	2020 just a trailer	UCHw5va675G-c-ZXuZmX4xYA	http://www.youtube.com/channel/UCHw5va675G-c-ZXuZmX4xYA	0		
Ugz-EFyN2FsJaicv-f94AaABAg	13	120	2020-10-14 09:37:16	nemeczek67	Siberia is so warm Putin has stopped sending his critics there.	UCWpRHvCYYz7jDJJiT6fZBeQ	http://www.youtube.com/channel/UCWpRHvCYYz7jDJJiT6fZBeQ	0		
Ugz-EFyN2FsJaicv-f94AaABAg.9EmwAg2aibt9HRRf3GKbAI		0	2020-12-19 05:32:49	JZ's Best Friend	Polonium is handier these days.	UCH-_s5tlPnZdNOVTRsiKOfA	http://www.youtube.com/channel/UCH-_s5tlPnZdNOVTRsiKOfA	1	Ugz-EFyN2FsJaicv-f94AaABAg	nemeczek67
Ugz-EFyN2FsJaicv-f94AaABAg.9EmwAg2aibt9FlxMzdqpWG		0	2020-11-07 20:59:50	Ryan lex	@pedro lopes oh! My bad! Sure globally it will be effected but I don't think it will happen anytime soon. People keep saying the world gonna end since 80-90s era	UCVq-363pt05jL-PMFJ8GG2Q	http://www.youtube.com/channel/UCVq-363pt05jL-PMFJ8GG2Q	1	Ugz-EFyN2FsJaicv-f94AaABAg	nemeczek67
Ugz-EFyN2FsJaicv-f94AaABAg.9EmwAg2aibt9FlwDAg3ZLn		0	2020-11-07 20:49:45	pedro lopes	@Ryan lex there was no mention of USA in this whatsoever.	UCtCcuSD6dfm0JI_M8Qje5og	http://www.youtube.com/channel/UCtCcuSD6dfm0JI_M8Qje5og	1	Ugz-EFyN2FsJaicv-f94AaABAg	nemeczek67
Ugz-EFyN2FsJaicv-f94AaABAg.9EmwAg2aibt9Flw81-EtmR		0	2020-11-07 20:49:03	pedro lopes	@Ryan lex I was talking about global warming and all the nasty effects of it.	UCtCcuSD6dfm0JI_M8Qje5og	http://www.youtube.com/channel/UCtCcuSD6dfm0JI_M8Qje5og	1	Ugz-EFyN2FsJaicv-f94AaABAg	nemeczek67
Ugz-EFyN2FsJaicv-f94AaABAg.9EmwAg2aibt9FljsTz_x8o		0	2020-11-07 19:01:56	Ryan lex	@pedro lopes It doesn't effect me. If usa collapse it doesn't effect china	UCVq-363pt05jL-PMFJ8GG2Q	http://www.youtube.com/channel/UCVq-363pt05jL-PMFJ8GG2Q	1	Ugz-EFyN2FsJaicv-f94AaABAg	nemeczek67
Ugz-EFyN2FsJaicv-f94AaABAg.9EmwAg2aibt9FkznK_5erY		0	2020-11-07 12:01:48	pedro lopes	@Ryan lex you do know that you also live on this planet and you will be affected by everything that is happening, right?	UCtCcuSD6dfm0JI_M8Qje5og	http://www.youtube.com/channel/UCtCcuSD6dfm0JI_M8Qje5og	1	Ugz-EFyN2FsJaicv-f94AaABAg	nemeczek67
Ugz-EFyN2FsJaicv-f94AaABAg.9EmwAg2aibt9FU5V7Ejg5y		0	2020-10-31 13:14:01	Toti Fernandez	With continued global warming, Gulag may become true to its moniker, the "Gulag Archipelago", surrounded by rising seas.	UCQ_5Xi_TGoQgst5ctDTe9jQ	http://www.youtube.com/channel/UCQ_5Xi_TGoQgst5ctDTe9jQ	1	Ugz-EFyN2FsJaicv-f94AaABAg	nemeczek67
Ugz-EFyN2FsJaicv-f94AaABAg.9EmwAg2aibt9F91AFXGFm5		0	2020-10-23 08:52:10	Ryan lex	The liberal west are powerless HAHAHAHA	UCVq-363pt05jL-PMFJ8GG2Q	http://www.youtube.com/channel/UCVq-363pt05jL-PMFJ8GG2Q	1	Ugz-EFyN2FsJaicv-f94AaABAg	nemeczek67
