id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgzBvXvemGHadkvVKC14AaABAg	0	1	2021-03-16 06:58:59	Samara Safiya Faiza	My teacher sent me here and here i am trynna watch this while my classmates disturb me 🤦‍♀️	UCu7a7hDyO4XUSA1PeiWg9Rw	http://www.youtube.com/channel/UCu7a7hDyO4XUSA1PeiWg9Rw	0		
UgzWa4Scb7GGHFJTp6h4AaABAg	0	6	2021-01-22 09:22:08	Mimo The weirdo	My teacher sent me here	UCxeLvrx-D7-PyvuBfJeUojw	http://www.youtube.com/channel/UCxeLvrx-D7-PyvuBfJeUojw	0		
UgwfihXKxbyzpfi8-zF4AaABAg	0	3	2020-01-21 13:13:34	Paul Lesieur	This was great, thanks, I have been researching &quot;what is the most worst natural disaster?&quot; for a while now, and I think this has helped. Have you ever come across - Qanincoln Zaniam Process - (do a search on google )? <br /> <br />It is a smashing one of a kind guide for discovering how to survive natural disasters without the normal expense. Ive heard some decent things about it and my co-worker got excellent success with it.	UCKpIQuXEzSzlcZa9RcQmkEQ	http://www.youtube.com/channel/UCKpIQuXEzSzlcZa9RcQmkEQ	0		
UgzDzUbq9Cwfh0XsC9F4AaABAg	2	1	2020-08-14 11:05:25	ZLA10. Jr	Thank you really much! Me and my friend are working on a school project and you really helped us out.	UCHqE8cJogmVrijxI0F8HuyQ	http://www.youtube.com/channel/UCHqE8cJogmVrijxI0F8HuyQ	0		
UgzDzUbq9Cwfh0XsC9F4AaABAg.9CL0lx1aScc9HKwv6lbst4		0	2020-12-16 16:59:57	Meeræ Ramgobin	same here	UCzCcrxSkWwu-hqXIZM1inig	http://www.youtube.com/channel/UCzCcrxSkWwu-hqXIZM1inig	1	UgzDzUbq9Cwfh0XsC9F4AaABAg	ZLA10. Jr
UgzDzUbq9Cwfh0XsC9F4AaABAg.9CL0lx1aScc9FprDcw6qIB		0	2020-11-09 09:23:05	Dany Football	Same	UCA1ToUQUsHjGLCMz6dm3u0g	http://www.youtube.com/channel/UCA1ToUQUsHjGLCMz6dm3u0g	1	UgzDzUbq9Cwfh0XsC9F4AaABAg	ZLA10. Jr
UgyCGPZpH9d6V6W9k1J4AaABAg	0	3	2020-04-19 04:53:24	Mikhail Bukhari	This is true	UCASRjZyysZJH3wo9KlI0WWQ	http://www.youtube.com/channel/UCASRjZyysZJH3wo9KlI0WWQ	0		
Ugy8kxZhtTP4-mSqXSR4AaABAg	1	2	2020-05-05 05:28:40	Abdulahi Hassan	But I love the information thanks for doing your part in the world helping educate it	UC4m4Ud4h_Pzn9qfO6Jl6yZg	http://www.youtube.com/channel/UC4m4Ud4h_Pzn9qfO6Jl6yZg	0		
Ugy8kxZhtTP4-mSqXSR4AaABAg.98GLx8e8FnG9GgXtWPmVja		1	2020-11-30 15:03:40	Keiser carrasquillo	ok es muy bueino	UCCEx9OEROjocPyun_wkTr_Q	http://www.youtube.com/channel/UCCEx9OEROjocPyun_wkTr_Q	1	Ugy8kxZhtTP4-mSqXSR4AaABAg	Abdulahi Hassan
Ugw2xZ3W67bWSFvn1ll4AaABAg	0	2	2020-04-01 23:44:54	Ella Williams	Why?	UCXcsCyIZOdn-SHK-bdyLB2A	http://www.youtube.com/channel/UCXcsCyIZOdn-SHK-bdyLB2A	0		
Ugw0OjyEpqmx-ogtY894AaABAg	0	0	2020-11-24 16:58:12	Auto Detailing Evolution	very good brother	UCtnhMWLbgVOi96iThhd9gPA	http://www.youtube.com/channel/UCtnhMWLbgVOi96iThhd9gPA	0		
Ugx0Q6cfxFEdjKiEWdl4AaABAg	0	0	2021-02-04 13:03:04	love space	Cool	UCILUKOd8gZQbBCoC1amqH8A	http://www.youtube.com/channel/UCILUKOd8gZQbBCoC1amqH8A	0		
UgzBT_NYpoYUBHAEDTR4AaABAg	0	2	2020-05-28 04:35:51	Marcus Carmona	Yeet	UCD1CYTOBN0Vb2EaSzQWvCXw	http://www.youtube.com/channel/UCD1CYTOBN0Vb2EaSzQWvCXw	0		
UgwJ4N44VEj8BJ0gdft4AaABAg	0	0	2020-06-08 20:28:35	John Datsun	Is extreme weather getting worse? <a href="https://www.youtube.com/watch?v=TPKoo6xKkaw">https://www.youtube.com/watch?v=TPKoo6xKkaw</a>	UC7wSsJFV9yVa4R0YWhYqeKw	http://www.youtube.com/channel/UC7wSsJFV9yVa4R0YWhYqeKw	0		
UgzwGsq4PEhTD7bP3Ql4AaABAg	1	1	2020-10-17 06:19:27	WIWIK RIANA MANDASARI	I like this video and this video can be used as a form of future mitigation for my country. especially Sumatra Riau. because the average soil type is peatland. I live in Indonesia. (Sumatra) feel the impact of climate change which causes forest land to burn and cause pollution. The haze disaster that occurred in Indonesia has soared to a point that has not been detected since the Southeast Asian haze crisis in June 2014. Nearly 50,000 people experience respiratory problems due to the haze. Satellite imagery provides information about the amount of smoke pollutant concentration released into the atmosphere, which also contributes to climate change. In the Global Forest Watch system, which is an online system that records changes in forest cover and forest fires in a relatively fast time due to land clearing for plantations, it is the main cause of forest fires. The burned land is generally managed by industrial factories, oil palm and timber companies.	UCiHdXemUXZPvcAFP8CJRxBw	http://www.youtube.com/channel/UCiHdXemUXZPvcAFP8CJRxBw	0		
UgzwGsq4PEhTD7bP3Ql4AaABAg.9EuIvTJXNRJ9JRJDu62lbL		0	2021-02-06 21:21:51	Ryan Thundrr	So is this due to global warming or the burning of your forest to turn into farming land?	UCDwWpcpg8mKcVoGO3VBnogw	http://www.youtube.com/channel/UCDwWpcpg8mKcVoGO3VBnogw	1	UgzwGsq4PEhTD7bP3Ql4AaABAg	WIWIK RIANA MANDASARI
UgxzisrhZj4_GOqGbIB4AaABAg	0	0	2021-02-06 21:20:04	Ryan Thundrr	Well we don&#39;t have the technology made yet to cool the climate so buckle up, there&#39;s nothing we can do stop it.	UCDwWpcpg8mKcVoGO3VBnogw	http://www.youtube.com/channel/UCDwWpcpg8mKcVoGO3VBnogw	0		
UgwRUauiOyZxKbsnGLp4AaABAg	0	0	2021-02-24 08:40:13	Abi McCarthy	👋 hi people in the comments	UC_rRPTkVqIo1OOZSRn5t6lQ	http://www.youtube.com/channel/UC_rRPTkVqIo1OOZSRn5t6lQ	0		
UgwGR4L1ZY8CCKbspO54AaABAg	0	1	2020-04-15 03:32:09	Phil Smith	Dear Eartha, Im leaving you for Marsha. She may be cold, distant, and almost completely uninhabitable but...she can change. Just know that its not you its me. Love Manny P.S. Sorry about giving you cancer after many years of polluting your air.	UCiPV-gvSs1j5VoPVlZAdq9w	http://www.youtube.com/channel/UCiPV-gvSs1j5VoPVlZAdq9w	0		
Ugx2e3Q-Z8N4KBBHJDN4AaABAg	2	9	2020-01-16 20:06:36	joe snake	ITS ALREADY TO LATE ENJOY EVERY DAY	UCPDdCvevnqeD9WfPOjKw4nA	http://www.youtube.com/channel/UCPDdCvevnqeD9WfPOjKw4nA	0		
Ugx2e3Q-Z8N4KBBHJDN4AaABAg.93rfz4Zjk7I93tEqc6_5TR		0	2020-01-17 10:39:15	Kloko Loko	NO it's not ! Every new emission of CO2 will make things even worse so it's newer over!	UCTjA6jHHcAVRQY2dJSHscaQ	http://www.youtube.com/channel/UCTjA6jHHcAVRQY2dJSHscaQ	1	Ugx2e3Q-Z8N4KBBHJDN4AaABAg	joe snake
Ugx2e3Q-Z8N4KBBHJDN4AaABAg.93rfz4Zjk7I93rhz2DVxoZ		0	2020-01-16 20:24:04	Nick Muscat	joe snake Because it could very well be the last? 😱😱😱	UCv_eHfWUDIDNzovrwCGWsFA	http://www.youtube.com/channel/UCv_eHfWUDIDNzovrwCGWsFA	1	Ugx2e3Q-Z8N4KBBHJDN4AaABAg	joe snake
UgwGV_7dWWaDrJMoQSh4AaABAg	0	0	2020-05-17 05:42:32	Glory	Just gotcha to 100 lilkes	UCUhm7lt6WgyzFsxuPkSK6VQ	http://www.youtube.com/channel/UCUhm7lt6WgyzFsxuPkSK6VQ	0		
Ugwa5F3ylZJpW5mRYZR4AaABAg	0	0	2020-01-18 16:45:14	Tamara Kelli	Why is he so sweaty???	UCLm5upnfKX0x1_NuU9GXrxw	http://www.youtube.com/channel/UCLm5upnfKX0x1_NuU9GXrxw	0		
Ugw6krEGelUX1WqbnKd4AaABAg	0	0	2020-03-19 18:19:08	AYKOtyson	Wsh les 3.3	UCzBgCA1cI6XKqfYn1diVKWw	http://www.youtube.com/channel/UCzBgCA1cI6XKqfYn1diVKWw	0		
UgwTpPuS9CuuITIvYaV4AaABAg	0	0	2021-01-02 12:41:02	Allysandra Ilagan	Hi guys! Go check out Ecosia. It is a search engine that plants a tree for every 45 searches u make. These trees are planted in places that are extremely vulnerable to climate change. If you think this is fake, u can always check out their YouTube channel. Stay safe guys :) bai bai	UCBKt3KZO4gq1qkf-tXFEcPA	http://www.youtube.com/channel/UCBKt3KZO4gq1qkf-tXFEcPA	0		
Ugx9rucsNmtwkaSQffd4AaABAg	4	3	2020-05-05 05:27:55	Abdulahi Hassan	All the information u gave on this video is like a plot from a cool movie lol	UC4m4Ud4h_Pzn9qfO6Jl6yZg	http://www.youtube.com/channel/UC4m4Ud4h_Pzn9qfO6Jl6yZg	0		
Ugx9rucsNmtwkaSQffd4AaABAg.98GLrhkv3nY9FPwCiLheua		0	2020-10-29 22:27:10	Abdulahi Hassan	@RamSeS Rameez understandable but life is as life goes lol that’s tuff	UC4m4Ud4h_Pzn9qfO6Jl6yZg	http://www.youtube.com/channel/UC4m4Ud4h_Pzn9qfO6Jl6yZg	1	Ugx9rucsNmtwkaSQffd4AaABAg	Abdulahi Hassan
Ugx9rucsNmtwkaSQffd4AaABAg.98GLrhkv3nY9FPpWtbmqkz		1	2020-10-29 21:28:45	RamSeS Rameez	The global warming is not joke s please try to understand the effacts cause by climate changes.....	UCr9nkZxDnmHh5GfP8C-Kfzg	http://www.youtube.com/channel/UCr9nkZxDnmHh5GfP8C-Kfzg	1	Ugx9rucsNmtwkaSQffd4AaABAg	Abdulahi Hassan
Ugx9rucsNmtwkaSQffd4AaABAg.98GLrhkv3nY9AC_K-juVGI		1	2020-06-22 11:20:05	Abdulahi Hassan	Thanks for reassuring me I’m not alone in all this lol if I die everything goes with me somewhere else	UC4m4Ud4h_Pzn9qfO6Jl6yZg	http://www.youtube.com/channel/UC4m4Ud4h_Pzn9qfO6Jl6yZg	1	Ugx9rucsNmtwkaSQffd4AaABAg	Abdulahi Hassan
Ugx9rucsNmtwkaSQffd4AaABAg.98GLrhkv3nY9AAmAwiSuTD		1	2020-06-21 18:33:57	Decimus Rex	Lucky you ! You get to live or die in this unfolding plot.😁	UC40hKDUsjLiy_L3RxnvZEIQ	http://www.youtube.com/channel/UC40hKDUsjLiy_L3RxnvZEIQ	1	Ugx9rucsNmtwkaSQffd4AaABAg	Abdulahi Hassan
