id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugz8NL7ydYNeiVHEQqh4AaABAg	2	227	2021-01-22 12:10:06	Medlife Crisis	What a load of bunk. &#39;Scientists&#39; have been crying about memes for decades and yet - nothing has happened. How can memes be real if there are no memes outside my window right now? Absolute meme shill.	UCgRBRE1DUP2w7HTH9j_L4OQ	http://www.youtube.com/channel/UCgRBRE1DUP2w7HTH9j_L4OQ	0		
Ugz8NL7ydYNeiVHEQqh4AaABAg.9Ioh9dIT5-W9Iy6GCagl3b		0	2021-01-26 03:51:21	Jake Nicholaides	Maybe it's the lack of accuracy in the predictions based on the hypothesis. Maybe if they weren't so wildly wrong when tested in the real world we wouldn't need to use every dirty manipulative truck in the book to push an agenda based on lies, zeolitry and foundations in eugenic belief.	UCi_RB4pnUrmXzuVG1Djp0bw	http://www.youtube.com/channel/UCi_RB4pnUrmXzuVG1Djp0bw	1	Ugz8NL7ydYNeiVHEQqh4AaABAg	Medlife Crisis
Ugz8NL7ydYNeiVHEQqh4AaABAg.9Ioh9dIT5-W9IumPVGXd37		2	2021-01-24 20:51:24	danny white	both of you should do more meme review	UCUkZ6B27znPCtx8SCmlvSbQ	http://www.youtube.com/channel/UCUkZ6B27znPCtx8SCmlvSbQ	1	Ugz8NL7ydYNeiVHEQqh4AaABAg	Medlife Crisis
UgxTA3zdAkDK_Rkzf6x4AaABAg	2	214	2021-01-21 16:52:49	Andrew Dotson	Wow these meme thingies are pretty neat. I’ll have to check them out sometime.	UCnFmWQbVW_YbqPQZGNuq8sA	http://www.youtube.com/channel/UCnFmWQbVW_YbqPQZGNuq8sA	0		
UgxTA3zdAkDK_Rkzf6x4AaABAg.9ImciMlDs-G9JDG7oCIy-u		0	2021-02-01 10:25:26	Atharv Gupta	Lol	UCunRFPBnRs53x5lVwFDmgcQ	http://www.youtube.com/channel/UCunRFPBnRs53x5lVwFDmgcQ	1	UgxTA3zdAkDK_Rkzf6x4AaABAg	Andrew Dotson
UgxTA3zdAkDK_Rkzf6x4AaABAg.9ImciMlDs-G9Imw8-XhGk_		5	2021-01-21 19:42:28	Maarten DJ	Looking forward to the very first physics meme review EVER	UCO9pOchHKFJ8xljNCOERpSw	http://www.youtube.com/channel/UCO9pOchHKFJ8xljNCOERpSw	1	UgxTA3zdAkDK_Rkzf6x4AaABAg	Andrew Dotson
UgxcQ1sdAVHA-JM4BkN4AaABAg	7	322	2021-01-21 10:58:52	Flammable Maths	Bruh, Simon diving into new territories! :D	UCtAIs1VCQrymlAnw3mGonhw	http://www.youtube.com/channel/UCtAIs1VCQrymlAnw3mGonhw	0		
UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9ItYytiYDse		2	2021-01-24 09:26:04	Null Pointer	Meine Fresse ist das hier eine kreuz-über Folge oder was?	UC3kJKirs3eD1zbUf2aSbYfA	http://www.youtube.com/channel/UC3kJKirs3eD1zbUf2aSbYfA	1	UgxcQ1sdAVHA-JM4BkN4AaABAg	Flammable Maths
UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9ImWg1TdbnL		1	2021-01-21 15:51:19	Younes Layachi	"meme peer review" im already laughing xD	UCSJ4EdL30Jir5EgByxAzITw	http://www.youtube.com/channel/UCSJ4EdL30Jir5EgByxAzITw	1	UgxcQ1sdAVHA-JM4BkN4AaABAg	Flammable Maths
UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9ImVoW3f3Ob		0	2021-01-21 15:43:45	Pulsar	i rate it no spicy manga in the background/10	UCI6I89StPXTiS_JdH2JYucg	http://www.youtube.com/channel/UCI6I89StPXTiS_JdH2JYucg	1	UgxcQ1sdAVHA-JM4BkN4AaABAg	Flammable Maths
