id	LBtOp4GTUts
published	2020-07-24 10:00:07
published_unix	1595584807
title	Al Gore Explains What COVID-19 and Climate Change Have in Common
description	Former Vice President Al Gore talks about watching the Trump administration mishandle the coronavirus pandemic and what the pandemic has in common with climate change. Late Night with Seth Meyers. Stream now on Peacock: https://bit.ly/3erP2gX Subscribe to Late Night: http://bit.ly/LateNightSeth Watch Late Night with Seth Meyers Weeknights 12:35/11:35c on NBC. Get more Late Night with Seth Meyers: http://www.nbc.com/late-night-with-seth-meyers/ LATE NIGHT ON SOCIAL Follow Late Night on Twitter: https://twitter.com/LateNightSeth Like Late Night on Facebook: https://www.facebook.com/LateNightSeth Follow Late Night Instagram: http://instagram.com/LateNightSeth Late Night on Tumblr: http://latenightseth.tumblr.com/ Late Night with Seth Meyers on YouTube features A-list celebrity guests, memorable comedy, and topical monologue jokes. GET MORE NBC Like NBC: http://Facebook.com/NBC Follow NBC: http://Twitter.com/NBC NBC Tumblr: http://NBCtv.tumblr.com/ YouTube: http://www.youtube.com/nbc NBC Instagram: http://instagram.com/nbc Al Gore Explains What COVID-19 and Climate Change Have in Common- Late Night with Seth Meyers https://youtu.be/LBtOp4GTUts Late Night with Seth Meyers http://www.youtube.com/user/latenightseth
channelId	UCVTyTA7-g9nopHeHbeuvpRA
channelTitle	Late Night with Seth Meyers
duration	PT5M31S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	105018
likeCount	1781
dislikeCount	112
favoriteCount	0
commentCount	392
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
