id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyVyp2HInikLZLYKrp4AaABAg	3	4	2020-09-15 09:54:23	Guardian News	Biden calls Trump a &#39;climate arsonist&#39; as president denies science on wildfire tour ► <a href="https://www.theguardian.com/us-news/2020/sep/14/biden-trump-wildfires-messages-campaign-trail-california">https://www.theguardian.com/us-news/2020/sep/14/biden-trump-wildfires-messages-campaign-trail-california</a>	UCIRYBXDze5krPDzAEOxFGVA	http://www.youtube.com/channel/UCIRYBXDze5krPDzAEOxFGVA	0		
UgyVyp2HInikLZLYKrp4AaABAg.9DcI4dNqd9L9DfRwliMwao		0	2020-09-16 15:18:16	Jenna 14 [f.u.с.к мe] ТАР 0N МY РIC	💕💗💘🧡	UCNiKyr_mXhYbXsNmHcYuzXQ	http://www.youtube.com/channel/UCNiKyr_mXhYbXsNmHcYuzXQ	1	UgyVyp2HInikLZLYKrp4AaABAg	Guardian News
UgyVyp2HInikLZLYKrp4AaABAg.9DcI4dNqd9L9DfLfhyXTG0		1	2020-09-16 14:23:30	Mike Page	@Cristiano PORTO LINHARES TEIXEIRA Correct. The default position of the true scientist is scepticism.	UC95QCVbZcOsBES-VFPZEjvw	http://www.youtube.com/channel/UC95QCVbZcOsBES-VFPZEjvw	1	UgyVyp2HInikLZLYKrp4AaABAg	Guardian News
UgyVyp2HInikLZLYKrp4AaABAg.9DcI4dNqd9L9DcOZVXeL7k		1	2020-09-15 10:51:01	Cristiano PORTO LINHARES TEIXEIRA	science that denies the right to diverge is not science, it is dogma	UCwCCZbFAvad1vjcPCZ1NXHA	http://www.youtube.com/channel/UCwCCZbFAvad1vjcPCZ1NXHA	1	UgyVyp2HInikLZLYKrp4AaABAg	Guardian News
UgzlFnyM9553NjmbC7J4AaABAg	12	55	2020-09-15 13:40:47	NasTheWild	So disrespectful. Disrespecting science and all those who have spent their lives trying to advance it	UC8kC2K4u0M25Zf9Q7Hi0qPQ	http://www.youtube.com/channel/UC8kC2K4u0M25Zf9Q7Hi0qPQ	0		
UgzlFnyM9553NjmbC7J4AaABAg.9DcgzuU3wx29JxJYrbEqe_		0	2021-02-19 16:59:39	NasTheWild	@krazyhorze777 You can't use a specific weather event on it's own to argue for or against climate change. Climate is the average of weather events over a large area over a long period of time. It may be snowing in Texas but 2020 was still one of the warmest years on record overall and I bet 2021 will be the same	UC8kC2K4u0M25Zf9Q7Hi0qPQ	http://www.youtube.com/channel/UC8kC2K4u0M25Zf9Q7Hi0qPQ	1	UgzlFnyM9553NjmbC7J4AaABAg	NasTheWild
UgzlFnyM9553NjmbC7J4AaABAg.9DcgzuU3wx29JxJ6AGVPX1		0	2021-02-19 16:55:44	krazyhorze777	Texas is under snow now. If only reality would listen to the science	UCD5Ryeu04XuCw_j8b_3Cnuw	http://www.youtube.com/channel/UCD5Ryeu04XuCw_j8b_3Cnuw	1	UgzlFnyM9553NjmbC7J4AaABAg	NasTheWild
UgzlFnyM9553NjmbC7J4AaABAg.9DcgzuU3wx29JxJ0pbgS8g		0	2021-02-19 16:55:00	krazyhorze777	Texas has snow now	UCD5Ryeu04XuCw_j8b_3Cnuw	http://www.youtube.com/channel/UCD5Ryeu04XuCw_j8b_3Cnuw	1	UgzlFnyM9553NjmbC7J4AaABAg	NasTheWild
UgzlFnyM9553NjmbC7J4AaABAg.9DcgzuU3wx29FNCMYLjyo2		0	2020-10-28 20:59:20	Marc lang	@NasTheWild I know how science works, I also know how it is funded. You need to stop watching CNN. It has been proven that the climate is cooling not warming up. Antarctica has cooled 1.5 degrees since 1985 with a net accumulation of ice, not a loss. Record cold temperatures across the globe this autumn.	UCn242Jep1YZne23jxPNm54A	http://www.youtube.com/channel/UCn242Jep1YZne23jxPNm54A	1	UgzlFnyM9553NjmbC7J4AaABAg	NasTheWild
UgzlFnyM9553NjmbC7J4AaABAg.9DcgzuU3wx29FMzKRfAi13		1	2020-10-28 18:56:42	NasTheWild	@Marc lang You clearly have no idea how science works. In science before an idea becomes fact it's tested and evaluated again and again not by one but by many experts and then it's published in scientific journals and peer reviewed. In Trump's world his ideas become facts just because it suits him	UC8kC2K4u0M25Zf9Q7Hi0qPQ	http://www.youtube.com/channel/UC8kC2K4u0M25Zf9Q7Hi0qPQ	1	UgzlFnyM9553NjmbC7J4AaABAg	NasTheWild
