id	UDlHcxWtbvw
published	2019-08-28 17:52:04
published_unix	1567014724
title	The New Face Of Climate Change — The Climate Migrant
description	Audelio Mejía’s family has grown corn in the agricultural heart of Central America, known as the Golden Triangle, for three generations. But for the last year, the 50-year-old smallholder farmer has seriously considered migrating north with the help of a coyote. He’s not afraid of gang violence or political persecution, like many migrants who would claim asylum in the U.S. He’s worried about rain — and the lack of it. Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News Check out VICE News for more: http://vicenews.com Follow VICE News here: Facebook: https://www.facebook.com/vicenews Twitter: https://twitter.com/vicenews Tumblr: http://vicenews.tumblr.com/ Instagram: http://instagram.com/vicenews More videos from the VICE network: https://www.fb.com/vicevideo
channelId	UCZaT_X_mc0BI-djXOlfhqWQ
channelTitle	VICE News
duration	PT3M56S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	FR
licensedContent	1
viewCount	42148
likeCount	864
dislikeCount	149
favoriteCount	0
commentCount	347
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
