id	VbiRNT_gWUQ
published	2015-02-18 16:20:04
published_unix	1424276404
title	How Earth Would Look If All The Ice Melted
description	We learned last year that many of the effects of climate change are irreversible. Sea levels have been rising at a greater rate year after year, and the Intergovernmental Panel on Climate Change estimates they could rise by another meter or more by the end of this century. As National Geographic showed us in 2013, sea levels would rise by 216 feet if all the land ice on the planet were to melt. This would dramatically reshape the continents and drown many of the world's major cities. MORE EARTH SCIENCE CONTENT: What If All The Ice Melted Overnight https://www.youtube.com/watch?v=EP97oqa9JJo Why Bees Going Extinct Could Mean No More Ice Cream Or Avocados https://www.youtube.com/watch?v=zuqlUDnxWhA What If The Earth Stopped Orbiting The Sun https://www.youtube.com/watch?v=zjjL9yaFrFc ------------------------------------------------------ #ClimateChange #EarthScience #ScienceInsider Science Insider tells you all you need to know about science: space, medicine, biotech, physiology, and more. Visit us at: https://www.businessinsider.com Science Insider on Facebook: https://www.facebook.com/BusinessInsi... Science Insider on Instagram: https://www.instagram.com/science_ins... Business Insider on Twitter: https://twitter.com/businessinsider Tech Insider on Twitter: https://twitter.com/techinsider Business Insider/Tech Insider on Amazon Prime: http://read.bi/PrimeVideo ------------------------------------------------------ How Earth Would Look If All The Ice Melted
channelId	UC9uD-W5zQHQuAVT2GdcLCvg
channelTitle	Science Insider
duration	PT2M45S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	20067096
likeCount	78257
dislikeCount	12733
favoriteCount	0
commentCount	26995
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
