id	WRgv4V1ZxN4
published	2019-09-19 14:04:21
published_unix	1568901861
title	Climate Change: can nature repair the planet? | The Economist
description	A closer look at one of the most familiar responses offered to the climate crisis. What is the real story behind trees and climate change? See our research here: https://econ.st/32HXvXY Click here to subscribe to The Economist on YouTube: https://econ.st/2xvTKdy For more from Economist Films visit: http://films.economist.com/ Check out The Economist’s full video catalogue: http://econ.st/20IehQk Like The Economist on Facebook: https://www.facebook.com/TheEconomist/ Follow The Economist on Twitter: https://twitter.com/theeconomist Follow us on Instagram: https://www.instagram.com/theeconomist/ Follow us on Medium: https://medium.com/@the_economist
channelId	UC0p5jTq6Xx_DosDFxVXnWaQ
channelTitle	The Economist
duration	PT11M25S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	97310
likeCount	2729
dislikeCount	119
favoriteCount	0
commentCount	457
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
