id	YeX14s2H3Qo
published	2019-07-08 16:32:52
published_unix	1562603572
title	New study suggests planting billions of trees to fight climate change
description	A new study is suggesting that the best way to fight climate change is through trees. CBS News contributing meteorologist Jeff Berardelli joins CBSN to discuss.
channelId	UC8p1vwvWtl6T73JiExfWs1g
channelTitle	CBS News
duration	PT4M8S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	AU,CA,JP
licensedContent	1
viewCount	24785
likeCount	414
dislikeCount	39
favoriteCount	0
commentCount	265
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
