id	ZKLL72-GCBE
published	2020-04-23 02:15:01
published_unix	1587608101
title	Brazil's plan puts the Amazon rainforest at risk
description	Brazil's president Bolsonaro plans to open the rainforest to roads, ranching, farming and mining. This threatens indigenous populations and impacts climate change. We talked with Brazilians on both sides of the issue. #ClimateChange #CNN #News
channelId	UCupvZG-5ko_eiXAupbDfxWw
channelTitle	CNN
duration	PT18M11S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	72554
likeCount	756
dislikeCount	151
favoriteCount	0
commentCount	446
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
