id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxgrKvndi1hV7XUBPN4AaABAg	4	35	2020-04-23 06:23:16	Angel Dave Ramirez	Messing with Mother nature, you&#39;re about to witness the power of God. Evil, just evil. These politicians think they&#39;re God. Ha!	UClUvt25_1frm96ajXaClOAw	http://www.youtube.com/channel/UClUvt25_1frm96ajXaClOAw	0		
UgxgrKvndi1hV7XUBPN4AaABAg.97mYeXES16O9ImC4LH01PD		0	2021-01-21 12:51:17	Terra PHØX	On the contrary. Bolsonaro is saving it. You are being fooled by the globalist media. All the NGOs want is to farm gold. Aluminum and Magnesium. Jewels. diamonds. Stoo being fooled. No NGO OR MACRON care about natives. I am native Br. My grandma was native Br. Stop being dumb. Sucker	UC9SqmaENnZNQIrIDfIUAnmQ	http://www.youtube.com/channel/UC9SqmaENnZNQIrIDfIUAnmQ	1	UgxgrKvndi1hV7XUBPN4AaABAg	Angel Dave Ramirez
UgxgrKvndi1hV7XUBPN4AaABAg.97mYeXES16O9ASf-1Bon4f		0	2020-06-28 17:17:30	MaG	Bolsonaro is the Xi Ping for Nature	UCJeA2vSddTgDPISIzziZzWQ	http://www.youtube.com/channel/UCJeA2vSddTgDPISIzziZzWQ	1	UgxgrKvndi1hV7XUBPN4AaABAg	Angel Dave Ramirez
UgxgrKvndi1hV7XUBPN4AaABAg.97mYeXES16O97vrR4HRKR8		0	2020-04-26 21:09:13	Romin Noodlez	Welp time to cover the walls with goat blood dont want my first born to die	UCGbvEKdR_aMEINa2fA9dA-Q	http://www.youtube.com/channel/UCGbvEKdR_aMEINa2fA9dA-Q	1	UgxgrKvndi1hV7XUBPN4AaABAg	Angel Dave Ramirez
UgxgrKvndi1hV7XUBPN4AaABAg.97mYeXES16O97mswboImg_		0	2020-04-23 09:29:14	atamari101	Can't go hungry right?	UCuEZfXmIHIqjDZkXSXxgE9Q	http://www.youtube.com/channel/UCuEZfXmIHIqjDZkXSXxgE9Q	1	UgxgrKvndi1hV7XUBPN4AaABAg	Angel Dave Ramirez
Ugz-uLqXi8aqcqUs7zZ4AaABAg	9	29	2020-04-23 10:19:09	c li	if amazon is so important to humanity, the world needs to start contributing to safe keep it	UCeC9Ohc2OS2t_L3Ns0aahdg	http://www.youtube.com/channel/UCeC9Ohc2OS2t_L3Ns0aahdg	0		
Ugz-uLqXi8aqcqUs7zZ4AaABAg.97myeCwEuMe9FqH2qjEfTq		0	2020-11-09 13:17:33	Jão Da lua	EXCUSE ME, IM FROM BRAZIL, and IM A LIBERTARIAN, SO I WILL SAY WHAT EVERYONE THAT WATCHES THIS SHOULD KNOW: THIS VIDEO AND TOPIC ITS PCKED WITH LEFT LEANING VIEWS, Its pure propaganda, mostly of the DAMAGE IN AMAZON IS MADE BY GOVERNMENTS. So they can proceed the agenda of using it as political ammunition, DONT BELIEVE A SHIT of all this notion “Brazil aint taking care of amazon” brazilians lost amazon long time ago, such as palestinians in israel, the poor brazilians living in amazon are getting displaced.. the foreing interests in amazon are clear to us since the last 50 years. Even those indians in there, in this video They are left militants of natives who get benefits from government by the democrats/liberals/socialists in order to help them in this agenda, its all fake, They actually led them, the natives to comit crimes for them, and smuggle our resources through them and the ONgS from soros, and all that scum... its a evil agenda, the ones preaching about environment here as there, are the ones sucking its last breaths..... fwck this.. this made me sick	UCSG-wIKZKgb9YSn-73GzMRA	http://www.youtube.com/channel/UCSG-wIKZKgb9YSn-73GzMRA	1	Ugz-uLqXi8aqcqUs7zZ4AaABAg	c li
Ugz-uLqXi8aqcqUs7zZ4AaABAg.97myeCwEuMe9AGDLHiDdR9		0	2020-06-23 21:16:14	Ali and Family	You're talking about the government here. They give no shit	UCnCMbeiOxryEFQmDE8UMRFQ	http://www.youtube.com/channel/UCnCMbeiOxryEFQmDE8UMRFQ	1	Ugz-uLqXi8aqcqUs7zZ4AaABAg	c li
Ugz-uLqXi8aqcqUs7zZ4AaABAg.97myeCwEuMe98G3RyA3dDy		0	2020-05-05 02:46:59	Rodrigo Marques	@Edu Imagina!	UCK9oChjxm315VjIWBugdptQ	http://www.youtube.com/channel/UCK9oChjxm315VjIWBugdptQ	1	Ugz-uLqXi8aqcqUs7zZ4AaABAg	c li
Ugz-uLqXi8aqcqUs7zZ4AaABAg.97myeCwEuMe98FgNOI5SiC		1	2020-05-04 23:16:38	Edu	@Rodrigo Marques Obrigado meu caro!	UCuOAY94YbSpSMu52H0yNbIw	http://www.youtube.com/channel/UCuOAY94YbSpSMu52H0yNbIw	1	Ugz-uLqXi8aqcqUs7zZ4AaABAg	c li
Ugz-uLqXi8aqcqUs7zZ4AaABAg.97myeCwEuMe9855_K9vbzc		0	2020-04-30 20:33:57	Rodrigo Marques	@Edu E o correto (pra que outras pessoas entendam o que você disse) seria: "The Amazon rainforest belongs to the Federative Republic of Brazil".	UCK9oChjxm315VjIWBugdptQ	http://www.youtube.com/channel/UCK9oChjxm315VjIWBugdptQ	1	Ugz-uLqXi8aqcqUs7zZ4AaABAg	c li
Ugz-uLqXi8aqcqUs7zZ4AaABAg.97myeCwEuMe9855NKfFw_e		0	2020-04-30 20:32:11	Rodrigo Marques	@Edu Eduardo, você está errado. O Brasil possui 60% do território da Floresta Tropical Amazônica. O restante é de responsabilidade de outros 7 países (incluindo a França).	UCK9oChjxm315VjIWBugdptQ	http://www.youtube.com/channel/UCK9oChjxm315VjIWBugdptQ	1	Ugz-uLqXi8aqcqUs7zZ4AaABAg	c li
Ugz-uLqXi8aqcqUs7zZ4AaABAg.97myeCwEuMe98389eaMaUI		0	2020-04-30 02:18:03	Edu	60% of the Amazon rainforest belongs to the Federative Republic of Brazil.	UCuOAY94YbSpSMu52H0yNbIw	http://www.youtube.com/channel/UCuOAY94YbSpSMu52H0yNbIw	1	Ugz-uLqXi8aqcqUs7zZ4AaABAg	c li
Ugz-uLqXi8aqcqUs7zZ4AaABAg.97myeCwEuMe97yrSCTfnbK		3	2020-04-28 01:07:05	Tulio Caldeira	Lol, have many countries and rich persons that want the complete deforestation of Amazon, countries such as China, that need a lot of the agriculture of Brazil, and the illegal exploration of gold, its not about bolsonaro or some governament, it's a big geopolitic, the future of Amazon is only one, deforestation, also the Amazon is the road of big quarters of drugs.	UCq-CWkZwXqbMfDVXkH3Gk6Q	http://www.youtube.com/channel/UCq-CWkZwXqbMfDVXkH3Gk6Q	1	Ugz-uLqXi8aqcqUs7zZ4AaABAg	c li
